degree;count
1;27359528
2;11821179
3;4918500
4;2150506
5;1085162
6;644187
7;426059
8;301686
9;224280
10;171164
11;135708
12;109189
13;89128
14;74711
15;62978
16;53811
17;46141
18;39837
19;35107
20;30716
21;27496
22;24420
23;22076
24;19504
25;17996
26;16489
27;14811
28;13689
29;12457
30;11515
31;10635
32;9844
33;9125
34;8509
35;8046
36;7337
37;6855
38;6525
39;6192
40;5669
41;5430
42;5184
43;4949
44;4637
45;4228
46;4081
47;3886
48;3671
49;3674
50;3358
51;3118
52;3200
53;2911
54;2853
55;2615
56;2627
57;2444
58;2387
59;2339
60;2264
61;2169
62;2113
63;1965
64;1911
65;1854
66;1715
67;1718
68;1577
69;1612
70;1435
71;1464
72;1451
73;1374
74;1369
75;1261
76;1229
77;1227
78;1224
79;1141
80;1152
81;1041
82;1060
83;996
84;1013
85;957
86;956
87;887
88;883
89;851
90;863
91;844
92;809
93;747
94;795
95;750
96;724
97;625
98;676
99;679
100;627
101;636
102;622
103;633
104;586
105;599
106;560
107;559
108;505
109;512
110;563
111;527
112;537
113;494
114;459
115;498
116;442
117;472
118;482
119;449
120;425
121;408
122;418
123;382
124;369
125;416
126;358
127;378
128;348
129;354
130;392
131;364
132;317
133;317
134;312
135;304
136;338
137;323
138;298
139;304
140;296
141;293
142;295
143;273
144;273
145;279
146;265
147;248
148;267
149;270
150;250
151;229
152;248
153;230
154;229
155;233
156;216
157;190
158;219
159;192
160;241
161;203
162;203
163;193
164;189
165;228
166;184
167;193
168;200
169;169
170;204
171;191
172;160
173;168
174;172
175;176
176;171
177;141
178;166
179;167
180;193
181;174
182;153
183;167
184;154
185;181
186;173
187;159
188;178
189;162
190;157
191;161
192;129
193;143
194;125
195;149
196;125
197;138
198;134
199;124
200;153
201;127
202;109
203;115
204;126
205;122
206;120
207;118
208;110
209;108
210;113
211;107
212;104
213;110
214;104
215;110
216;115
217;97
218;100
219;110
220;112
221;110
222;132
223;99
224;80
225;93
226;89
227;93
228;93
229;115
230;85
231;81
232;103
233;89
234;81
235;100
236;76
237;92
238;96
239;79
240;77
241;77
242;89
243;81
244;89
245;90
246;74
247;84
248;79
249;62
250;80
251;78
252;75
253;79
254;65
255;89
256;88
257;67
258;78
259;73
260;66
261;82
262;63
263;62
264;63
265;71
266;64
267;54
268;68
269;65
270;53
271;67
272;67
273;54
274;66
275;60
276;58
277;63
278;50
279;36
280;63
281;53
282;49
283;60
284;43
285;62
286;54
287;60
288;56
289;60
290;53
291;60
292;54
293;45
294;60
295;57
296;62
297;49
298;56
299;60
300;49
301;51
302;57
303;56
304;49
305;41
306;55
307;48
308;50
309;44
310;46
311;52
312;30
313;55
314;53
315;39
316;46
317;35
318;49
319;39
320;49
321;36
322;40
323;44
324;38
325;35
326;43
327;52
328;44
329;41
330;36
331;45
332;40
333;37
334;41
335;54
336;40
337;51
338;38
339;43
340;54
341;32
342;45
343;40
344;30
345;37
346;42
347;36
348;25
349;40
350;41
351;26
352;30
353;39
354;36
355;39
356;41
357;37
358;31
359;42
360;29
361;28
362;40
363;29
364;29
365;24
366;28
367;31
368;30
369;29
370;31
371;19
372;35
373;29
374;28
375;25
376;40
377;41
378;45
379;24
380;39
381;28
382;26
383;30
384;34
385;20
386;32
387;17
388;28
389;33
390;27
391;25
392;32
393;30
394;32
395;21
396;31
397;31
398;27
399;28
400;32
401;24
402;28
403;23
404;22
405;30
406;25
407;17
408;21
409;30
410;22
411;20
412;26
413;35
414;20
415;24
416;21
417;24
418;17
419;20
420;29
421;23
422;14
423;22
424;21
425;23
426;31
427;21
428;19
429;21
430;19
431;19
432;19
433;20
434;24
435;17
436;19
437;22
438;14
439;20
440;15
441;22
442;22
443;22
444;16
445;23
446;21
447;22
448;12
449;18
450;23
451;18
452;19
453;18
454;19
455;22
456;21
457;17
458;21
459;15
460;15
461;24
462;14
463;18
464;14
465;10
466;13
467;26
468;18
469;21
470;16
471;18
472;15
473;24
474;17
475;20
476;15
477;16
478;14
479;15
480;23
481;24
482;20
483;21
484;19
485;21
486;18
487;17
488;18
489;21
490;22
491;18
492;20
493;17
494;21
495;14
496;18
497;18
498;20
499;23
500;17
501;15
502;16
503;19
504;12
505;12
506;19
507;10
508;14
509;20
510;9
511;4
512;9
513;10
514;16
515;20
516;17
517;12
518;18
519;15
520;13
521;17
522;10
523;15
524;13
525;16
526;16
527;16
528;14
529;12
530;14
531;10
532;14
533;16
534;14
535;14
536;13
537;13
538;9
539;16
540;12
541;4
542;16
543;8
544;12
545;9
546;15
547;18
548;13
549;17
550;19
551;14
552;12
553;17
554;13
555;6
556;13
557;11
558;15
559;7
560;14
561;7
562;10
563;17
564;11
565;8
566;14
567;12
568;11
569;12
570;9
571;9
572;19
573;12
574;12
575;11
576;6
577;9
578;12
579;13
580;6
581;8
582;14
583;7
584;9
585;10
586;14
587;10
588;14
589;12
590;13
591;19
592;9
593;14
594;11
595;15
596;7
597;12
598;13
599;11
600;12
601;14
602;11
603;9
604;10
605;6
606;15
607;7
608;12
609;13
610;9
611;14
612;11
613;14
614;7
615;12
616;11
617;7
618;11
619;11
620;6
621;12
622;9
623;15
624;11
625;8
626;14
627;11
628;12
629;10
630;9
631;14
632;7
633;8
634;8
635;7
636;7
637;7
638;7
639;7
640;9
641;10
642;6
643;8
644;11
645;13
646;10
647;8
648;9
649;6
650;9
651;11
652;8
653;9
654;9
655;10
656;7
657;10
658;8
659;12
660;8
661;9
662;4
663;9
664;9
665;5
666;7
667;7
668;7
669;13
670;10
671;9
672;6
673;5
674;11
675;6
676;13
677;7
678;10
679;13
680;11
681;13
682;3
683;8
684;10
685;7
686;5
687;6
688;7
689;8
690;8
691;8
692;4
693;10
694;7
695;9
696;7
697;8
698;9
699;3
700;10
701;6
702;8
703;7
704;3
705;6
706;5
707;10
708;8
709;8
710;4
711;5
712;5
713;6
714;5
715;10
716;5
717;8
718;6
719;5
720;3
721;3
722;3
723;6
724;10
725;5
726;6
727;6
728;7
729;9
730;5
731;3
732;7
733;5
734;5
735;8
736;5
737;2
738;5
739;4
740;2
741;6
742;7
743;7
744;1
745;5
746;8
747;9
748;4
749;3
750;2
751;3
752;7
753;5
754;11
755;8
756;4
757;6
758;2
759;4
760;2
761;8
762;5
763;5
764;8
765;5
766;4
767;5
768;4
769;9
770;7
771;8
772;5
773;3
774;6
775;5
776;5
777;2
778;9
779;1
780;5
781;6
782;4
783;11
784;5
785;7
786;7
787;6
788;2
789;2
790;6
791;7
792;9
793;6
794;7
795;8
796;4
797;7
798;4
799;3
800;5
801;7
802;5
803;3
804;6
805;5
806;6
807;5
808;9
809;2
810;7
811;4
812;4
813;3
814;6
815;3
816;2
817;4
818;6
819;6
820;3
821;6
822;2
823;6
824;4
825;3
826;9
827;3
828;4
829;5
830;7
831;3
832;4
