degree;count
1;11498898
2;8785438
3;6600111
4;4886706
5;3570132
6;2589160
7;1872069
8;1356413
9;988356
10;726529
11;541062
12;409850
13;315130
14;244952
15;194199
16;155685
17;126184
18;103652
19;86470
20;72669
21;61461
22;52504
23;45419
24;39175
25;34263
26;30189
27;26497
28;23862
29;21094
30;19225
31;17180
32;15431
33;14049
34;12889
35;11751
36;10862
37;9841
38;9036
39;8499
40;7914
41;7376
42;6718
43;6163
44;5900
45;5620
46;5291
47;4851
48;4495
49;4279
50;4147
51;3772
52;3635
53;3412
54;3277
55;3189
56;2919
57;2805
58;2627
59;2489
60;2427
61;2381
62;2071
63;2036
64;2020
65;1966
66;1800
67;1760
68;1710
69;1668
70;1551
71;1619
72;1491
73;1423
74;1375
75;1314
76;1311
77;1274
78;1168
79;1174
80;1151
81;1111
82;1046
83;941
84;942
85;937
86;857
87;851
88;864
89;813
90;788
91;816
92;762
93;742
94;730
95;689
96;664
97;697
98;643
99;674
100;588
101;600
102;569
103;584
104;573
105;519
106;515
107;550
108;518
109;504
110;467
111;465
112;455
113;420
114;429
115;465
116;364
117;406
118;412
119;367
120;366
121;391
122;338
123;338
124;336
125;371
126;304
127;340
128;331
129;335
130;287
131;306
132;342
133;303
134;274
135;277
136;272
137;261
138;286
139;241
140;230
141;270
142;228
143;264
144;231
145;240
146;240
147;238
148;221
149;197
150;217
151;193
152;202
153;204
154;208
155;217
156;236
157;216
158;207
159;199
160;171
161;195
162;173
163;199
164;194
165;167
166;171
167;154
168;156
169;149
170;166
171;164
172;161
173;136
174;144
175;150
176;126
177;162
178;161
179;137
180;159
181;133
182;138
183;136
184;131
185;110
186;154
187;129
188;120
189;145
190;140
191;138
192;132
193;117
194;121
195;109
196;106
197;117
198;123
199;113
200;100
201;95
202;95
203;94
204;85
205;111
206;104
207;96
208;72
209;84
210;91
211;95
212;89
213;92
214;84
215;114
216;93
217;81
218;73
219;87
220;80
221;90
222;72
223;81
224;94
225;106
226;74
227;103
228;84
229;69
230;75
231;93
232;72
233;68
234;65
235;80
236;91
237;63
238;72
239;69
240;66
241;73
242;67
243;61
244;65
245;57
246;53
247;65
248;68
249;61
250;59
251;69
252;65
253;62
254;69
255;57
256;51
257;47
258;65
259;49
260;54
261;55
262;57
263;53
264;49
265;44
266;72
267;58
268;52
269;46
270;57
271;51
272;54
273;47
274;44
275;58
276;46
277;46
278;53
279;58
280;65
281;44
282;54
283;54
284;40
285;48
286;33
287;50
288;46
289;50
290;40
291;58
292;43
293;40
294;38
295;40
296;39
297;53
298;40
299;47
300;46
301;43
302;41
303;50
304;50
305;45
306;51
307;38
308;42
309;36
310;39
311;44
312;38
313;38
314;33
315;33
316;34
317;23
318;29
319;37
320;38
321;30
322;29
323;37
324;32
325;40
326;33
327;37
328;38
329;32
330;38
331;29
332;31
333;35
334;30
335;34
336;28
337;34
338;34
339;42
340;28
341;24
342;23
343;24
344;29
345;27
346;19
347;25
348;28
349;25
350;36
351;20
352;25
353;25
354;29
355;30
356;18
357;26
358;19
359;25
360;27
361;23
362;29
363;22
364;23
365;21
366;25
367;27
368;29
369;24
370;24
371;18
372;16
373;26
374;30
375;27
376;33
377;21
378;26
379;22
380;22
381;25
382;22
383;22
384;24
385;32
386;27
387;20
388;21
389;23
390;27
391;28
392;17
393;20
394;24
395;14
396;23
397;27
398;21
399;31
400;17
401;24
402;17
403;28
404;21
405;18
406;24
407;9
408;15
409;20
410;17
411;18
412;22
413;22
414;20
415;23
416;17
417;17
418;17
419;13
420;21
421;16
422;15
423;17
424;16
425;21
426;24
427;23
428;21
429;15
430;13
431;13
432;15
433;16
434;17
435;9
436;21
437;19
438;16
439;11
440;23
441;17
442;14
443;14
444;16
445;11
446;12
447;17
448;15
449;22
450;16
451;18
452;15
453;24
454;13
455;15
456;19
457;16
458;24
459;10
460;9
461;20
462;12
463;9
464;24
465;18
466;9
467;9
468;22
469;18
470;14
471;12
472;18
473;12
474;16
475;18
476;12
477;10
478;9
479;12
480;7
481;13
482;20
483;15
484;11
485;15
486;20
487;10
488;10
489;10
490;18
491;11
492;17
493;10
494;9
495;13
496;13
497;18
498;11
499;9
500;11
501;7
502;8
503;9
504;15
505;19
506;13
507;21
508;14
509;12
510;10
511;12
512;12
513;17
514;8
515;13
516;13
517;10
518;21
519;7
520;12
521;10
522;14
523;7
524;8
525;8
526;14
527;10
528;7
529;10
530;12
531;11
532;8
533;7
534;10
535;8
536;11
537;9
538;10
539;13
540;12
541;10
542;13
543;12
544;11
545;7
546;7
547;11
548;10
549;10
550;11
551;6
552;9
553;6
554;11
555;16
556;12
557;10
558;8
559;9
560;10
561;5
562;10
563;5
564;10
565;8
566;9
567;10
568;11
569;8
570;10
571;12
572;6
573;9
574;6
575;14
576;8
577;11
578;8
579;8
580;8
581;11
582;11
583;10
584;10
585;7
586;5
587;8
588;8
589;6
590;9
591;10
592;6
593;5
594;11
595;12
596;11
597;5
598;2
599;4
600;5
601;9
602;6
603;8
604;13
605;6
606;13
607;7
608;9
609;3
610;5
611;10
612;10
613;6
614;8
615;7
616;4
617;9
618;3
619;6
620;10
621;11
622;7
623;7
624;11
625;6
626;7
627;6
628;4
629;7
630;3
631;9
632;7
633;7
634;6
635;10
636;6
637;4
638;7
639;4
640;3
641;6
642;5
643;5
644;8
645;4
646;5
647;5
648;2
649;4
650;8
651;6
652;8
653;2
654;8
655;7
656;3
657;10
658;5
659;3
660;4
661;5
662;8
663;9
664;6
665;5
666;11
667;7
668;6
669;5
670;6
671;3
672;8
673;9
674;5
675;6
676;4
677;2
678;9
679;6
680;10
681;5
682;4
683;7
684;4
685;6
686;4
687;7
688;8
689;5
690;7
691;5
692;7
693;12
694;6
695;6
696;5
697;6
698;5
699;6
700;6
701;2
702;1
703;5
704;7
705;7
706;4
707;7
708;2
709;4
710;8
711;7
712;6
713;1
714;5
716;7
717;4
718;4
719;5
720;5
721;6
722;3
723;3
724;2
725;8
726;6
727;4
728;5
729;6
730;8
731;7
732;5
733;3
734;4
735;4
736;7
737;3
738;3
739;8
740;3
741;5
742;9
743;3
744;4
745;5
746;3
747;3
748;3
749;8
750;5
751;3
752;8
753;3
754;5
755;5
756;2
757;2
758;3
759;4
760;6
761;4
762;3
763;8
764;6
765;8
766;4
767;6
768;2
769;6
770;5
771;3
772;8
773;8
774;1
775;5
776;3
777;3
778;1
779;2
780;4
781;4
782;2
783;3
784;3
785;3
786;7
787;5
788;5
789;5
790;5
791;4
792;5
793;4
794;7
795;2
797;7
798;8
799;6
800;4
801;5
802;5
803;4
804;4
805;5
807;5
808;1
809;3
810;4
811;4
812;2
813;4
814;5
815;4
816;9
817;3
818;1
819;4
820;3
821;2
822;6
823;2
824;5
825;3
826;4
827;5
828;3
829;9
830;2
831;1
832;4
833;2
834;7
835;2
836;3
837;6
838;5
839;2
840;3
841;4
842;3
843;3
844;3
845;7
846;5
847;2
848;11
849;10
850;1
851;2
852;2
854;4
855;3
856;6
858;5
859;2
860;3
861;1
863;5
864;1
865;3
866;2
867;3
868;4
869;7
870;3
871;3
872;7
873;4
874;6
875;4
876;4
877;1
878;1
879;7
880;3
881;4
882;1
883;4
884;4
885;1
886;4
887;5
888;4
889;3
890;4
891;3
892;3
893;3
894;6
895;1
896;1
897;1
898;4
899;5
900;5
901;5
902;3
903;7
905;3
906;4
907;2
909;1
910;2
911;2
912;2
913;3
914;3
915;1
916;1
917;2
918;2
920;1
921;3
922;4
923;4
924;3
925;1
926;2
927;5
928;4
929;1
930;2
931;1
932;2
933;5
934;1
935;3
936;2
937;1
938;3
939;4
940;4
941;3
942;3
944;5
945;5
946;3
947;5
948;1
949;1
950;3
951;3
952;3
953;3
955;2
956;3
957;4
958;2
959;3
961;7
962;3
963;1
964;5
965;2
966;2
967;2
968;3
969;1
970;4
971;4
972;5
973;3
974;6
975;2
976;2
977;1
978;2
979;2
980;3
981;3
982;2
983;1
984;2
985;1
986;2
987;5
988;1
990;1
991;1
992;1
993;2
994;2
995;2
996;5
997;3
999;4
1000;4
1001;3
1002;3
1004;5
1005;3
1006;3
1007;3
1008;3
1009;3
1010;4
1011;1
1012;3
1013;4
1014;4
1015;2
1016;2
1017;1
1018;5
1019;2
1020;1
1021;2
1023;2
1024;4
1025;3
1026;3
1027;1
1028;2
1029;1
1030;3
1031;1
1032;1
1033;2
1034;2
1035;2
1036;3
1037;6
1038;2
1039;5
1040;1
1041;1
1042;3
1043;1
1044;3
1045;2
1046;1
1047;1
1048;3
1049;1
1050;1
1051;1
1052;2
1053;6
1054;1
1055;3
1056;3
1057;4
1058;3
1059;1
1060;2
1061;2
1062;1
1063;1
1064;2
1065;1
1068;1
1069;1
1070;1
1071;3
1072;1
1073;2
1074;3
1075;4
1076;2
1077;1
1078;3
1079;1
1080;1
1081;3
1082;2
1083;3
1084;1
1086;3
1087;3
1088;4
1089;1
1090;2
1091;1
1092;3
1093;8
1095;5
1096;3
1097;1
1098;2
1099;2
1100;1
1101;4
1102;1
1103;4
1104;3
1105;1
1106;2
1107;1
1108;1
1109;2
1110;3
1111;3
1112;2
1113;1
1114;3
1115;2
1116;2
1117;2
1118;2
1119;3
1122;2
1123;3
1124;1
1126;1
1127;1
1128;2
1129;2
1130;2
1131;1
1132;1
1133;3
1134;2
1135;3
1136;4
1137;1
1138;3
1139;5
1140;2
1141;2
1142;1
1144;1
1147;4
1148;1
1149;1
1150;1
1151;4
1152;1
1153;2
1155;3
1156;5
1157;4
1158;1
1159;3
1161;2
1162;1
1163;2
1164;3
1165;3
1166;1
1167;4
1168;3
1169;3
1170;2
1171;1
1173;2
1174;2
1175;3
1176;2
1177;3
1178;1
1179;4
1180;1
1181;2
1182;2
1183;1
1184;3
1185;2
1186;2
1188;1
1189;1
1190;1
1191;2
1193;2
1194;2
1199;1
1200;2
1202;2
1203;3
1204;2
1205;1
1209;2
1210;2
1211;2
1212;1
1213;1
1214;2
1215;3
1216;1
1217;1
1219;2
1220;1
1221;1
1222;1
1223;1
1224;1
1225;3
1227;1
1228;1
1229;1
1230;1
1231;1
1232;1
1233;1
1235;1
1236;2
1237;6
1238;3
1239;2
1240;1
1241;2
1242;1
1244;2
1245;1
1246;3
1247;1
1249;1
1251;2
1252;1
1255;2
1258;1
1259;2
1261;2
1262;1
1263;2
1264;3
1265;3
1266;3
1268;2
1270;1
1271;4
1272;3
1274;2
1275;1
1277;1
1279;6
1280;3
1281;2
1283;2
1284;3
1286;1
1288;2
1289;1
1290;2
1291;2
1292;2
1294;1
1295;1
1297;1
1300;2
1301;3
1302;2
1303;1
1304;2
1305;1
1306;1
1307;1
1308;1
1309;1
1310;2
1311;4
1315;3
1316;1
1317;1
1318;1
1319;1
1320;1
1321;1
1322;1
1323;1
1324;1
1326;3
1327;3
1328;5
1330;1
1332;2
1333;1
1335;2
1337;2
1339;2
1341;1
1343;1
1345;2
1346;1
1347;1
1349;3
1350;1
1352;1
1353;3
1356;1
1357;4
1358;1
1359;2
1360;1
1361;1
1362;2
1367;2
1368;1
1370;1
1371;1
1373;1
1374;2
1375;1
1376;1
1377;2
1378;2
1380;2
1382;2
1383;1
1387;1
1390;1
1393;2
1394;1
1395;1
1396;1
1397;1
1398;2
1399;1
1400;2
1401;1
1402;1
1403;4
1406;1
1408;1
1409;2
1410;1
1411;1
1414;1
1416;2
1417;1
1420;2
1421;3
1422;2
1423;1
1426;1
1427;2
1428;2
1429;1
1430;1
1431;2
1433;1
1435;3
1437;2
1439;1
1440;1
1442;1
