degree;count
1;62830253
2;3879066
3;1626341
4;897224
5;558645
6;376829
7;268598
8;200217
9;153210
10;121086
11;97169
12;80401
13;67136
14;56689
15;48358
16;41364
17;36262
18;31588
19;28336
20;24907
21;22206
22;20062
23;18080
24;16385
25;14968
26;13778
27;12463
28;11371
29;10441
30;9819
31;9071
32;8322
33;7931
34;7231
35;6760
36;6466
37;6137
38;5439
39;5390
40;4950
41;4753
42;4454
43;4281
44;4058
45;3818
46;3594
47;3362
48;3271
49;3111
50;3011
51;2846
52;2800
53;2564
54;2532
55;2372
56;2307
57;2181
58;2173
59;2037
60;1916
61;1886
62;1786
63;1755
64;1751
65;1630
66;1567
67;1483
68;1474
69;1434
70;1365
71;1333
72;1270
73;1225
74;1216
75;1137
76;1095
77;1104
78;1072
79;1061
80;967
81;970
82;938
83;922
84;877
85;831
86;870
87;817
88;838
89;782
90;759
91;747
92;681
93;702
94;650
95;698
96;649
97;631
98;636
99;587
100;579
101;573
102;549
103;530
104;536
105;568
106;546
107;525
108;515
109;501
110;452
111;457
112;496
113;439
114;445
115;419
116;443
117;458
118;396
119;398
120;408
121;409
122;408
123;403
124;372
125;335
126;348
127;353
128;328
129;325
130;305
131;300
132;305
133;324
134;314
135;282
136;315
137;299
138;302
139;296
140;287
141;297
142;275
143;271
144;229
145;239
146;250
147;241
148;273
149;221
150;218
151;262
152;236
153;238
154;240
155;237
156;236
157;216
158;208
159;196
160;194
161;197
162;212
163;193
164;214
165;194
166;178
167;156
168;181
169;193
170;171
171;175
172;153
173;150
174;179
175;181
176;188
177;160
178;168
179;181
180;167
181;149
182;166
183;142
184;158
185;148
186;153
187;162
188;143
189;132
190;143
191;139
192;130
193;152
194;115
195;116
196;114
197;123
198;138
199;121
200;102
201;102
202;117
203;114
204;137
205;138
206;124
207;93
208;106
209;99
210;93
211;104
212;99
213;84
214;102
215;98
216;106
217;96
218;114
219;83
220;96
221;93
222;108
223;101
224;94
225;91
226;87
227;78
228;97
229;96
230;92
231;83
232;84
233;70
234;84
235;74
236;75
237;78
238;80
239;95
240;80
241;74
242;95
243;70
244;72
245;84
246;68
247;75
248;76
249;90
250;73
251;75
252;76
253;58
254;84
255;64
256;69
257;72
258;61
259;65
260;70
261;84
262;66
263;73
264;59
265;56
266;68
267;72
268;60
269;60
270;62
271;63
272;55
273;75
274;57
275;66
276;55
277;54
278;62
279;55
280;56
281;57
282;53
283;69
284;54
285;54
286;59
287;56
288;47
289;55
290;59
291;63
292;60
293;47
294;60
295;54
296;45
297;48
298;48
299;54
300;53
301;54
302;54
303;45
304;52
305;53
306;48
307;48
308;42
309;48
310;48
311;46
312;38
313;56
314;42
315;46
316;43
317;39
318;41
319;33
320;43
321;49
322;43
323;32
324;36
325;47
326;37
327;37
328;25
329;33
330;35
331;40
332;40
333;43
334;39
335;34
336;40
337;38
338;29
339;36
340;36
341;46
342;42
343;39
344;41
345;40
346;34
347;44
348;35
349;34
350;35
351;32
352;30
353;38
354;39
355;36
356;39
357;25
358;53
359;24
360;33
361;28
362;34
363;37
364;33
365;28
366;27
367;35
368;28
369;29
370;36
371;37
372;24
373;26
374;25
375;18
376;29
377;32
378;24
379;30
380;31
381;31
382;34
383;30
384;27
385;33
386;23
387;28
388;35
389;32
390;26
391;33
392;25
393;28
394;31
395;26
396;24
397;20
398;27
399;22
400;31
401;16
402;29
403;20
404;25
405;25
406;27
407;38
408;25
409;13
410;32
411;27
412;29
413;20
414;29
415;19
416;23
417;22
418;24
419;22
420;24
421;24
422;25
423;26
424;29
425;22
426;20
427;24
428;17
429;22
430;24
431;19
432;15
433;23
434;16
435;9
436;18
437;16
438;26
439;16
440;23
441;22
442;23
443;23
444;29
445;21
446;30
447;23
448;19
449;12
450;14
451;14
452;22
453;12
454;23
455;13
456;16
457;11
458;18
459;20
460;19
461;29
462;23
463;24
464;19
465;26
466;20
467;19
468;25
469;18
470;13
471;17
472;14
473;18
474;15
475;17
476;16
477;13
478;16
479;19
480;20
481;17
482;21
483;22
484;17
485;18
486;12
487;21
488;14
489;13
490;18
491;14
492;15
493;12
494;15
495;13
496;26
497;18
498;17
499;22
500;15
501;18
502;13
503;20
504;14
505;14
506;21
507;18
508;19
509;17
510;11
511;16
512;19
513;9
514;19
515;18
516;15
517;12
518;20
519;11
520;13
521;19
522;7
523;17
524;12
525;16
526;11
527;13
528;13
529;16
530;15
531;17
532;16
533;13
534;14
535;20
536;6
537;7
538;17
539;15
540;12
541;14
542;13
543;11
544;13
545;13
546;11
547;9
548;16
549;10
550;9
551;13
552;16
553;14
554;7
555;9
556;18
557;18
558;11
559;14
560;7
561;15
562;13
563;7
564;18
565;10
566;10
567;9
568;4
569;8
570;11
571;12
572;10
573;5
574;11
575;17
576;13
577;3
578;13
579;6
580;8
581;12
582;12
583;13
584;9
585;6
586;13
587;12
588;9
589;12
590;10
591;9
592;6
593;9
594;13
595;23
596;10
597;7
598;6
599;9
600;11
601;8
602;8
603;8
604;5
605;13
606;5
607;10
608;5
609;16
610;3
611;15
612;11
613;7
614;7
615;13
616;14
617;15
618;11
619;11
620;3
621;8
622;11
623;7
624;7
625;7
626;7
627;16
628;4
629;10
630;17
631;11
632;8
633;7
634;10
635;4
636;8
637;7
638;10
639;10
640;8
641;6
642;4
643;10
644;10
645;11
646;9
647;4
648;7
649;9
650;8
651;5
652;9
653;8
654;10
655;12
656;6
657;10
658;6
659;7
660;4
661;10
662;8
663;9
664;9
665;11
666;5
667;6
668;6
669;12
670;4
671;8
672;12
673;7
674;5
675;8
676;10
677;1
678;13
679;9
680;9
681;9
682;10
683;6
684;14
685;9
686;7
687;8
688;8
689;10
690;8
691;10
692;6
693;7
694;4
695;6
696;4
697;4
698;4
699;5
700;9
701;5
702;3
703;11
704;8
705;9
706;9
707;4
708;6
709;11
710;8
711;9
712;5
713;3
714;6
715;9
716;12
717;7
718;10
719;8
720;4
721;6
722;9
723;3
724;6
725;6
726;7
727;2
728;8
730;5
731;4
732;13
733;8
734;9
735;6
736;5
737;4
738;8
739;3
740;9
741;4
742;3
743;8
744;9
745;11
746;9
747;4
748;5
749;5
750;8
751;4
752;2
753;6
754;6
755;7
756;3
757;6
758;3
759;5
760;5
761;3
762;6
763;7
764;5
765;13
766;5
767;3
768;6
769;4
770;8
771;4
772;3
773;3
774;6
775;5
776;5
777;4
778;7
779;9
780;6
781;4
782;9
783;6
784;5
785;8
786;1
787;3
788;4
789;1
790;5
791;5
792;3
793;2
794;7
795;3
796;3
797;5
798;6
799;6
800;3
801;1
802;4
803;10
804;3
805;7
806;7
807;5
808;2
809;4
810;10
811;5
812;6
813;6
814;4
815;5
816;10
817;7
818;3
819;3
820;3
821;2
822;7
823;4
824;5
825;8
826;7
827;10
828;8
829;4
830;3
831;5
832;4
833;4
834;8
835;8
836;3
837;10
838;5
839;5
840;3
841;8
842;7
843;4
844;4
845;5
846;5
847;3
848;2
849;3
850;6
851;8
852;8
853;3
854;6
855;4
856;8
857;3
858;5
859;4
860;2
861;3
862;7
863;5
864;5
865;6
866;8
867;5
868;6
869;5
870;9
871;2
872;6
873;1
874;3
875;3
876;7
877;6
878;2
879;4
880;2
881;3
882;5
883;5
884;6
885;8
886;3
887;5
888;4
889;4
890;5
891;5
892;2
893;3
894;6
895;4
896;2
897;4
898;2
899;4
900;3
901;2
902;8
903;8
904;3
905;6
906;4
907;2
909;7
910;3
911;5
912;5
913;4
914;3
915;6
916;2
917;8
918;4
919;4
920;3
921;6
922;5
923;5
924;3
925;2
926;6
927;6
928;2
929;1
930;4
931;5
932;1
933;5
934;3
935;4
936;6
937;2
938;3
940;4
941;5
942;3
943;3
944;4
945;1
946;1
947;4
948;2
949;2
950;5
951;6
952;5
953;3
954;6
955;3
956;3
957;2
958;4
959;5
960;1
961;3
962;2
963;3
964;9
965;3
966;1
967;3
968;5
969;6
970;3
971;4
972;3
973;3
974;7
975;3
976;4
977;5
979;2
980;1
981;3
982;3
983;2
984;6
985;1
986;1
987;3
988;1
989;2
990;4
991;3
992;2
993;6
994;3
995;5
996;4
997;3
998;1
999;3
1000;3
1001;3
1002;3
