degree;count
1;11671753
2;26835918
3;15201056
4;8206876
5;4251480
6;2167766
7;1120421
8;614244
9;364394
10;233802
11;162428
12;118918
13;90870
14;71554
15;57541
16;47435
17;39782
18;34200
19;29924
20;25717
21;22376
22;19981
23;17845
24;15872
25;14617
26;12957
27;11765
28;10985
29;9866
30;9275
31;8411
32;7853
33;7229
34;6599
35;6441
36;5882
37;5484
38;5146
39;4863
40;4604
41;4310
42;4086
43;3836
44;3711
45;3410
46;3216
47;3157
48;2953
49;2871
50;2649
51;2561
52;2451
53;2296
54;2321
55;2183
56;2132
57;2067
58;1939
59;1853
60;1920
61;1758
62;1643
63;1646
64;1494
65;1483
66;1472
67;1355
68;1344
69;1306
70;1195
71;1284
72;1183
73;1131
74;1059
75;1071
76;1056
77;1081
78;982
79;1000
80;994
81;941
82;856
83;822
84;807
85;780
86;792
87;753
88;691
89;765
90;719
91;690
92;695
93;664
94;649
95;616
96;610
97;645
98;574
99;577
100;557
101;524
102;533
103;492
104;505
105;505
106;517
107;485
108;455
109;466
110;493
111;426
112;474
113;440
114;422
115;447
116;406
117;395
118;402
119;400
120;365
121;347
122;364
123;383
124;340
125;343
126;325
127;320
128;339
129;314
130;299
131;309
132;295
133;287
134;323
135;288
136;283
137;289
138;269
139;295
140;268
141;271
142;248
143;293
144;251
145;248
146;264
147;253
148;238
149;232
150;231
151;214
152;220
153;230
154;252
155;229
156;198
157;202
158;192
159;218
160;216
161;214
162;180
163;223
164;180
165;206
166;197
167;179
168;195
169;178
170;187
171;171
172;178
173;169
174;167
175;174
176;176
177;142
178;165
179;167
180;156
181;145
182;176
183;151
184;153
185;135
186;149
187;159
188;122
189;142
190;128
191;129
192;121
193;129
194;146
195;129
196;133
197;143
198;124
199;105
200;122
201;132
202;125
203;127
204;130
205;103
206;128
207;102
208;109
209;107
210;112
211;101
212;126
213;101
214;115
215;127
216;112
217;121
218;106
219;93
220;103
221;93
222;112
223;90
224;88
225;83
226;85
227;92
228;75
229;84
230;109
231;95
232;88
233;91
234;85
235;92
236;69
237;74
238;100
239;95
240;89
241;95
242;81
243;88
244;76
245;97
246;86
247;64
248;74
249;72
250;72
251;73
252;81
253;79
254;76
255;69
256;75
257;76
258;70
259;77
260;82
261;87
262;64
263;60
264;68
265;64
266;69
267;54
268;72
269;67
270;60
271;62
272;59
273;68
274;76
275;63
276;69
277;60
278;61
279;50
280;57
281;61
282;68
283;58
284;57
285;58
286;61
287;72
288;51
289;55
290;49
291;48
292;61
293;66
294;56
295;47
296;51
297;53
298;42
299;59
300;54
301;45
302;60
303;54
304;47
305;43
306;45
307;53
308;47
309;49
310;45
311;52
312;59
313;39
314;46
315;45
316;46
317;38
318;41
319;51
320;52
321;48
322;48
323;43
324;42
325;41
326;61
327;41
328;40
329;44
330;54
331;38
332;42
333;40
334;27
335;50
336;46
337;36
338;41
339;47
340;30
341;37
342;38
343;45
344;36
345;40
346;48
347;38
348;42
349;35
350;33
351;44
352;29
353;45
354;36
355;27
356;38
357;35
358;30
359;32
360;42
361;32
362;44
363;33
364;35
365;38
366;27
367;46
368;44
369;35
370;34
371;33
372;35
373;34
374;30
375;32
376;32
377;30
378;24
379;28
380;22
381;25
382;32
383;27
384;34
385;27
386;49
387;29
388;37
389;30
390;35
391;25
392;37
393;25
394;31
395;27
396;37
397;31
398;33
399;27
400;37
401;21
402;27
403;32
404;27
405;25
406;19
407;29
408;31
409;21
410;29
411;27
412;27
413;28
414;17
415;16
416;35
417;28
418;28
419;31
420;25
421;26
422;25
423;22
424;25
425;28
426;25
427;24
428;24
429;29
430;20
431;15
432;34
433;33
434;17
435;25
436;28
437;21
438;22
439;24
440;18
441;24
442;24
443;23
444;29
445;25
446;27
447;28
448;17
449;29
450;40
451;33
452;21
453;27
454;19
455;20
456;28
457;22
458;21
459;23
460;10
461;21
462;20
463;22
464;22
465;24
466;19
467;25
468;27
469;17
470;29
471;23
472;23
473;13
474;18
475;22
476;17
477;21
478;25
479;16
480;21
481;22
482;20
483;15
484;19
485;18
486;17
487;23
488;21
489;24
490;16
491;13
492;15
493;26
494;25
495;23
496;19
497;13
498;16
499;19
500;24
501;10
502;16
503;12
504;21
505;14
506;14
507;21
508;13
509;19
510;17
511;18
512;18
513;18
514;13
515;19
516;18
517;21
518;17
519;21
520;18
521;17
522;19
523;6
524;13
525;16
526;15
527;19
528;20
529;18
530;18
531;22
532;15
533;19
534;15
535;12
536;16
537;9
538;20
539;9
540;5
541;8
542;17
543;9
544;16
545;15
546;8
547;13
548;11
549;14
550;15
551;8
552;10
553;12
554;13
555;16
556;19
557;27
558;11
559;9
560;16
561;7
562;17
563;12
564;12
565;15
566;13
567;20
568;14
569;12
570;18
571;13
572;16
573;14
574;18
575;7
576;11
577;8
