degree;count
1;19886383
2;6574220
3;3076315
4;1753771
5;1125520
6;779066
7;570841
8;435031
9;343465
10;275742
11;226349
12;189974
13;160340
14;138174
15;119810
16;104587
17;92084
18;81990
19;73784
20;65808
21;59435
22;53974
23;49180
24;45142
25;41732
26;38285
27;35170
28;32720
29;30413
30;28652
31;26386
32;24883
33;23303
34;22079
35;20662
36;19543
37;18373
38;17291
39;16191
40;15458
41;14860
42;13984
43;13367
44;12562
45;12140
46;11596
47;11297
48;10793
49;10263
50;9662
51;9394
52;9009
53;8477
54;8361
55;8046
56;7682
57;7431
58;7202
59;6974
60;6724
61;6451
62;6275
63;6120
64;5846
65;5653
66;5522
67;5403
68;5107
69;4982
70;4818
71;4579
72;4602
73;4310
74;4284
75;4155
76;4142
77;4031
78;3830
79;3719
80;3732
81;3524
82;3529
83;3382
84;3268
85;3220
86;3114
87;3182
88;2950
89;2840
90;2856
91;2876
92;2772
93;2750
94;2576
95;2563
96;2531
97;2520
98;2456
99;2383
100;2254
101;2340
102;2204
103;2162
104;2130
105;2096
106;2076
107;2020
108;1935
109;1851
110;1885
111;1881
112;1868
113;1745
114;1679
115;1771
116;1678
117;1684
118;1661
119;1635
120;1558
121;1520
122;1561
123;1438
124;1440
125;1489
126;1381
127;1364
128;1378
129;1294
130;1366
131;1317
132;1323
133;1310
134;1328
135;1229
136;1204
137;1186
138;1194
139;1157
140;1110
141;1126
142;1099
143;1158
144;1089
145;1078
146;982
147;993
148;947
149;1027
150;951
151;975
152;936
153;962
154;944
155;920
156;888
157;935
158;883
159;877
160;894
161;838
162;807
163;849
164;788
165;857
166;792
167;781
168;767
169;784
170;839
171;757
172;781
173;709
174;708
175;712
176;705
177;740
178;699
179;660
180;693
181;633
182;655
183;691
184;644
185;674
186;633
187;601
188;602
189;631
190;605
191;579
192;588
193;635
194;613
195;567
196;615
197;506
198;562
199;566
200;564
201;523
202;544
203;510
204;503
205;534
206;531
207;504
208;490
209;524
210;490
211;477
212;507
213;440
214;481
215;465
216;460
217;432
218;430
219;468
220;424
221;463
222;443
223;414
224;481
225;429
226;401
227;396
228;438
229;382
230;415
231;387
232;386
233;366
234;376
235;387
236;393
237;394
238;377
239;374
240;343
241;393
242;359
243;354
244;342
245;402
246;370
247;338
248;343
249;347
250;329
251;294
252;356
253;314
254;313
255;310
256;328
257;331
258;327
259;325
260;315
261;316
262;297
263;314
264;303
265;276
266;291
267;295
268;264
269;300
270;274
271;310
272;280
273;255
274;273
275;312
276;264
277;271
278;260
279;281
280;307
281;242
282;255
283;236
284;244
285;259
286;279
287;277
288;246
289;267
290;244
291;257
292;270
293;240
294;277
295;212
296;233
297;257
298;255
299;220
300;232
301;226
302;182
303;246
304;218
305;229
306;234
307;235
308;212
309;245
310;222
311;225
312;217
313;214
314;227
315;220
316;241
317;228
318;199
319;202
320;186
321;209
322;198
323;206
324;213
325;187
326;211
327;182
328;189
329;192
330;170
331;186
332;165
333;205
334;170
335;159
336;183
337;184
338;185
339;166
340;221
341;187
342;168
343;187
344;183
345;169
346;176
347;146
348;164
349;162
350;180
351;173
352;170
353;173
354;167
355;167
356;155
357;166
358;172
359;163
360;159
361;165
362;157
363;157
364;137
365;171
366;158
367;147
368;160
369;176
370;147
371;151
372;152
373;138
374;152
375;155
376;136
377;162
378;134
379;170
380;140
381;166
382;162
383;143
384;138
385;141
386;123
387;130
388;166
389;134
390;147
391;136
392;127
393;152
394;145
395;124
396;128
397;120
398;123
399;138
400;137
401;141
402;123
403;129
404;117
405;128
406;131
407;145
408;111
409;141
410;114
411;120
412;126
413;126
414;124
415;120
416;103
417;104
418;105
419;115
420;131
421;114
422;119
423;112
424;98
425;123
426;113
427;104
428;118
429;120
430;116
431;116
432;122
433;100
434;94
435;109
436;125
437;95
438;125
439;103
440;103
441;97
442;122
443;112
444;84
445;94
446;100
447;99
448;111
449;90
450;88
451;92
452;89
453;124
454;91
455;103
456;102
457;79
458;92
459;100
460;99
461;79
462;105
463;88
464;83
465;93
466;102
467;85
468;94
469;99
470;92
471;82
472;104
473;76
474;100
475;96
476;92
477;86
478;78
479;94
480;97
481;81
482;85
483;93
484;87
485;67
486;83
487;78
488;82
489;91
490;75
491;90
492;81
493;83
494;80
495;99
496;88
497;61
498;84
499;80
500;89
501;68
502;80
503;68
504;82
505;78
506;72
507;86
508;73
509;87
510;78
511;83
512;59
513;56
514;68
515;59
516;80
517;72
518;65
519;73
520;70
521;78
522;57
523;61
524;64
525;63
526;77
527;74
528;71
529;63
530;77
531;66
532;81
533;57
534;69
535;75
536;57
537;68
538;91
539;58
540;74
541;74
542;65
543;58
544;72
545;82
546;71
547;69
548;62
549;68
550;74
551;66
552;65
553;60
554;74
555;64
556;58
557;82
558;54
559;67
560;66
561;70
562;67
563;56
564;79
565;72
566;56
567;82
568;52
569;59
570;60
571;51
572;59
573;66
574;50
575;59
576;51
577;59
578;60
579;56
580;61
581;59
582;58
583;63
584;64
585;60
586;54
587;52
588;48
589;59
590;57
591;71
592;59
593;64
594;43
595;64
596;53
597;52
598;51
599;50
600;55
601;53
602;48
603;53
604;51
605;64
606;36
607;50
608;55
609;49
610;59
611;47
612;50
613;67
614;57
615;48
616;72
617;73
618;63
619;54
620;50
621;54
622;53
623;52
624;46
625;58
626;52
627;56
628;57
629;46
630;49
631;43
632;52
633;53
634;42
635;56
