degree;count
1;12423623
2;24490833
3;18722061
4;12847282
5;8642151
6;5807377
7;3940674
8;2704826
9;1891266
10;1344185
11;977570
12;724067
13;548690
14;423240
15;332549
16;265956
17;214979
18;177502
19;148590
20;124600
21;106248
22;91932
23;78851
24;69336
25;60977
26;54266
27;48202
28;43205
29;38698
30;35169
31;31578
32;29474
33;26870
34;24164
35;22569
36;20709
37;19391
38;18066
39;16834
40;15575
41;14514
42;13610
43;12684
44;11944
45;11273
46;10733
47;10092
48;9453
49;9161
50;8477
51;8252
52;7833
53;7310
54;7155
55;6825
56;6415
57;6263
58;5856
59;5686
60;5369
61;5281
62;4956
63;4828
64;4493
65;4279
66;4332
67;4071
68;3929
69;3787
70;3583
71;3511
72;3298
73;3336
74;3120
75;3075
76;3016
77;2912
78;2786
79;2722
80;2656
81;2619
82;2516
83;2413
84;2302
85;2207
86;2210
87;2212
88;2214
89;2118
90;2018
91;1999
92;1799
93;1893
94;1821
95;1714
96;1746
97;1647
98;1603
99;1583
100;1548
101;1510
102;1405
103;1446
104;1388
105;1330
106;1435
107;1344
108;1235
109;1305
110;1307
111;1179
112;1214
113;1171
114;1101
115;1163
116;1074
117;1077
118;1043
119;1092
120;992
121;1012
122;978
123;965
124;968
125;912
126;888
127;895
128;853
129;867
130;832
131;833
132;780
133;790
134;773
135;765
136;761
137;741
138;733
139;725
140;748
141;699
142;701
143;700
144;627
145;663
146;659
147;641
148;624
149;606
150;619
151;600
152;597
153;584
154;557
155;559
156;527
157;550
158;483
159;515
160;531
161;526
162;523
163;469
164;485
165;513
166;488
167;447
168;479
169;470
170;472
171;479
172;460
173;395
174;395
175;450
176;401
177;445
178;396
179;368
180;434
181;439
182;393
183;383
184;372
185;373
186;379
187;369
188;376
189;366
190;361
191;357
192;357
193;362
194;353
195;337
196;320
197;333
198;374
199;308
200;292
201;266
202;331
203;302
204;287
205;324
206;296
207;334
208;312
209;302
210;317
211;294
212;279
213;249
214;269
215;247
216;282
217;265
218;250
219;262
220;238
221;234
222;243
223;206
224;270
225;225
226;246
227;227
228;226
229;223
230;225
231;223
232;220
233;214
234;216
235;229
236;235
237;248
238;224
239;207
240;231
241;226
242;232
243;215
244;198
245;202
246;216
247;207
248;191
249;170
250;215
251;182
252;191
253;196
254;193
255;172
256;217
257;180
258;167
259;200
260;177
261;161
262;175
263;168
264;175
265;171
266;167
267;160
268;147
269;208
270;162
271;163
272;162
273;172
274;137
275;169
276;146
277;163
278;119
279;154
280;157
281;143
282;142
283;151
284;125
285;149
286;147
287;130
288;125
289;170
290;149
291;136
292;129
293;153
294;148
295;116
296;134
297;128
298;126
299;140
300;142
301;133
302;131
303;159
304;131
305;107
306;102
307;140
308;115
309;138
310;145
311;122
312;102
313;112
314;145
315;131
316;127
317;128
318;111
319;120
320;112
321;120
322;110
323;109
324;96
325;115
326;118
327;105
328;110
329;113
330;107
331;113
332;113
333;117
334;95
335;114
336;107
337;102
338;104
339;97
340;107
341;91
342;105
343;106
344;99
345;98
346;111
347;96
348;102
349;88
350;90
351;96
352;98
353;99
354;89
355;100
356;90
357;79
358;98
359;83
360;94
361;72
362;95
363;80
364;88
365;88
366;97
367;82
368;99
369;73
370;87
371;75
372;84
373;90
374;85
375;88
376;78
377;93
378;82
379;84
380;81
381;65
382;70
383;78
384;76
385;68
386;72
387;76
388;66
389;89
390;67
391;61
392;60
393;68
394;75
395;77
396;82
397;81
398;57
399;75
400;87
401;62
402;62
403;65
404;57
405;65
406;73
407;52
408;73
409;64
410;45
411;73
412;84
413;67
414;61
415;53
416;62
417;66
418;50
419;64
420;54
421;65
422;47
423;62
424;68
425;68
426;74
427;77
428;63
429;56
430;54
431;65
432;58
433;46
434;62
435;60
436;66
437;47
438;63
439;56
440;65
441;62
442;52
