degree;count
1;11389110
2;8649282
3;6453062
4;4755592
5;3475633
6;2524202
7;1836621
8;1350545
9;999092
10;752180
11;577135
12;448246
13;355404
14;285680
15;233488
16;193253
17;161174
18;136874
19;116210
20;100288
21;86764
22;76002
23;66914
24;59268
25;52575
26;46404
27;41852
28;37767
29;33639
30;30783
31;27927
32;25364
33;23260
34;21227
35;19405
36;18111
37;16571
38;15246
39;14374
40;13064
41;12238
42;11265
43;10477
44;9857
45;9126
46;8621
47;8065
48;7368
49;7210
50;6742
51;6200
52;5779
53;5528
54;5285
55;4898
56;4660
57;4436
58;4145
59;4032
60;3741
61;3531
62;3370
63;3236
64;3099
65;2910
66;2688
67;2433
68;2500
69;2404
70;2268
71;2172
72;2035
73;1973
74;1865
75;1821
76;1750
77;1635
78;1523
79;1430
80;1392
81;1440
82;1379
83;1281
84;1178
85;1189
86;1092
87;1127
88;1043
89;1032
90;973
91;925
92;857
93;833
94;796
95;806
96;760
97;732
98;695
99;671
100;684
101;603
102;585
103;609
104;646
105;551
106;552
107;494
108;524
109;502
110;458
111;454
112;457
113;440
114;396
115;420
116;380
117;355
118;356
119;361
120;365
121;322
122;333
123;316
124;281
125;316
126;306
127;291
128;308
129;264
130;262
131;257
132;220
133;218
134;211
135;208
136;201
137;202
138;220
139;195
140;219
141;175
142;183
143;185
144;160
145;153
146;169
147;189
148;138
149;166
150;134
151;143
152;131
153;128
154;148
155;108
156;100
157;120
158;109
159;133
160;117
161;127
162;124
163;100
164;122
165;98
166;108
167;97
168;100
169;86
170;105
171;91
172;88
173;81
174;81
175;82
176;73
177;94
178;72
179;72
180;81
181;66
182;78
183;74
184;62
185;46
186;51
187;56
188;62
189;52
190;57
191;69
192;62
193;64
194;57
195;55
196;58
197;39
198;58
199;54
200;52
201;44
202;36
203;42
204;42
205;56
206;38
207;35
208;41
209;35
210;38
211;36
212;40
213;31
214;28
215;36
216;30
217;27
218;39
219;40
220;30
221;27
222;33
223;31
224;28
225;32
226;19
227;30
228;20
229;25
230;30
231;21
232;29
233;22
234;23
235;15
236;31
237;19
238;23
239;20
240;26
241;14
242;20
243;29
244;25
245;16
246;16
247;15
248;24
249;13
250;15
251;19
252;18
253;18
254;14
255;14
256;21
257;24
258;13
259;14
260;10
261;23
262;8
263;17
264;15
265;15
266;14
267;12
268;14
269;13
270;7
271;16
272;12
273;7
274;14
275;15
276;16
277;9
278;14
279;9
280;13
281;9
282;6
283;13
284;9
285;10
286;9
287;9
288;9
289;9
290;11
291;10
292;10
293;10
294;17
295;12
296;9
297;14
298;7
299;9
300;6
301;9
302;6
303;7
304;5
305;5
306;13
307;7
308;6
309;8
310;6
311;3
312;7
313;7
314;11
315;9
316;7
317;6
318;2
319;2
320;8
321;5
322;6
323;9
324;11
325;4
326;6
327;8
328;6
329;5
330;1
331;4
332;4
333;3
334;3
335;3
336;3
337;5
338;4
339;5
340;3
341;6
342;7
343;3
345;3
346;3
347;3
349;3
350;3
351;7
352;3
353;6
354;3
355;2
356;8
357;2
358;6
359;1
360;4
361;7
362;1
363;2
364;2
365;3
366;3
367;3
368;3
369;5
370;5
371;5
372;2
373;3
374;1
375;2
376;2
377;1
378;1
379;1
380;3
381;4
382;3
383;2
384;3
386;3
387;1
389;1
390;1
392;1
393;2
394;3
395;1
396;1
397;1
399;2
400;3
401;2
402;1
403;4
404;3
409;2
410;2
411;1
413;3
414;2
415;2
416;1
419;2
420;1
421;1
422;1
423;2
425;1
426;3
427;4
428;1
429;3
430;4
432;1
433;5
434;1
435;3
436;1
437;2
438;1
439;1
441;2
442;1
444;1
445;1
446;2
447;1
448;1
449;2
450;1
451;1
452;1
453;1
454;1
456;3
457;3
458;1
459;2
460;3
461;2
463;1
465;1
466;2
467;1
468;1
469;3
471;1
474;3
475;2
477;2
480;2
482;2
489;2
490;1
496;1
497;1
499;1
502;1
504;1
512;1
517;1
519;1
520;1
525;2
526;1
528;1
529;1
530;1
533;1
536;1
541;1
543;2
547;1
548;1
549;1
550;2
554;1
558;1
565;2
566;1
569;1
571;1
572;1
576;1
579;2
580;1
581;1
583;2
591;1
593;1
601;1
603;1
605;1
606;1
607;1
611;1
613;1
619;2
624;1
627;1
648;1
650;1
655;1
666;1
668;1
675;1
678;1
680;1
715;1
752;2
759;1
783;1
824;1
853;1
880;1
886;1
892;1
903;1
995;1
1106;1
1115;1
1358;1
1416;1
1574;1
7488;1
10902;1
