degree;count
1;28492891
2;8604265
3;3992437
4;2254814
5;1427641
6;978303
7;705751
8;529929
9;410972
10;326697
11;264982
12;218582
13;184235
14;156370
15;134008
16;116735
17;101440
18;89148
19;79188
20;70556
21;63198
22;56932
23;51704
24;47073
25;42611
26;39107
27;36329
28;33316
29;30326
30;28275
31;26441
32;24487
33;22919
34;21458
35;19982
36;18893
37;17929
38;16810
39;15605
40;14713
41;13779
42;13389
43;12493
44;11933
45;11240
46;10669
47;10344
48;9702
49;9302
50;9056
51;8488
52;8272
53;7817
54;7533
55;7272
56;6858
57;6591
58;6163
59;6005
60;5656
61;5474
62;5399
63;5191
64;4979
65;4975
66;4621
67;4561
68;4383
69;4154
70;4105
71;3939
72;3696
73;3747
74;3606
75;3552
76;3527
77;3254
78;3208
79;3090
80;3046
81;2934
82;2837
83;2759
84;2696
85;2603
86;2570
87;2478
88;2393
89;2334
90;2292
91;2224
92;2163
93;2162
94;2094
95;2044
96;2040
97;1919
98;1953
99;1813
100;1789
101;1732
102;1729
103;1739
104;1667
105;1670
106;1624
107;1518
108;1478
109;1467
110;1468
111;1468
112;1366
113;1405
114;1385
115;1316
116;1328
117;1246
118;1235
119;1239
120;1242
121;1211
122;1166
123;1106
124;1147
125;1059
126;1093
127;1030
128;1002
129;1026
130;1014
131;984
132;950
133;926
134;930
135;869
136;905
137;899
138;931
139;804
140;837
141;810
142;825
143;851
144;747
145;730
146;754
147;723
148;675
149;733
150;695
151;684
152;704
153;720
154;681
155;663
156;633
157;625
158;617
159;573
160;642
161;605
162;571
163;561
164;610
165;581
166;564
167;611
168;536
169;520
170;519
171;526
172;525
173;529
174;521
175;563
176;459
177;479
178;486
179;445
180;500
181;454
182;458
183;427
184;440
185;451
186;437
187;433
188;427
189;423
190;431
191;426
192;402
193;398
194;398
195;384
196;352
197;415
198;369
199;352
200;361
201;378
202;414
203;379
204;331
205;339
206;318
207;382
208;371
209;322
210;313
211;317
212;333
213;302
214;319
215;304
216;300
217;302
218;322
219;286
220;317
221;310
222;317
223;272
224;297
225;270
226;293
227;276
228;277
229;255
230;276
231;260
232;274
233;242
234;244
235;259
236;244
237;222
238;253
239;220
240;242
241;228
242;264
243;252
244;258
245;230
246;239
247;231
248;208
249;227
250;199
251;208
252;211
253;202
254;191
255;200
256;224
257;203
258;196
259;179
260;196
261;208
262;187
263;165
264;192
265;181
266;204
267;170
268;198
269;211
270;177
271;173
272;191
273;183
274;179
275;176
276;167
277;182
278;188
279;179
280;164
281;137
282;159
283;154
284;162
285;147
286;153
287;161
288;149
289;154
290;152
291;170
292;141
293;153
294;154
295;173
296;138
297;149
298;149
299;151
300;152
301;175
302;161
303;125
304;137
305;128
306;146
307;138
308;128
309;138
310;139
311;130
312;130
313;129
314;123
315;135
316;139
317;135
318;110
319;136
320;136
321;121
322;135
323;126
324;128
325;110
326;105
327;128
328;127
329;103
330;110
331;130
332;102
333;133
