degree;count
1;25657235
2;7829940
3;3661568
4;2082453
5;1327542
6;911270
7;659791
8;499365
9;387132
10;310157
11;252541
12;209540
13;175363
14;149992
15;128132
16;111365
17;96934
18;86653
19;76575
20;68842
21;61575
22;55576
23;49979
24;45703
25;41436
26;38199
27;35411
28;32483
29;29845
30;27540
31;25753
32;24281
33;22491
34;20664
35;19648
36;18421
37;17431
38;16601
39;15508
40;14736
41;13716
42;13217
43;12244
44;11929
45;11096
46;10732
47;10243
48;9766
49;9351
50;8820
51;8415
52;8048
53;7853
54;7390
55;7001
56;6905
57;6609
58;6363
59;6113
60;5876
61;5571
62;5406
63;5103
64;4957
65;4950
66;4680
67;4428
68;4377
69;4395
70;4215
71;4052
72;3872
73;3842
74;3674
75;3565
76;3490
77;3205
78;3292
79;3215
80;3110
81;3056
82;2879
83;2881
84;2715
85;2720
86;2692
87;2621
88;2444
89;2370
90;2336
91;2224
92;2166
93;2173
94;2092
95;2101
96;2008
97;1911
98;1910
99;1884
100;1815
101;1752
102;1797
103;1746
104;1641
105;1634
106;1624
107;1539
108;1606
109;1460
110;1484
111;1453
112;1458
113;1446
114;1404
115;1339
116;1337
117;1304
118;1349
119;1263
120;1246
121;1213
122;1208
123;1185
124;1068
125;1095
126;1118
127;1099
128;1033
129;1025
130;1047
131;1008
132;948
133;961
134;986
135;975
136;883
137;853
138;864
139;894
140;852
141;875
142;796
143;784
144;800
145;786
146;825
147;807
148;750
149;773
150;710
151;706
152;702
153;672
154;690
155;637
156;653
157;651
158;666
159;648
160;644
161;604
162;620
163;631
164;623
165;611
166;605
167;561
168;569
169;603
170;544
171;560
172;564
173;556
174;533
175;482
176;488
177;492
178;511
179;482
180;445
181;520
182;476
183;471
184;477
185;510
186;437
187;430
188;425
189;480
190;450
191;440
192;433
193;400
194;383
195;424
196;412
197;375
198;358
199;394
200;382
201;368
202;384
203;350
204;371
205;376
206;381
207;366
208;342
209;342
210;348
211;358
212;347
213;337
214;340
215;311
216;293
217;328
218;317
219;315
220;308
221;304
222;331
223;296
224;272
225;291
226;277
227;279
228;298
229;285
230;283
231;270
232;275
233;265
234;257
235;263
236;259
237;270
238;272
239;246
240;222
241;254
242;266
243;235
244;230
245;242
246;253
247;234
248;224
249;259
250;251
251;233
252;256
253;219
254;201
255;213
256;242
257;210
258;251
259;221
260;212
261;222
262;222
263;215
264;183
265;202
266;219
267;170
268;216
269;198
270;192
271;182
272;183
273;207
274;198
275;167
276;172
277;176
278;182
279;161
280;176
281;162
282;190
283;180
284;170
285;170
286;164
287;181
288;159
289;154
290;174
291;161
292;188
293;152
294;177
295;182
296;166
297;154
298;165
299;146
300;127
301;155
302;167
303;148
304;148
305;135
306;166
307;150
308;140
309;139
310;157
311;159
312;142
313;133
314;128
315;143
316;125
317;146
318;136
319;135
320;122
321;126
322;128
323;150
324;122
325;123
326;146
327;131
328;122
329;126
330;103
331;119
332;111
333;127
334;93
335;134
336;128
337;114
338;132
339;136
340;131
341;120
342;103
343;89
344;117
345;116
346;113
347;113
348;111
349;112
350;104
351;111
352;111
353;89
354;100
355;111
356;111
357;106
358;102
359;108
360;95
361;90
362;105
363;98
364;101
365;90
366;87
367;78
368;93
369;102
370;85
371;88
372;71
373;80
374;89
375;102
376;90
377;102
378;94
379;90
380;108
381;81
382;89
383;99
384;75
385;75
386;85
387;92
388;97
389;86
390;87
391;84
392;76
393;85
394;73
395;78
396;79
397;67
398;86
399;74
400;86
401;79
402;83
403;68
404;87
405;98
406;69
407;73
408;84
409;76
410;73
411;76
412;68
413;80
414;64
415;78
416;73
417;61
418;78
419;66
420;62
