degree;count
1;40886735
2;12306652
3;5688972
4;3207507
5;2029242
6;1384533
7;997907
8;749785
9;581282
10;462168
11;375976
12;308607
13;258988
14;219542
15;188836
16;162993
17;142489
18;124754
19;111998
20;98452
21;88185
22;79946
23;72529
24;65442
25;59553
26;54854
27;50439
28;46823
29;42579
30;39427
31;36901
32;33919
33;31860
34;29682
35;27846
36;26211
37;24538
38;23157
39;21951
40;20714
41;19288
42;18102
43;17274
44;16311
45;15682
46;14914
47;14114
48;13666
49;12869
50;12320
51;11695
52;11287
53;10797
54;10462
55;9817
56;9517
57;9221
58;8768
59;8335
60;8053
61;7817
62;7358
63;7299
64;7077
65;6695
66;6590
67;6397
68;6043
69;5887
70;5780
71;5332
72;5260
73;5157
74;5116
75;4907
76;4543
77;4537
78;4383
79;4269
80;4178
81;4085
82;3955
83;3779
84;3711
85;3658
86;3454
87;3383
88;3360
89;3237
90;3170
91;3137
92;2965
93;2963
94;2885
95;2767
96;2733
97;2655
98;2704
99;2643
100;2447
101;2399
102;2423
103;2269
104;2261
105;2259
106;2254
107;2145
108;2071
109;2104
110;1986
111;1944
112;2018
113;1912
114;1867
115;1795
116;1717
117;1705
118;1682
119;1668
120;1610
121;1562
122;1549
123;1555
124;1552
125;1460
126;1412
127;1466
128;1397
129;1369
130;1371
131;1368
132;1377
133;1229
134;1211
135;1272
136;1290
137;1147
138;1220
139;1139
140;1125
141;1225
142;1103
143;1087
144;995
145;1064
146;1050
147;1065
148;984
149;1009
150;980
151;936
152;993
153;1005
154;986
155;868
156;904
157;935
158;828
159;871
160;842
161;845
162;803
163;837
164;777
165;816
166;831
167;803
168;752
169;715
170;731
171;744
172;706
173;711
174;703
175;679
176;625
177;644
178;700
179;602
180;658
181;675
182;654
183;609
184;571
185;605
186;629
187;591
188;601
189;553
190;561
191;591
192;579
193;548
194;525
195;542
196;544
197;525
198;513
199;543
200;493
201;505
202;502
203;475
204;467
205;457
206;469
207;427
208;454
209;476
210;443
211;454
212;454
213;453
214;461
215;453
216;433
217;440
218;446
219;405
220;379
221;419
222;417
223;346
224;413
225;355
226;388
227;413
228;359
229;354
230;360
231;363
232;323
233;343
234;376
235;353
236;325
237;334
238;380
239;322
240;352
241;320
242;339
243;325
244;332
245;287
246;312
247;308
248;300
249;297
250;295
251;294
252;276
253;280
254;278
255;303
256;267
257;254
258;286
259;266
260;292
261;262
262;283
263;234
264;273
265;238
266;284
267;248
268;276
269;268
270;250
271;302
272;275
273;261
274;215
275;238
276;261
277;252
278;225
279;211
280;218
281;238
282;235
283;220
284;208
285;233
286;216
287;209
288;213
289;222
290;200
291;207
292;225
293;221
294;200
295;186
296;208
297;203
298;230
299;185
300;195
301;210
302;210
303;193
304;195
305;147
306;191
307;193
308;174
309;194
310;186
311;200
312;206
313;159
314;175
315;188
316;168
317;168
318;179
319;162
320;140
321;157
322;151
323;177
324;153
325;151
326;142
327;152
328;143
329;199
330;141
331;133
332;156
333;150
334;159
335;138
336;122
337;135
338;142
339;144
340;149
341;139
342;158
343;150
344;133
345;135
346;133
347;150
348;133
349;136
350;142
351;143
352;153
353;123
354;141
355;119
356;168
357;126
358;126
359;129
360;136
361;125
362;135
363;117
364;129
365;129
366;120
367;125
368;121
369;127
370;143
371;137
372;127
373;106
374;115
375;114
376;140
377;112
378;117
379;125
380;115
381;97
382;116
383;122
384;109
385;95
386;95
387;110
388;120
389;110
390;110
391;103
392;86
393;97
394;98
395;76
396;108
397;103
398;118
399;106
400;98
401;97
402;77
403;113
404;114
405;94
406;94
407;103
408;100
409;92
410;82
411;104
412;90
413;89
414;100
415;80
416;110
417;99
418;74
419;83
420;92
421;85
422;79
423;116
424;76
425;82
426;81
427;79
428;88
429;85
430;95
431;94
432;84
433;94
434;77
435;66
436;83
437;76
438;92
439;68
440;85
441;91
442;79
443;81
444;80
445;87
446;82
447;75
448;68
449;80
450;81
451;82
452;66
453;82
454;87
455;88
456;70
457;70
458;62
459;87
460;70
461;64
462;72
463;70
464;64
465;77
466;77
467;75
468;69
469;86
470;50
471;77
472;69
473;69
474;71
475;71
476;58
477;78
478;55
479;63
480;55
481;68
482;61
483;62
484;50
485;60
486;66
487;48
488;67
489;59
490;48
491;64
492;68
493;41
494;65
495;66
496;55
497;53
498;62
499;69
500;51
501;68
502;69
503;48
504;67
505;61
506;58
507;79
508;74
509;43
510;59
511;60
512;59
513;76
514;60
515;51
516;66
517;44
518;53
519;51
520;53
521;52
522;60
523;54
524;40
525;52
526;66
527;53
528;49
529;53
530;50
531;58
532;40
533;39
534;48
535;55
536;57
537;59
538;49
539;50
540;43
541;50
542;51
543;47
544;55
545;53
546;39
547;41
548;59
549;55
550;43
551;40
552;46
553;52
554;45
555;48
556;42
557;40
558;42
559;38
560;41
561;42
562;59
563;40
564;39
565;48
566;50
567;43
568;36
569;46
570;41
571;42
572;53
573;41
574;44
575;55
576;43
577;39
578;48
579;39
580;24
581;47
582;51
583;51
584;44
585;38
586;31
587;34
588;41
589;36
590;34
591;40
592;46
593;42
594;44
595;47
596;40
597;36
598;41
599;43
600;34
601;37
602;35
603;34
604;41
605;42
606;36
607;42
608;33
609;32
610;38
611;42
612;32
613;39
614;27
615;30
616;33
617;37
618;40
619;40
620;22
621;37
622;30
623;29
624;42
625;31
626;32
627;38
628;44
629;38
630;36
631;38
632;34
633;35
634;24
635;33
636;46
637;30
638;25
639;37
640;26
641;25
642;24
643;34
644;24
645;36
646;34
647;23
648;32
649;31
650;35
651;29
652;35
653;33
654;28
655;31
656;27
657;25
658;33
659;32
660;25
661;31
662;34
663;40
664;27
665;32
666;27
667;27
668;28
669;28
670;27
671;27
672;26
673;28
674;26
675;28
676;19
677;24
678;34
679;34
680;31
681;32
682;24
683;27
684;22
685;29
686;23
687;28
688;21
689;33
690;31
691;23
692;34
693;27
694;34
695;20
696;35
697;25
698;33
699;37
700;25
701;26
702;23
703;23
704;27
705;22
706;24
707;26
708;34
709;21
710;21
711;25
712;25
713;29
714;37
715;24
716;24
717;24
718;20
719;22
720;29
721;33
722;24
723;27
