degree;count
1;40831783
2;12290163
3;5690982
4;3204738
5;2026749
6;1383825
7;997860
8;749188
9;581784
10;461121
11;375244
12;309620
13;259463
14;219393
15;188612
16;163407
17;142044
18;125563
19;111349
20;99198
21;88441
22;79280
23;72193
24;65630
25;59894
26;54724
27;50237
28;46287
29;42624
30;39500
31;36540
32;34042
33;31762
34;29437
35;27788
36;26148
37;24503
38;22763
39;21435
40;20695
41;19622
42;18312
43;17600
44;16293
45;15732
46;14879
47;14170
48;13371
49;12992
50;12288
51;11826
52;11124
53;10806
54;10330
55;9820
56;9375
57;9137
58;8865
59;8495
60;8253
61;7831
62;7509
63;7214
64;6965
65;6616
66;6515
67;6262
68;6031
69;5974
70;5785
71;5453
72;5310
73;5102
74;5058
75;4789
76;4750
77;4619
78;4424
79;4305
80;4212
81;4017
82;3954
83;3805
84;3806
85;3728
86;3536
87;3461
88;3188
89;3287
90;3211
91;3169
92;3080
93;2937
94;2909
95;2839
96;2742
97;2703
98;2615
99;2529
100;2452
101;2465
102;2347
103;2323
104;2273
105;2240
106;2193
107;2154
108;2062
109;2135
110;1965
111;1986
112;1900
113;1859
114;1810
115;1691
116;1765
117;1801
118;1637
119;1640
120;1628
121;1629
122;1572
123;1518
124;1572
125;1482
126;1565
127;1485
128;1426
129;1388
130;1324
131;1283
132;1359
133;1297
134;1250
135;1238
136;1199
137;1168
138;1204
139;1163
140;1156
141;1142
142;1094
143;1030
144;1059
145;1108
146;1068
147;995
148;992
149;986
150;920
151;1003
152;927
153;1002
154;945
155;863
156;879
157;838
158;833
159;830
160;848
161;806
162;823
163;803
164;807
165;755
166;832
167;769
168;766
169;752
170;749
171;702
172;707
173;740
174;712
175;692
176;700
177;683
178;646
179;642
180;638
181;664
182;643
183;622
184;595
185;611
186;592
187;542
188;584
189;560
190;551
191;568
192;509
193;547
194;595
195;481
196;569
197;545
198;541
199;521
200;502
201;504
202;513
203;450
204;488
205;435
206;445
207;482
208;449
209;472
210;407
211;446
212;416
213;414
214;440
215;440
216;452
217;443
218;398
219;407
220;409
221;380
222;402
223;393
224;372
225;374
226;391
227;419
228;387
229;361
230;334
231;372
232;345
233;344
234;369
235;343
236;362
237;351
238;371
239;359
240;354
241;304
242;296
243;318
244;350
245;309
246;312
247;308
248;311
249;279
250;299
251;303
252;315
253;279
254;273
255;308
256;266
257;267
258;275
259;303
260;250
261;259
262;267
263;273
264;260
265;296
266;272
267;301
268;249
269;239
270;235
271;246
272;226
273;244
274;231
275;227
276;272
277;247
278;249
279;215
280;220
281;196
282;225
283;220
284;214
285;212
286;235
287;220
288;202
289;207
290;218
291;189
292;219
293;202
294;189
295;187
296;205
297;214
298;203
299;210
300;191
301;201
302;179
303;168
304;181
305;157
306;174
307;191
308;181
309;178
310;177
311;169
312;173
313;186
314;184
315;142
316;186
317;186
318;165
319;175
320;179
321;181
322;175
323;205
324;175
325;131
326;135
327;159
328;142
329;149
330;165
331;147
332;157
333;149
334;149
335;131
336;138
337;173
338;161
339;141
340;144
341;154
342;149
343;148
344;136
345;127
346;132
347;138
348;150
349;156
350;153
351;118
352;133
353;137
354;121
355;126
356;112
357;122
358;134
359;128
360;103
361;125
362;138
363;149
364;103
365;105
366;137
367;117
368;129
369;126
370;113
371;107
372;112
373;123
374;126
375;120
376;114
377;118
378;116
379;116
380;131
381;118
382;113
383;106
384;93
385;108
386;110
387;99
388;115
389;107
390;97
391;115
392;110
393;114
394;97
395;109
396;99
397;102
398;121
399;105
400;96
401;99
402;89
403;93
404;110
405;113
406;96
407;91
408;92
409;100
410;90
411;95
412;100
413;81
414;107
415;99
416;106
417;89
418;89
419;89
420;76
421;90
422;98
423;100
424;69
425;101
426;95
427;85
428;78
429;78
430;81
431;91
432;76
433;86
434;90
435;72
436;81
437;93
438;84
439;79
440;63
441;71
442;79
443;89
444;72
445;90
446;74
447;84
448;79
449;90
450;69
451;80
452;87
453;73
454;62
455;66
456;78
457;68
458;75
459;74
460;73
461;75
462;79
463;59
464;74
465;69
466;77
467;71
468;94
469;65
470;71
471;76
472;70
473;66
474;85
475;62
476;72
477;72
478;68
479;57
480;74
481;60
482;73
483;58
484;60
485;77
486;73
487;68
488;69
489;62
490;55
491;65
492;66
493;54
494;63
495;71
496;67
497;63
498;61
499;44
500;54
501;58
502;62
503;58
504;50
505;59
506;58
507;55
508;74
509;52
510;62
511;74
512;70
513;70
514;57
515;54
516;46
517;52
518;55
519;53
520;65
521;52
522;48
523;65
524;55
525;61
526;41
527;39
528;55
529;68
530;50
531;49
532;69
533;57
534;55
535;48
536;47
537;43
538;56
539;59
540;38
541;52
542;53
543;47
544;48
545;52
546;47
547;46
548;52
549;53
550;51
551;52
552;68
553;36
554;52
555;48
556;42
557;49
558;35
559;44
560;41
561;36
562;32
563;56
564;44
565;36
566;31
567;53
568;48
569;35
570;51
571;39
572;42
573;48
574;41
575;52
576;45
577;44
578;44
579;45
580;33
581;47
582;46
583;47
584;41
585;45
586;42
587;40
588;53
589;33
590;47
591;43
592;48
593;33
594;48
595;30
596;32
597;24
598;39
599;32
600;39
601;39
602;41
603;44
604;34
605;28
606;35
607;42
608;31
609;46
610;43
611;41
612;41
613;33
614;37
615;33
616;31
617;51
618;34
619;42
620;39
621;35
622;29
623;24
624;28
625;20
626;37
627;30
628;32
629;41
630;25
631;35
632;43
633;41
634;35
635;42
636;37
637;27
638;43
639;32
640;24
641;28
642;34
643;39
644;34
645;37
646;33
647;32
648;32
649;44
650;21
651;43
652;29
653;34
654;35
655;33
656;34
657;41
658;37
659;37
660;37
661;29
662;31
663;34
664;34
665;26
666;30
667;41
668;33
669;35
670;31
671;38
672;37
673;26
674;32
675;34
676;29
677;33
678;30
679;29
680;32
681;34
682;33
683;30
684;32
685;27
686;32
687;22
688;27
689;19
690;25
691;31
692;31
693;36
694;27
695;31
696;21
697;20
698;39
699;22
700;37
701;25
702;26
703;24
704;19
705;33
706;24
707;24
708;32
709;26
710;34
711;33
712;35
713;37
714;29
715;23
716;23
717;22
718;22
719;27
720;18
721;37
722;25
723;35
724;29
725;28
726;25
727;17
728;25
729;32
730;30
731;19
732;30
733;31
734;17
735;27
736;31
737;26
738;30
739;27
740;31
741;33
742;25
743;18
744;25
745;23
746;20
747;32
748;18
749;24
750;17
751;26
752;32
753;22
754;19
755;21
756;25
757;17
758;21
759;21
760;10
761;20
762;23
763;25
764;17
765;20
766;30
767;20
768;22
769;22
770;29
771;22
772;18
773;28
774;23
775;22
776;21
777;14
778;21
779;15
780;20
781;20
782;22
783;21
784;24
785;26
786;23
787;30
788;17
789;22
790;25
791;31
792;18
793;18
794;15
795;20
796;24
797;26
798;23
799;19
800;16
801;18
802;25
803;14
804;22
805;23
806;23
807;26
808;14
809;22
810;16
811;13
812;17
813;20
814;18
815;23
816;18
817;17
818;23
819;21
820;21
821;16
822;22
823;29
824;23
825;18
826;20
827;17
828;21
829;25
830;19
831;15
832;18
833;14
834;25
835;17
836;10
837;14
838;12
839;18
840;19
841;14
842;21
843;14
844;14
845;11
846;20
847;15
848;12
849;14
850;22
851;23
852;21
853;15
854;14
855;13
856;23
857;16
858;23
859;17
860;12
861;14
862;27
863;11
864;19
865;22
866;11
867;21
868;20
869;19
870;18
871;12
872;13
873;19
874;17
875;7
876;10
877;22
878;12
879;16
880;15
881;16
882;12
883;21
884;23
885;10
886;10
887;12
888;18
889;13
890;16
891;14
892;20
893;18
894;12
895;18
896;13
897;14
898;16
899;10
900;25
901;25
902;18
903;14
904;13
905;12
906;14
907;19
908;16
909;11
910;19
911;11
912;19
913;13
914;12
915;11
916;17
917;16
918;11
919;18
920;17
921;6
922;14
923;16
924;18
925;19
926;13
927;21
928;15
929;13
930;25
931;14
932;8
933;16
934;17
935;9
936;16
937;15
938;11
939;15
940;16
941;12
942;11
943;11
944;12
945;15
946;11
947;11
948;13
949;12
950;16
951;18
952;14
953;10
954;20
955;15
956;16
957;16
958;13
959;15
960;11
961;11
962;17
963;13
964;14
965;8
966;15
967;16
968;17
969;24
970;14
971;18
972;11
973;19
974;12
975;11
976;10
977;13
978;18
979;15
980;15
981;17
982;18
983;16
984;18
985;18
986;15
987;8
988;14
989;15
990;15
991;12
992;9
993;12
994;11
995;20
996;13
997;14
998;9
999;11
1000;10
1001;11
1002;12
1003;11
1004;11
1005;17
1006;14
1007;5
1008;8
1009;9
1010;11
1011;8
1012;8
1013;6
1014;17
1015;12
1016;11
1017;16
1018;15
1019;17
1020;16
1021;9
1022;12
1023;16
1024;8
1025;12
1026;11
1027;14
1028;17
1029;16
1030;9
1031;9
1032;8
1033;11
1034;14
1035;11
1036;11
1037;6
1038;11
1039;7
1040;11
1041;9
1042;7
1043;7
1044;13
1045;11
1046;8
1047;12
1048;12
1049;8
1050;6
1051;11
1052;14
1053;5
1054;3
1055;11
1056;11
1057;4
1058;14
1059;21
1060;11
1061;15
1062;8
1063;9
1064;12
1065;6
1066;11
1067;12
1068;13
1069;10
1070;9
1071;21
1072;13
1073;8
1074;7
1075;9
1076;9
1077;8
1078;11
1079;8
1080;8
1081;11
1082;16
1083;8
1084;6
1085;5
1086;10
1087;13
1088;7
1089;9
1090;7
1091;12
1092;6
1093;7
1094;9
1095;7
1096;14
1097;7
1098;10
1099;6
1100;13
1101;9
1102;10
1103;7
1104;10
1105;9
1106;12
1107;8
1108;10
1109;10
1110;5
1111;7
1112;14
1113;9
1114;9
1115;11
1116;6
1117;11
1118;8
1119;12
1120;6
1121;11
1122;9
1123;12
1124;10
1125;7
1126;8
1127;14
1128;7
1129;5
1130;10
1131;9
1132;10
1133;5
1134;15
1135;12
1136;11
1137;6
1138;10
1139;10
1140;5
1141;9
1142;9
1143;10
1144;5
1145;7
1146;4
1147;3
1148;5
1149;6
1150;9
1151;8
1152;8
1153;18
1154;8
1155;5
1156;10
1157;9
1158;3
1159;12
1160;12
1161;11
1162;6
1163;10
1164;14
1165;9
1166;9
1167;4
1168;13
1169;10
1170;7
1171;5
1172;9
1173;9
1174;9
1175;9
1176;6
1177;11
1178;6
1179;10
1180;7
1181;8
1182;9
1183;9
1184;6
1185;13
1186;9
1187;3
1188;4
1189;5
1190;8
1191;8
1192;10
1193;7
1194;10
1195;7
1196;9
1197;5
1198;10
1199;9
1200;9
1201;8
1202;9
1203;9
1204;7
1205;10
1206;8
1207;12
1208;11
1209;9
1210;13
1211;3
1212;5
1213;8
1214;5
1215;5
1216;12
1217;4
1218;11
1219;7
1220;8
1221;9
1222;7
1223;4
1224;8
1225;11
1226;7
1227;9
1228;6
1229;7
1230;7
1231;6
1232;9
1233;6
1234;13
1235;7
1236;5
1237;5
1238;6
1239;9
1240;8
1241;12
1242;5
1243;4
1244;9
1245;8
1246;7
1247;8
1248;8
1249;4
1250;4
1251;5
1252;7
1253;6
1254;6
1255;6
1256;1
1257;7
1258;10
1259;9
1260;7
1261;7
1262;3
1263;5
1264;12
1265;7
1266;5
1267;12
1268;12
1269;6
1270;2
1271;7
1272;6
1273;6
1274;7
1275;4
1276;11
1277;2
1278;9
1279;9
1280;6
1281;7
1282;2
1283;7
1284;13
1285;3
1286;9
1287;8
1288;6
1289;5
1290;3
1291;9
1292;11
1293;3
1294;12
1295;3
1296;7
1297;4
1298;10
1299;9
1300;6
1301;6
1302;6
1303;5
1304;7
1305;9
1306;9
1307;7
1308;6
1309;7
1310;5
1311;6
1312;2
1313;11
1314;4
1315;9
1316;6
1317;14
1318;3
1319;4
1320;8
1321;7
1322;3
1323;4
1324;9
1325;4
1326;7
1327;11
1328;7
1329;4
1330;5
1331;9
1332;9
1333;4
1334;8
1335;8
1336;9
1337;9
1338;4
1339;5
1340;9
1341;7
1342;7
1343;6
1344;6
1345;3
1346;4
1347;7
1348;6
1349;5
1350;6
1351;6
1352;1
1353;5
1354;4
1355;3
1356;6
1357;5
1358;7
1359;7
1360;7
1361;6
1362;6
1363;5
1364;9
1365;8
1366;4
1367;4
1368;6
1369;6
1370;11
1371;11
1372;7
1373;6
1374;5
1375;3
1376;5
1377;4
1378;4
1379;7
1380;3
1381;2
1382;3
1383;8
1384;5
1385;7
1386;5
1387;6
1388;8
1389;6
1390;4
1391;3
1392;7
1393;4
1394;4
1395;7
1396;8
1397;5
1398;4
1399;7
1400;4
1401;4
1402;5
1403;4
1404;9
1405;5
1406;12
1407;4
1408;3
1409;6
1410;6
1411;2
1412;9
1413;8
1414;7
1415;2
1416;4
1417;4
1418;5
1419;2
1420;4
1421;6
1422;4
1423;5
1424;2
1425;5
1426;3
1427;5
1428;8
1429;4
1430;7
1431;3
1432;2
1433;5
1434;9
1435;6
1436;5
1437;2
1438;2
1439;6
1440;2
1441;8
1442;5
1443;7
1444;4
1445;6
1446;3
1447;10
1448;7
1449;6
1450;4
1451;2
1452;13
1453;2
1454;4
1455;4
1456;4
1457;3
1458;11
1459;4
1460;6
1461;7
1462;2
1463;2
1464;6
1465;5
1466;9
1467;5
1468;7
1469;1
1470;3
1471;2
1472;7
1473;9
1474;5
1475;2
1476;5
1477;4
1478;1
1479;5
1480;4
1481;7
1482;5
1483;2
1484;1
1485;6
1486;4
1487;1
1488;3
1489;8
1490;2
1491;9
1492;4
1493;6
1494;5
1495;3
1496;7
1497;4
1498;11
1499;5
1500;2
1501;5
1502;4
1503;6
1504;3
1505;7
1506;5
1507;6
1508;6
1509;4
1510;2
1511;5
1512;7
1513;2
1514;7
1515;10
1516;2
1517;9
1518;1
1519;5
1520;7
1521;5
1522;1
1523;7
1524;5
1526;7
1527;1
1528;8
1529;3
1530;3
1531;4
1532;3
1533;1
1534;2
1535;2
1536;4
1537;1
1538;2
1539;7
1540;4
1541;2
1542;5
1543;6
1544;3
1545;3
1546;5
1547;4
1548;4
1549;7
1550;6
1551;5
1552;1
1553;2
1554;7
1555;4
1556;1
1557;6
1558;4
1559;4
1560;3
1561;4
1562;4
1563;7
1564;3
1565;3
1566;5
1567;2
1568;6
1569;6
1570;6
1571;3
1572;3
1573;5
1574;4
1575;6
1576;4
1577;2
1578;4
1579;1
1580;6
1581;3
1582;5
1583;7
1584;4
1585;1
1586;6
1587;3
1588;5
1589;6
1590;2
1591;3
1592;5
1593;4
1594;5
1595;2
1596;3
1597;3
1598;8
1599;2
1600;4
1601;2
1602;4
1603;5
1604;4
1605;3
1606;3
1607;5
1608;8
1609;8
1610;7
1611;6
1612;1
1613;6
1614;4
1615;5
1616;4
1617;1
1618;6
1619;5
1620;4
1621;4
1622;6
1623;4
1624;4
1625;4
1626;6
1627;7
1628;2
1629;2
1630;4
1631;3
1632;4
1633;3
1634;5
1635;3
1636;8
1637;3
1638;4
1639;3
1640;3
1641;3
1642;5
1643;2
1644;4
1645;7
1646;5
1647;2
1648;4
1649;2
1650;5
1651;5
1652;9
1653;4
1654;5
1655;6
1656;2
1657;5
1658;5
1659;4
1660;6
1661;2
1662;3
1663;5
1664;3
1665;4
1666;3
1667;5
1668;3
1669;4
1670;8
1671;3
1672;2
1673;4
1674;7
1675;1
1676;5
1677;5
1678;2
1679;3
1680;1
1681;5
1682;1
1683;5
1684;1
1685;5
1686;4
1687;3
1688;4
1689;3
1690;1
1691;3
1692;6
1693;2
1694;4
1695;2
1696;2
1697;5
1698;5
1699;2
1700;2
1701;3
1702;4
1703;5
1704;7
1705;6
1706;5
1707;5
1708;4
1709;2
1710;4
1711;3
1712;1
1713;4
1714;5
1715;2
1716;2
1717;2
1718;2
1719;2
1720;2
1721;4
1722;4
1723;4
1724;4
1725;6
1726;6
1727;1
1728;3
1729;5
1730;2
1731;2
1732;2
1733;3
1734;5
1735;1
1736;6
1737;3
1738;4
1739;5
1740;5
1741;1
1742;3
1743;3
1744;2
1745;4
1746;2
1747;2
1748;3
1749;1
1750;2
1751;2
1752;6
1753;3
1754;5
1755;2
1757;7
1758;8
1759;6
1760;7
1761;3
1762;4
1763;4
1764;3
1765;6
1766;1
1767;2
1768;2
1769;1
1770;5
1771;6
1772;1
1773;2
1774;2
1775;1
1776;5
1777;2
1778;5
1779;1
1780;1
1781;1
1782;5
1783;3
1784;1
1785;4
1786;1
1787;7
1788;2
1789;2
1790;2
1791;2
1792;2
1793;3
1794;2
1795;3
1796;8
1797;3
1800;3
1801;5
1802;1
1803;1
1804;1
1805;3
1806;4
1807;5
1808;3
1809;3
1810;2
1811;5
1812;4
1813;4
1814;7
1816;1
1817;2
1818;3
1819;2
1820;3
1821;2
1822;4
1823;6
1824;4
1825;2
1826;2
1827;3
1828;2
1829;2
1830;4
1831;2
1832;3
1833;2
1834;4
1835;4
1836;4
1837;2
1838;3
1839;2
1841;7
1842;3
1844;1
1845;4
1846;1
1848;4
1849;5
1850;7
1851;5
1852;1
1854;2
1855;4
1856;5
1858;1
1859;3
1860;5
1861;2
1862;5
1863;4
1864;1
1865;6
1866;3
1867;4
1868;3
1869;3
1870;1
1871;3
1872;4
1873;5
1874;4
1875;2
1876;4
1877;2
1878;3
1879;2
1880;1
1881;5
1882;3
1883;1
1884;7
1885;3
1886;1
1887;2
1888;3
1889;5
1890;3
1891;2
1892;1
1894;1
1897;2
1898;2
1899;3
1900;4
1901;3
1902;4
1903;2
1904;6
1905;4
1906;2
1908;3
1909;2
1910;3
1911;3
1912;2
1913;3
1914;6
1915;1
1916;2
1917;2
1918;1
1919;4
1920;3
1921;1
1922;3
1923;2
1924;1
1925;4
1926;4
1927;4
1928;2
1930;2
1931;3
1932;5
1933;4
1934;2
1935;1
1936;2
1937;3
1938;3
1939;1
1940;2
1941;1
1942;1
1944;4
1945;2
1946;3
1947;2
1948;1
1949;3
1950;1
1951;2
1952;3
1953;4
1954;2
1955;3
1956;3
1957;6
1959;4
1960;5
1961;1
1962;2
1963;5
1965;2
1966;1
1967;3
1968;4
1969;5
1970;1
1971;4
1973;1
1974;2
1977;5
1978;1
1979;4
1980;1
1981;2
1982;1
1983;2
1985;4
1986;2
1987;1
1989;3
1990;1
1991;4
1992;2
1993;4
1994;1
1995;4
1996;2
1997;6
1998;3
1999;5
2000;6
2001;3
2002;1
2003;1
2004;5
2005;5
2006;2
2007;1
2008;1
2009;2
2010;3
2011;2
2012;2
2013;2
2014;1
2015;3
2016;2
2017;2
2018;2
2019;5
2020;4
2021;2
2022;3
2023;3
2024;1
2025;1
2026;1
2027;3
2028;3
2029;2
2030;3
2031;3
2032;1
2033;2
2034;4
2035;3
2036;3
2037;2
2038;3
2039;1
2040;4
2041;1
2042;1
2043;6
2044;2
2045;3
2047;3
2048;3
2049;4
2051;2
2052;2
2053;3
2054;1
2055;3
2056;2
2057;3
2058;3
2059;4
2060;3
2062;3
2063;2
2064;3
2065;3
2066;2
2067;2
2069;1
2070;3
2071;2
2072;3
2073;4
2074;3
2075;4
2076;2
2077;3
