degree;count
1;19156069
2;6267111
3;3087206
4;1830000
5;1208028
6;856104
7;637238
8;492977
9;391825
10;318743
11;264262
12;222887
13;190054
14;163989
15;143054
16;125937
17;110915
18;99147
19;88913
20;80136
21;73147
22;66839
23;60796
24;56160
25;51570
26;47739
27;43351
28;40827
29;38125
30;35549
31;33602
32;31323
33;29356
34;27374
35;26235
36;24334
37;23207
38;21897
39;20952
40;19771
41;18823
42;17951
43;17111
44;16523
45;15511
46;15110
47;14492
48;13632
49;13029
50;12640
51;12264
52;11755
53;11147
54;10819
55;10304
56;10003
57;9611
58;9226
59;8904
60;8666
61;8526
62;8005
63;7794
64;7596
65;7325
66;7091
67;6962
68;6591
69;6582
70;6426
71;6179
72;6096
73;5924
74;5613
75;5305
76;5498
77;5271
78;5117
79;5050
80;4974
81;4779
82;4622
83;4528
84;4330
85;4202
86;4222
87;3961
88;3915
89;3834
90;3795
91;3628
92;3666
93;3627
94;3523
95;3391
96;3259
97;3290
98;3125
99;3053
100;3006
101;2981
102;2862
103;2878
104;2864
105;2746
106;2717
107;2613
108;2589
109;2632
110;2494
111;2434
112;2382
113;2434
114;2353
115;2292
116;2388
117;2202
118;2231
119;2142
120;2109
121;2037
122;2056
123;1989
124;1999
125;1945
126;1965
127;1881
128;1772
129;1825
130;1837
131;1759
132;1717
133;1712
134;1762
135;1652
136;1570
137;1596
138;1643
139;1519
140;1532
141;1555
142;1476
143;1455
144;1445
145;1442
146;1435
147;1421
148;1370
149;1343
150;1334
151;1298
152;1315
153;1318
154;1309
155;1312
156;1214
157;1200
158;1164
159;1178
160;1111
161;1191
162;1158
163;1144
164;1088
165;1025
166;1101
167;983
168;1098
169;1035
170;1024
171;1057
172;978
173;968
174;1006
175;1004
176;976
177;956
178;907
179;935
180;937
181;886
182;860
183;829
184;851
185;820
186;861
187;885
188;811
189;798
190;827
191;803
192;807
193;758
194;813
195;779
196;783
197;748
198;753
199;789
200;716
201;735
202;695
203;736
204;712
205;677
206;636
207;702
208;675
209;658
210;697
211;644
212;660
213;664
214;633
215;648
216;593
217;595
218;658
219;618
220;605
221;610
222;607
223;573
224;567
225;600
226;598
227;533
228;579
229;547
230;575
231;511
232;579
233;517
234;533
235;518
236;507
237;523
238;538
239;578
240;513
241;482
242;476
243;438
244;485
245;537
246;470
247;473
248;457
249;469
250;473
251;471
252;472
253;455
254;486
255;458
256;440
257;446
258;422
259;419
260;402
261;431
262;406
263;419
264;453
265;378
266;458
267;397
268;431
269;420
270;399
271;398
272;389
273;371
274;386
275;402
276;387
277;351
278;413
279;386
280;372
281;391
282;339
283;358
284;353
285;371
286;330
287;365
288;357
289;387
290;355
291;333
292;335
293;362
294;328
295;344
296;308
297;346
298;319
299;340
300;348
301;324
302;324
303;306
304;301
305;312
306;312
307;320
308;299
309;282
310;343
311;285
312;281
313;279
314;271
315;270
316;313
317;268
318;293
319;299
320;269
321;300
322;300
323;259
324;269
325;280
326;259
327;261
328;271
329;277
330;274
331;284
332;264
333;258
334;244
335;238
336;245
337;220
338;253
339;227
340;268
341;260
342;251
343;249
344;244
345;229
346;236
347;274
348;202
349;247
350;247
351;235
352;241
353;213
354;223
355;215
356;188
357;239
358;221
359;245
360;234
361;215
362;234
363;197
364;218
365;218
366;244
367;233
368;197
369;188
370;202
371;205
372;226
373;193
374;186
375;210
376;178
377;217
378;217
379;205
380;186
381;189
382;183
383;190
384;202
385;206
386;176
387;185
388;177
389;200
390;187
391;184
392;180
393;201
394;179
395;209
396;178
397;177
398;171
399;201
400;168
401;174
402;191
403;186
404;172
405;173
406;163
407;154
408;192
409;159
410;170
411;147
412;192
413;167
414;161
415;162
416;151
417;163
418;135
419;178
420;158
421;157
422;152
423;159
424;138
425;152
426;162
427;154
428;152
429;151
430;171
431;152
432;148
433;171
434;155
435;150
436;140
437;160
438;159
439;162
440;166
441;137
442;133
443;147
444;148
445;168
446;149
447;128
448;134
449;164
450;128
451;139
452;139
453;139
454;148
455;156
456;152
457;147
458;126
459;140
460;156
461;139
462;139
463;152
464;118
465;128
466;124
467;121
468;149
469;118
470;120
471;142
472;132
473;114
474;140
475;112
476;121
477;121
478;133
479;136
480;131
481;118
482;129
483;113
484;126
485;110
486;109
487;130
488;125
489;137
490;109
491;107
492;109
493;125
494;115
495;135
496;115
497;97
498;100
499;103
500;109
501;102
502;96
503;111
504;115
505;104
506;100
507;111
508;116
509;99
510;93
511;96
512;120
513;93
514;114
515;120
516;99
517;105
518;104
519;103
520;99
521;90
522;93
523;95
524;102
525;105
526;118
527;105
528;96
529;104
530;131
531;108
532;100
533;90
534;93
535;94
536;109
537;85
538;101
539;93
540;105
541;98
542;95
543;92
544;111
545;101
546;107
547;108
548;96
549;108
550;84
551;96
552;66
553;85
554;80
555;104
556;103
557;84
558;86
559;71
560;94
561;85
562;110
563;106
564;87
565;74
566;85
567;76
568;91
569;98
570;85
571;81
572;99
573;87
574;109
575;71
576;77
577;72
578;70
579;79
580;80
581;78
582;88
583;78
584;67
585;85
586;78
587;76
588;84
589;71
590;81
591;66
592;83
593;70
594;79
595;72
596;85
597;62
598;78
599;75
600;80
601;78
602;70
603;62
604;75
605;92
606;71
607;93
608;61
609;84
610;96
611;66
612;65
613;68
614;77
615;66
616;83
617;61
618;72
619;82
620;75
621;79
622;71
623;74
624;71
625;56
626;67
627;82
628;75
629;67
630;58
631;72
632;72
633;70
634;63
635;67
636;63
637;63
638;79
639;75
640;52
641;66
642;75
643;70
644;72
645;66
646;75
647;53
648;57
649;67
650;69
651;66
652;69
653;45
654;80
655;61
656;70
657;70
658;73
659;68
660;65
661;67
662;58
663;69
664;56
665;53
666;57
667;78
668;68
669;52
670;63
671;56
672;72
673;61
674;71
675;65
676;66
677;63
678;60
679;59
680;70
681;71
682;60
683;60
684;73
685;53
686;56
687;57
688;57
689;50
690;51
691;55
692;62
693;47
694;53
695;61
696;63
697;54
698;68
699;50
700;51
701;47
702;49
703;45
704;62
705;56
706;44
707;58
708;53
709;49
710;51
711;54
712;47
713;61
714;66
715;59
716;51
717;39
718;60
719;42
720;49
721;41
722;47
723;42
724;42
725;46
726;56
727;53
728;49
729;56
730;59
731;36
732;64
733;65
734;38
735;56
736;54
737;51
738;61
739;55
740;44
741;63
742;50
743;38
744;47
745;50
746;47
747;66
748;41
749;45
750;46
751;58
752;64
753;49
754;42
755;43
756;56
757;51
758;62
759;59
760;59
761;39
762;58
763;40
764;39
765;54
766;52
767;48
768;46
769;52
770;37
771;44
772;37
773;35
774;55
775;40
776;49
777;44
778;39
779;51
780;52
781;42
782;48
783;49
784;55
785;46
786;53
787;48
788;48
789;38
790;33
791;42
792;45
793;45
794;41
795;38
796;35
797;43
798;48
799;45
800;50
801;47
802;55
803;53
804;53
805;55
806;49
807;41
808;54
809;50
810;37
811;48
812;45
813;38
814;60
815;34
816;41
817;47
818;41
819;41
820;38
821;44
822;41
823;29
824;38
825;43
826;43
827;34
828;43
829;39
830;29
831;41
832;36
833;44
834;42
835;41
836;51
837;39
838;33
839;29
840;36
841;35
842;34
843;36
844;36
845;35
846;50
847;41
848;38
849;30
850;45
851;42
852;28
853;54
854;31
855;35
856;39
857;40
858;46
859;36
860;36
861;39
862;40
863;42
864;43
865;34
866;34
867;42
868;31
869;40
870;36
871;27
872;33
873;34
874;29
875;43
876;30
877;38
878;31
879;29
880;39
881;36
882;25
883;46
884;44
885;32
886;30
887;29
888;53
889;38
890;27
891;27
892;27
893;44
894;29
895;29
896;27
897;33
898;31
899;38
900;38
901;37
902;35
903;22
904;29
905;30
906;21
907;31
908;43
909;28
910;31
911;26
912;32
913;43
914;36
915;31
916;37
917;30
918;40
919;35
920;37
921;34
922;35
923;43
924;39
925;24
926;25
927;25
928;34
929;38
930;29
931;29
932;38
933;30
934;26
935;40
936;37
937;37
938;21
939;33
940;29
941;32
942;31
943;19
944;36
945;23
946;29
947;33
948;38
949;28
950;34
951;38
952;37
953;32
954;26
955;31
956;34
957;26
958;24
959;36
960;34
961;28
962;32
963;29
964;32
965;27
966;27
967;31
968;34
969;34
970;22
971;27
972;22
973;21
974;28
975;22
976;24
977;22
978;30
979;38
980;32
981;33
982;28
983;27
984;32
985;33
986;35
987;21
988;24
989;27
990;33
991;23
992;23
993;21
994;26
995;27
996;35
997;27
998;23
999;29
1000;30
1001;28
1002;31
1003;30
1004;26
1005;23
1006;30
1007;25
1008;17
1009;23
1010;30
1011;29
1012;24
1013;20
1014;25
1015;30
1016;28
1017;28
1018;22
1019;23
1020;33
1021;26
1022;34
1023;25
1024;29
1025;31
1026;20
1027;25
1028;25
1029;29
1030;25
1031;34
1032;29
1033;26
1034;17
1035;24
1036;27
1037;25
1038;38
1039;22
1040;28
1041;25
1042;28
1043;25
1044;26
1045;34
1046;24
1047;20
1048;24
1049;21
1050;30
1051;20
1052;35
1053;19
1054;23
1055;28
1056;24
1057;25
1058;27
1059;20
1060;19
1061;22
1062;28
1063;29
1064;22
1065;23
1066;27
1067;21
1068;12
1069;17
1070;21
1071;33
1072;24
1073;19
1074;23
1075;17
1076;26
1077;26
1078;24
1079;26
1080;26
1081;29
1082;26
1083;20
1084;18
1085;23
1086;25
1087;24
1088;26
1089;32
1090;31
1091;28
1092;20
1093;13
1094;17
1095;12
1096;21
1097;16
1098;22
1099;15
1100;26
1101;16
1102;23
1103;23
1104;28
1105;18
1106;27
1107;20
1108;21
1109;24
1110;23
1111;17
1112;17
1113;20
1114;22
1115;24
1116;12
1117;21
1118;19
1119;23
1120;23
1121;37
1122;28
1123;22
1124;16
1125;34
1126;25
1127;19
1128;23
1129;28
1130;19
1131;19
1132;21
1133;13
1134;26
1135;28
1136;26
1137;28
1138;29
1139;14
1140;20
1141;18
1142;16
1143;16
1144;26
1145;21
1146;17
1147;12
1148;30
1149;16
1150;16
1151;19
1152;15
1153;16
1154;14
1155;27
1156;20
1157;24
1158;15
1159;22
1160;22
1161;13
1162;26
1163;16
1164;23
1165;18
1166;10
1167;23
1168;10
1169;17
1170;29
1171;22
1172;18
1173;23
1174;19
1175;23
1176;15
1177;22
1178;16
1179;14
1180;23
1181;13
1182;23
1183;18
1184;19
1185;21
1186;17
1187;21
1188;15
1189;23
1190;18
1191;20
1192;14
1193;23
1194;12
1195;19
1196;15
1197;10
1198;14
1199;15
1200;15
1201;20
1202;22
1203;23
1204;21
1205;19
1206;18
1207;12
1208;24
1209;16
1210;15
1211;15
1212;20
1213;24
1214;17
1215;14
1216;21
1217;20
1218;23
1219;16
1220;15
1221;12
1222;18
1223;22
1224;14
1225;16
1226;13
1227;18
1228;16
1229;23
1230;23
1231;14
1232;22
1233;11
1234;13
1235;25
1236;16
1237;25
1238;16
1239;9
1240;27
1241;15
1242;21
1243;21
1244;27
1245;23
1246;19
1247;22
1248;18
1249;13
1250;16
1251;21
1252;21
1253;15
1254;16
1255;20
1256;12
1257;19
1258;26
1259;20
1260;16
1261;18
1262;23
1263;18
1264;11
1265;11
1266;14
1267;21
1268;19
1269;21
1270;12
1271;10
1272;15
1273;18
1274;18
1275;13
1276;17
1277;18
1278;23
1279;11
1280;16
1281;24
1282;19
1283;19
1284;19
1285;19
1286;15
1287;16
1288;21
1289;9
1290;18
1291;18
1292;13
1293;21
1294;20
1295;15
1296;13
1297;16
1298;12
1299;11
1300;22
1301;16
1302;15
1303;19
1304;15
1305;19
1306;24
1307;16
1308;21
1309;13
1310;14
1311;13
1312;17
1313;12
1314;19
1315;18
1316;12
1317;21
