degree;count
1;2848770
2;859759
3;399523
4;225105
5;142837
6;97135
7;70563
8;53289
9;41370
10;32727
11;26188
12;22132
13;18368
14;15923
15;13302
16;11471
17;10009
18;8919
19;8058
20;7133
21;6391
22;5688
23;5223
24;4719
25;4357
26;3890
27;3627
28;3286
29;3011
30;2812
31;2666
32;2313
33;2267
34;2098
35;2025
36;1838
37;1781
38;1706
39;1604
40;1497
41;1461
42;1348
43;1254
44;1200
45;1158
46;1115
47;1086
48;955
49;960
50;833
51;852
52;800
53;755
54;714
55;701
56;704
57;691
58;618
59;620
60;610
61;554
62;544
63;563
64;496
65;468
66;485
67;535
68;465
69;419
70;383
71;389
72;369
73;362
74;356
75;378
76;349
77;363
78;305
79;323
80;291
81;293
82;272
83;253
84;283
85;250
86;262
87;257
88;232
89;253
90;243
91;221
92;211
93;196
94;219
95;197
96;187
97;168
98;188
99;187
100;176
101;180
102;158
103;183
104;139
105;165
106;149
107;165
108;150
109;146
110;123
111;149
112;176
113;132
114;125
115;126
116;119
117;131
118;136
119;109
120;122
121;123
122;110
123;122
124;102
125;102
126;108
127;112
128;107
129;116
130;105
131;94
132;98
133;92
134;85
135;113
136;91
137;74
138;91
139;90
140;95
141;70
142;82
143;85
144;78
145;82
146;70
147;79
148;84
149;62
150;84
151;86
152;65
153;70
154;65
155;69
156;62
157;71
158;58
159;49
160;76
161;64
162;59
163;55
164;48
165;68
166;73
167;54
168;48
169;51
170;55
171;59
172;44
173;71
174;57
175;55
176;44
177;53
178;52
179;48
180;39
181;42
182;53
183;48
184;54
185;51
186;48
187;34
188;38
189;31
190;47
191;40
192;36
193;46
194;32
195;29
196;27
197;31
198;37
199;33
200;27
201;32
202;28
203;27
204;43
205;31
206;35
207;36
208;33
209;36
210;27
211;45
212;25
213;58
214;26
215;34
216;39
217;23
218;37
219;29
220;21
221;31
222;23
223;34
224;34
225;28
226;25
227;34
228;27
229;25
230;27
231;23
232;27
233;20
234;27
235;22
236;28
237;27
238;25
239;17
240;21
241;24
242;17
243;17
244;20
245;28
246;20
247;26
248;26
249;16
250;21
251;16
252;17
253;29
254;25
255;18
256;19
257;20
258;16
259;14
260;14
261;20
262;14
263;25
264;15
265;16
266;15
267;21
268;21
269;30
270;20
271;14
272;17
273;21
274;23
275;24
276;16
277;20
278;25
279;25
280;14
281;17
282;14
283;15
284;20
285;12
286;19
287;19
288;20
289;12
290;14
291;14
292;19
293;15
294;19
295;16
296;17
297;20
298;12
299;17
300;13
301;12
302;16
303;7
304;20
305;13
306;6
307;18
308;22
309;14
310;7
311;15
312;10
313;15
314;11
315;14
316;9
317;11
318;18
319;16
320;8
321;7
322;10
323;13
324;10
325;7
326;19
327;15
328;9
329;7
330;8
331;14
332;16
333;8
334;13
335;9
336;14
337;13
338;15
339;9
340;14
341;7
342;15
343;7
344;8
345;13
346;14
347;14
348;13
349;13
350;10
351;11
352;15
353;10
354;7
355;8
356;6
357;6
358;13
359;10
360;7
361;11
362;5
363;4
364;11
365;5
366;6
367;8
368;3
369;15
370;9
371;13
372;8
373;6
374;14
375;9
376;7
377;10
378;5
379;7
380;7
381;13
382;9
383;9
384;9
385;5
386;3
387;12
388;5
389;7
390;11
391;9
392;7
393;6
394;5
395;13
396;4
397;4
398;12
399;5
400;8
401;12
402;7
403;12
404;6
405;11
406;3
407;14
408;8
409;10
410;3
411;7
412;12
413;6
414;8
415;8
416;9
417;8
418;5
419;9
420;12
421;4
422;9
423;3
424;7
425;8
426;7
427;7
428;6
429;3
430;4
431;6
432;7
433;10
434;9
435;4
436;7
437;5
438;5
439;6
440;5
441;4
442;3
443;6
444;6
445;8
446;4
447;6
448;8
449;10
450;9
451;7
452;6
453;6
454;3
455;6
456;4
457;9
458;2
459;7
460;2
461;1
462;4
463;12
464;3
465;8
466;2
467;9
468;3
469;6
470;5
471;6
472;5
473;8
474;8
475;4
476;6
477;6
478;5
479;8
480;5
481;3
482;3
483;1
484;5
485;7
486;7
487;3
488;3
489;4
490;3
491;9
492;7
493;4
494;2
495;5
496;4
497;10
498;3
499;4
500;7
501;6
502;1
503;1
504;5
505;1
506;5
507;4
508;5
509;4
510;4
511;1
512;4
513;3
514;5
515;1
516;3
517;3
518;3
519;2
520;4
521;6
522;1
523;3
524;2
525;3
526;4
527;6
528;5
529;1
530;2
531;7
532;7
533;4
534;2
535;2
536;7
537;1
538;3
539;1
540;5
541;9
542;4
543;2
544;1
545;3
546;2
547;5
548;4
549;3
550;1
551;1
552;1
553;2
554;5
555;1
556;5
557;5
558;1
559;4
560;1
561;7
562;5
563;2
564;1
565;6
566;4
567;7
568;3
569;4
570;1
572;2
573;2
574;4
575;2
576;3
577;6
578;6
579;2
580;3
581;4
582;5
583;2
584;3
585;3
586;2
587;3
588;4
589;3
591;4
592;1
593;2
594;5
595;3
596;1
597;4
598;2
599;1
600;1
601;1
602;1
603;3
604;4
605;5
606;6
607;2
609;2
610;2
611;1
612;2
613;5
614;1
615;3
616;2
617;5
618;1
619;5
620;1
621;4
622;1
623;3
624;4
625;2
626;2
627;1
628;2
629;1
630;1
631;2
632;2
633;2
634;2
635;5
636;1
637;3
638;4
639;2
640;3
641;2
642;1
643;5
645;4
646;1
647;1
648;1
649;2
650;5
651;1
652;2
653;4
654;2
656;1
657;3
658;2
659;2
660;2
661;3
662;4
663;1
664;3
665;3
666;2
667;1
668;1
669;3
670;1
672;3
673;6
674;2
675;5
676;2
677;4
678;1
679;3
680;4
681;3
682;1
683;3
684;3
685;1
686;2
687;1
688;7
689;2
690;3
691;2
692;3
693;2
694;2
695;2
696;3
697;1
699;2
700;3
701;2
702;4
703;2
704;1
705;1
706;3
707;3
709;2
710;2
711;1
712;2
713;1
714;1
715;2
716;3
717;3
718;1
719;1
720;1
721;2
722;3
723;5
724;1
726;3
727;1
728;1
729;3
730;1
731;1
732;1
733;2
734;3
735;2
736;4
737;2
738;4
739;2
740;1
741;3
743;1
744;4
745;2
746;3
747;3
748;1
750;1
751;3
752;2
753;2
754;1
755;3
756;2
757;4
758;3
759;1
761;1
762;2
763;1
765;2
767;1
768;4
769;2
770;2
772;1
773;1
774;2
775;3
776;1
777;2
779;2
781;2
782;4
783;3
784;2
785;1
786;1
787;2
788;3
789;1
790;2
791;2
792;3
793;1
795;3
796;3
797;2
798;1
799;2
800;1
801;2
802;1
803;1
804;3
805;4
806;3
807;1
808;1
810;1
812;2
813;1
814;4
815;1
816;1
817;1
819;1
821;3
822;1
823;1
824;1
826;1
827;2
828;2
830;1
831;2
832;3
833;2
836;2
837;1
839;2
841;2
842;2
844;2
845;4
846;2
848;1
849;1
850;1
852;4
853;1
854;1
855;4
856;1
857;2
858;1
859;2
860;4
861;1
862;2
863;2
865;4
867;4
868;2
869;1
870;2
872;2
874;1
876;1
877;1
879;1
881;1
882;2
883;2
884;2
887;2
888;2
890;3
891;1
892;1
893;1
894;3
898;1
899;1
900;1
901;1
902;4
903;2
904;3
905;1
906;1
907;2
908;1
909;1
910;2
911;1
912;2
913;1
914;1
915;1
917;1
918;2
919;1
920;1
921;1
922;2
924;3
925;1
929;2
930;2
931;2
933;1
935;2
937;1
941;3
945;1
946;1
948;2
950;1
956;1
957;1
963;1
964;2
965;3
969;2
973;1
974;2
976;1
980;2
981;2
982;1
983;1
984;2
985;4
987;1
989;1
991;1
992;2
993;1
996;3
998;2
999;2
1006;2
1007;1
1008;2
1012;2
1016;2
1017;2
1020;5
1025;1
1026;1
1028;2
1029;1
1030;3
1032;1
1033;1
1034;1
1035;1
1036;1
1038;1
1040;1
1043;1
1044;1
1046;1
1047;1
1048;1
1051;1
1056;1
1058;1
1059;1
1061;1
1063;1
1064;1
1066;1
1067;3
1069;2
1073;4
1075;2
1077;1
1081;2
1084;4
1085;2
1088;2
1091;2
1092;1
1093;1
1096;1
1097;7
1098;1
1100;1
1101;1
1103;1
1104;1
1107;1
1109;1
1110;2
1111;1
1113;2
1114;1
1116;2
1119;2
1121;1
1122;1
1124;1
1127;2
1128;2
1129;1
1133;2
1134;1
1135;2
1137;1
1138;1
1139;1
1140;1
1141;1
1142;2
1143;2
1144;2
1146;1
1147;1
1148;1
1149;1
1150;3
1155;1
1159;1
1160;1
1161;1
1162;2
1163;3
1165;1
1166;1
1170;1
1176;2
1178;1
1180;1
1184;1
1185;1
1188;1
1190;3
1191;1
1196;1
1197;2
1199;1
1206;2
1208;4
1209;3
1210;1
1213;1
1215;1
1216;1
1219;1
1225;1
1227;1
1233;1
1235;2
1237;1
1239;1
1240;1
1241;2
1245;1
1248;1
1250;1
1251;1
1258;1
1260;2
1263;1
1266;3
1268;2
1269;2
1273;1
1274;1
1275;2
1277;3
1278;2
1280;1
1281;1
1284;1
1286;1
1296;3
1299;2
1300;2
1301;1
1303;1
1304;1
1307;2
1316;1
1317;1
1318;1
1323;1
1325;2
1326;2
1327;1
1330;2
1331;1
1334;1
1335;1
1339;1
1341;1
1347;1
1351;1
1354;1
1356;2
1359;1
1360;1
1365;1
1370;1
1371;1
1376;1
1378;1
1379;2
1388;1
1392;2
1395;1
1397;1
1398;1
1404;1
1406;2
1409;1
1412;3
1413;1
1416;2
1417;1
1418;1
1422;1
1426;1
1427;1
1431;2
1433;2
1434;1
1435;3
1440;1
1442;1
1445;1
1446;1
1448;1
1454;1
1462;1
1463;1
1464;1
1470;1
1471;1
1474;1
1477;1
1481;1
1482;1
1484;1
1490;1
1491;2
1493;1
1497;1
1498;2
1502;1
1511;1
1512;2
1515;1
1517;1
1520;1
1524;1
1526;1
1530;1
1534;1
1535;2
1544;3
1545;1
1547;1
1553;1
1555;1
1561;1
1562;2
1564;1
1565;1
1567;1
1568;1
1570;1
1574;1
1575;1
1576;1
1580;1
1591;1
1595;2
1599;1
1600;1
1606;1
1610;1
1614;1
1621;1
1629;1
1632;1
1649;1
1665;2
1674;1
1678;1
1681;1
1688;1
1692;1
1695;1
1696;2
1697;2
1705;1
1713;1
1714;1
1721;1
1723;1
1724;1
1730;1
1733;1
1735;1
1736;1
1737;1
1740;1
1741;2
1743;1
1747;1
1754;1
1760;1
1763;1
1767;1
1786;1
1789;1
1802;1
1804;1
1809;1
1815;1
1821;1
1827;1
1833;1
1834;1
1839;1
1844;2
1845;1
1852;1
1853;1
1858;1
1860;2
1864;1
1868;1
