degree;count
1;22358310
2;7978839
3;4094342
4;2477109
5;1652864
6;1179001
7;876179
8;675876
9;535391
10;435613
11;359315
12;299956
13;254164
14;217746
15;189048
16;164657
17;145335
18;128517
19;114301
20;102596
21;92190
22;83182
23;75686
24;68866
25;63022
26;57395
27;52953
28;49137
29;45608
30;42062
31;38872
32;36271
33;33797
34;31457
35;29491
36;27702
37;25654
38;24397
39;22730
40;21878
41;20719
42;19726
43;18308
44;17525
45;16587
46;15782
47;14904
48;14158
49;13674
50;12931
51;12460
52;11754
53;11227
54;10784
55;10238
56;10090
57;9524
58;9151
59;8874
60;8411
61;8130
62;7752
63;7339
64;7276
65;7039
66;6861
67;6586
68;6275
69;6038
70;5824
71;5681
72;5594
73;5400
74;5171
75;4907
76;4669
77;4658
78;4437
79;4407
80;4218
81;4080
82;3880
83;3847
84;3691
85;3639
86;3526
87;3415
88;3353
89;3246
90;3209
91;2983
92;2950
93;2837
94;2909
95;2702
96;2667
97;2523
98;2583
99;2522
100;2460
101;2304
102;2345
103;2275
104;2194
105;2144
106;2088
107;2048
108;1997
109;1911
110;1921
111;1872
112;1823
113;1823
114;1785
115;1680
116;1695
117;1640
118;1575
119;1546
120;1538
121;1498
122;1494
123;1404
124;1485
125;1398
126;1340
127;1332
128;1306
129;1266
130;1296
131;1165
132;1215
133;1163
134;1146
135;1224
136;1170
137;1082
138;1085
139;1054
140;1078
141;1010
142;992
143;927
144;955
145;924
146;887
147;864
148;879
149;854
150;838
151;866
152;809
153;862
154;820
155;799
156;772
157;796
158;788
159;758
160;740
161;712
162;728
163;703
164;660
165;723
166;679
167;650
168;677
169;641
170;657
171;572
172;658
173;573
174;570
175;576
176;590
177;591
178;614
179;539
180;538
181;500
182;501
183;497
184;516
185;483
186;511
187;446
188;504
189;461
190;477
191;499
192;474
193;454
194;435
195;461
196;454
197;415
198;416
199;424
200;438
201;430
202;398
203;361
204;400
205;424
206;341
207;374
208;365
209;352
210;375
211;377
212;359
213;318
214;375
215;349
216;294
217;319
218;286
219;316
220;311
221;314
222;297
223;311
224;340
225;291
226;278
227;308
228;259
229;309
230;272
231;307
232;283
233;258
234;279
235;267
236;303
237;257
238;258
239;251
240;237
241;246
242;258
243;248
244;268
245;228
246;235
247;227
248;232
249;229
250;248
251;240
252;234
253;225
254;219
255;204
256;217
257;208
258;202
259;231
260;222
261;198
262;199
263;211
264;202
265;188
266;242
267;219
268;196
269;181
270;164
271;182
272;168
273;196
274;171
275;184
276;157
277;148
278;138
279;171
280;169
281;169
282;157
283;159
284;163
285;162
286;148
287;174
288;150
289;156
290;143
291;143
292;157
293;155
294;137
295;138
296;153
297;142
298;123
299;145
300;128
301;150
302;143
303;143
304;125
305;106
306;108
307;118
308;130
309;125
310;124
311;141
312;119
313;128
314;114
315;103
316;112
317;122
318;142
319;124
320;102
321;126
322;110
323;123
324;104
325;119
326;92
327;92
328;101
329;107
330;108
331;109
332;99
333;110
334;113
335;108
336;92
337;101
338;108
339;108
340;100
341;109
342;97
343;108
344;93
345;86
346;107
347;97
348;96
349;75
350;83
351;88
352;76
353;89
354;96
355;98
356;114
357;88
358;86
359;86
360;91
361;75
362;77
363;77
364;86
365;68
366;83
367;77
368;71
369;77
370;61
371;60
372;72
373;88
374;75
375;83
376;84
377;76
378;80
379;87
380;89
381;65
382;87
383;70
384;61
385;74
386;70
387;60
388;71
389;44
390;64
391;69
392;65
393;61
394;77
395;70
396;51
397;70
398;74
399;85
400;60
401;51
402;65
403;60
404;65
405;66
406;60
407;72
408;64
409;54
410;53
411;48
412;47
413;59
414;61
415;59
416;60
417;51
418;61
419;59
420;71
421;38
422;60
423;54
424;54
425;45
426;53
427;46
428;48
429;58
430;53
431;53
432;58
433;55
434;46
435;54
436;55
437;59
438;49
439;50
440;43
441;57
442;43
443;49
444;40
445;43
446;49
447;43
448;56
449;41
450;42
451;32
452;36
453;47
454;45
455;59
456;55
457;47
458;37
459;44
460;50
461;31
462;45
463;44
464;47
465;36
466;34
467;39
468;41
469;33
470;49
471;42
472;44
473;38
474;36
475;33
476;42
477;41
478;40
479;52
480;48
481;40
482;41
483;40
484;41
485;37
486;32
487;43
488;37
489;25
490;47
491;38
492;35
493;25
494;36
495;33
496;29
497;36
498;35
499;24
500;29
501;40
502;28
503;35
504;35
505;26
506;39
507;39
508;35
509;35
510;28
511;40
512;29
513;34
514;38
515;34
516;40
517;30
518;34
519;27
520;33
521;32
522;32
523;22
524;33
525;21
526;30
527;35
528;24
529;28
530;40
531;28
532;25
533;35
534;31
535;28
536;28
537;31
538;20
539;32
540;27
541;35
542;36
543;23
544;26
545;22
546;34
547;33
548;37
549;30
550;24
551;19
552;20
553;35
554;30
555;22
556;31
557;22
558;20
559;16
560;24
561;28
562;38
563;26
564;23
565;21
566;19
567;26
568;22
569;29
570;27
571;23
572;29
573;24
574;35
575;24
576;18
577;15
578;21
579;19
580;21
581;25
582;21
583;21
584;31
585;25
586;17
587;18
588;24
589;18
590;20
591;20
592;15
593;29
594;26
595;17
596;19
597;20
598;28
599;19
600;24
601;21
602;18
603;22
604;19
605;28
606;11
607;19
608;26
609;23
610;19
611;16
612;17
613;16
614;16
615;18
616;13
617;20
618;18
619;13
620;27
621;16
622;13
623;16
624;22
625;14
626;24
627;13
628;18
629;16
630;14
631;13
632;14
633;13
634;11
635;15
636;12
637;14
638;9
639;23
640;12
641;17
642;18
643;21
644;17
645;14
646;20
647;9
648;17
649;25
650;15
651;14
652;17
653;11
654;13
655;9
656;23
657;17
658;24
659;22
660;15
661;18
662;14
663;11
664;22
665;13
666;21
667;12
668;12
669;18
670;16
671;19
672;15
673;13
674;17
675;11
676;19
677;8
678;12
679;11
680;10
681;10
682;15
683;14
684;10
685;12
686;16
687;17
688;16
689;13
690;10
691;15
692;16
693;9
694;9
695;5
696;20
697;13
698;10
699;10
700;11
701;15
702;13
703;12
704;12
705;16
706;9
707;10
708;14
709;8
710;11
711;6
712;10
713;13
714;9
715;8
716;14
717;8
718;11
719;12
720;18
721;23
722;16
723;9
724;13
725;15
726;11
727;7
728;13
729;9
730;10
731;17
732;9
733;17
734;13
735;13
736;11
737;11
738;10
739;11
740;7
741;15
742;10
743;6
744;8
745;13
746;17
747;13
748;8
749;11
750;7
751;12
752;7
753;12
754;11
755;11
756;12
757;6
758;6
759;9
760;17
761;13
762;5
763;10
764;17
765;10
766;11
767;16
768;13
769;9
770;10
771;15
772;13
773;10
774;14
775;9
776;16
777;12
778;8
779;5
780;9
781;8
782;12
783;11
784;8
785;11
786;5
787;13
788;14
789;9
790;5
791;9
792;7
793;9
794;7
795;13
796;11
797;7
798;7
799;7
800;11
801;6
802;11
803;8
804;9
805;11
806;6
807;12
808;12
809;10
810;15
811;16
812;8
813;9
814;13
815;11
816;8
817;4
818;8
819;5
820;6
821;8
822;10
823;16
824;9
825;11
826;7
827;10
828;14
829;11
830;6
831;8
832;5
833;9
834;9
835;6
836;12
837;8
838;7
839;2
840;8
841;6
842;2
843;7
844;7
845;13
846;7
847;5
848;11
849;12
850;8
851;11
852;7
853;8
854;7
855;7
856;11
857;4
858;9
859;10
860;7
861;4
862;4
863;11
864;9
865;9
866;4
867;7
868;9
869;9
870;7
871;9
872;7
873;8
874;8
875;8
877;6
878;5
879;6
880;8
881;9
882;13
883;10
884;6
885;7
886;5
887;3
888;5
889;10
890;8
891;6
892;7
893;5
894;5
895;7
896;8
897;7
898;6
899;5
900;6
901;6
902;5
903;5
904;8
905;10
906;10
907;2
908;6
909;5
910;5
911;4
912;3
913;4
914;5
915;5
916;4
917;8
918;1
919;7
920;4
921;2
922;5
923;1
924;5
925;7
926;2
927;6
928;5
929;1
930;5
931;5
932;4
933;6
935;3
936;7
937;5
938;13
939;4
940;1
941;6
942;5
943;3
944;4
945;8
946;5
947;7
948;7
949;2
950;9
951;1
952;12
953;7
954;3
955;6
956;7
957;5
958;9
959;2
960;7
961;6
962;5
963;5
964;5
965;9
966;8
967;5
968;2
969;7
970;7
971;6
972;10
973;4
974;10
975;6
976;2
977;3
978;6
979;3
980;5
981;6
982;2
983;1
984;4
985;9
986;2
987;7
988;6
989;5
990;5
991;5
992;6
993;5
994;3
995;5
996;8
997;9
998;5
999;4
1000;3
1001;6
1002;7
1003;2
1004;1
1005;6
1006;2
1008;4
1009;6
1011;5
1012;2
1013;4
1014;5
1015;6
1016;9
1017;3
1018;2
1019;5
1020;1
1021;2
1022;5
1023;3
1025;2
1026;5
1027;5
1028;3
1029;2
1030;4
1031;5
1032;1
1033;3
1034;2
1035;4
1036;4
1037;3
1038;4
1039;4
1040;8
1041;1
1042;7
1043;6
1044;5
1045;3
1046;4
1047;3
1048;4
1049;4
1050;6
1051;1
1052;2
1053;6
1054;11
1055;2
