degree;count
1;40896009
2;12302806
3;5692912
4;3206960
5;2026871
6;1387050
7;997716
8;749704
9;580972
10;462055
11;374897
12;309707
13;258867
14;219885
15;188751
16;163629
17;142850
18;125651
19;111051
20;98831
21;89211
22;79584
23;72674
24;65436
25;60041
26;54605
27;50123
28;45937
29;42872
30;39529
31;36666
32;34278
33;31916
34;29596
35;27691
36;26333
37;24998
38;23150
39;21789
40;20392
41;19486
42;18312
43;17497
44;16491
45;15688
46;14680
47;14164
48;13578
49;13017
50;12436
51;11746
52;11060
53;10726
54;10394
55;9987
56;9462
57;9169
58;8855
59;8374
60;8055
61;7752
62;7494
63;7173
64;6964
65;6738
66;6391
67;6301
68;5926
69;5828
70;5679
71;5413
72;5376
73;5132
74;4993
75;5033
76;4799
77;4558
78;4412
79;4330
80;4131
81;4044
82;3973
83;3815
84;3677
85;3670
86;3537
87;3426
88;3391
89;3242
90;3082
91;2995
92;3064
93;2950
94;2802
95;2832
96;2769
97;2707
98;2590
99;2512
100;2573
101;2504
102;2393
103;2372
104;2303
105;2173
106;2153
107;2130
108;2066
109;2105
110;1999
111;1984
112;1951
113;1844
114;1814
115;1787
116;1753
117;1676
118;1701
119;1661
120;1624
121;1559
122;1531
123;1612
124;1571
125;1556
126;1551
127;1448
128;1421
129;1356
130;1292
131;1271
132;1312
133;1263
134;1274
135;1247
136;1213
137;1237
138;1208
139;1173
140;1177
141;1134
142;1078
143;1098
144;1057
145;995
146;1053
147;1083
148;1015
149;981
150;992
151;926
152;934
153;887
154;919
155;913
156;890
157;831
158;915
159;901
160;803
161;862
162;863
163;761
164;795
165;821
166;779
167;816
168;741
169;750
170;758
171;710
172;727
173;721
174;678
175;679
176;645
177;662
178;653
179;689
180;630
181;565
182;602
183;598
184;635
185;637
186;584
187;615
188;594
189;564
190;595
191;548
192;567
193;595
194;549
195;521
196;537
197;530
198;543
199;509
200;495
201;507
202;512
203;512
204;489
205;457
206;481
207;455
208;455
209;493
210;504
211;458
212;457
213;437
214;467
215;409
216;451
217;382
218;412
219;390
220;409
221;446
222;392
223;414
224;387
225;383
226;405
227;388
228;353
229;352
230;345
231;342
232;332
233;337
234;355
235;345
236;343
237;327
238;328
239;347
240;343
241;314
242;314
243;309
244;303
245;344
246;324
247;331
248;317
249;275
250;302
251;268
252;281
253;308
254;296
255;287
256;266
257;271
258;277
259;273
260;273
261;272
262;266
263;269
264;273
265;276
266;279
267;233
268;273
269;222
270;258
271;251
272;248
273;248
274;226
275;209
276;207
277;226
278;234
279;233
280;216
281;191
282;231
283;230
284;208
285;212
286;199
287;240
288;230
289;223
290;253
291;226
292;195
293;204
294;202
295;212
296;199
297;188
298;207
299;214
300;171
301;198
302;218
303;194
304;195
305;187
306;162
307;192
308;196
309;182
310;199
311;155
312;159
313;162
314;186
315;172
316;186
317;173
318;162
319;183
320;157
321;156
322;172
323;170
324;159
325;182
326;139
327;140
328;159
329;165
330;166
331;182
332;155
333;152
334;149
335;158
336;150
337;156
338;124
339;143
340;135
341;141
342;171
343;144
344;132
345;158
346;141
347;136
348;129
349;129
350;148
351;135
352;134
353;161
354;128
355;123
356;125
357;130
358;136
359;117
360;136
361;135
362;134
363;169
364;118
365;124
366;120
367;117
368;104
369;109
370;111
371;113
372;97
373;117
374;128
375;103
376;134
377;122
378;96
379;138
380;102
381;107
382;103
383;120
384;125
385;115
386;125
387;110
388;107
389;112
390;109
391;112
392;128
393;120
394;114
395;110
396;94
397;80
398;115
399;107
400;97
401;91
402;108
403;95
404;95
405;102
406;93
407;88
408;106
409;94
410;80
411;89
412;102
413;99
414;77
415;90
416;87
417;98
418;97
419;100
420;85
421;89
422;78
423;92
424;86
425;87
426;84
427;88
428;66
429;86
430;97
431;70
432;85
433;70
434;82
435;82
436;89
437;83
438;104
439;66
440;74
441;83
442;97
443;70
444;78
445;84
446;88
447;88
448;71
449;62
450;67
451;90
452;77
453;77
454;93
455;79
456;65
457;61
458;85
459;67
460;82
461;55
462;80
463;81
464;66
465;79
466;75
467;80
468;82
469;81
470;68
471;82
472;70
473;65
474;84
475;73
476;68
477;76
478;60
479;71
480;56
481;65
482;76
483;65
484;57
485;70
486;53
487;50
488;65
489;58
490;60
491;50
492;53
493;56
494;54
495;59
496;62
497;62
498;77
499;56
500;62
501;64
502;62
503;52
504;58
505;54
506;78
507;51
508;55
509;60
510;43
511;57
512;56
513;68
514;61
515;60
516;59
517;56
518;54
519;52
520;84
521;62
522;40
523;64
524;62
525;54
526;57
527;46
528;58
529;49
530;53
531;56
532;51
533;37
534;39
535;44
536;55
537;41
538;43
539;55
540;53
541;52
542;41
543;49
544;37
545;46
546;52
547;48
548;50
549;49
550;52
551;45
552;44
553;45
554;42
555;48
556;61
557;39
558;51
559;52
560;40
561;51
562;47
563;32
564;58
565;53
566;44
567;46
568;38
569;56
570;38
571;57
572;48
573;41
574;46
575;48
576;38
577;38
578;46
579;47
580;56
581;45
582;38
583;57
584;41
585;41
586;39
587;54
588;34
589;51
590;39
591;37
592;35
593;30
594;48
595;39
596;44
597;37
598;38
599;26
600;43
601;34
602;42
603;46
604;42
605;37
606;33
607;51
608;37
609;41
610;35
611;32
612;39
613;27
614;25
615;34
616;43
617;42
618;36
619;37
620;28
621;38
622;32
623;28
624;36
625;36
626;33
627;35
628;39
629;35
630;24
631;37
632;30
633;43
634;31
635;51
636;26
637;34
638;40
639;44
640;32
641;34
642;26
643;32
644;46
645;33
646;40
647;33
648;33
649;25
650;26
651;35
652;27
653;26
654;29
655;26
656;39
657;22
658;30
659;32
660;30
661;40
662;32
663;19
664;28
665;21
666;31
667;28
668;24
669;34
670;35
671;30
672;24
673;24
674;29
675;24
676;24
677;30
678;31
679;37
680;33
681;28
682;38
683;26
684;26
