degree;count
1;40829322
2;12287764
3;5690087
4;3204781
5;2026736
6;1384547
7;997756
8;749091
9;581254
10;461274
11;375578
12;310315
13;259696
14;220436
15;188376
16;163349
17;142756
18;125008
19;110527
20;98657
21;88210
22;79736
23;72570
24;65848
25;60136
26;55060
27;50379
28;46428
29;42560
30;39938
31;36927
32;33997
33;31721
34;29377
35;27879
36;26015
37;24988
38;23206
39;21618
40;20517
41;19284
42;18550
43;17651
44;16306
45;15709
46;14809
47;14256
48;13463
49;12932
50;12343
51;11723
52;11286
53;10679
54;10251
55;9851
56;9599
57;9020
58;8747
59;8359
60;8042
61;7939
62;7460
63;7258
64;7027
65;6801
66;6493
67;6317
68;6051
69;6019
70;5624
71;5404
72;5183
73;5091
74;5037
75;4805
76;4694
77;4628
78;4480
79;4254
80;4182
81;4019
82;3941
83;3786
84;3635
85;3627
86;3499
87;3439
88;3441
89;3271
90;3174
91;3167
92;3031
93;2965
94;2736
95;2835
96;2706
97;2626
98;2759
99;2523
100;2548
101;2542
102;2312
103;2318
104;2295
105;2157
106;2193
107;2050
108;2108
109;2027
110;1998
111;1958
112;1947
113;1862
114;1821
115;1829
116;1719
117;1775
118;1693
119;1796
120;1674
121;1615
122;1548
123;1567
124;1518
125;1467
126;1455
127;1410
128;1381
129;1351
130;1395
131;1400
132;1351
133;1285
134;1295
135;1230
136;1242
137;1165
138;1225
139;1211
140;1146
141;1118
142;1144
143;1115
144;1104
145;1038
146;1013
147;1027
148;1021
149;955
150;963
151;971
152;949
153;949
154;909
155;899
156;862
157;896
158;826
159;813
160;825
161;856
162;850
163;777
164;806
165;790
166;760
167;733
168;741
169;771
170;711
171;725
172;750
173;675
174;681
175;657
176;621
177;637
178;642
179;673
180;610
181;615
182;647
183;634
184;623
185;607
186;590
187;588
188;590
189;527
190;587
191;562
192;550
193;486
194;548
195;528
196;530
197;520
198;502
199;528
200;482
201;520
202;497
203;466
204;448
205;501
206;456
207;487
208;459
209;468
210;441
211;430
212;460
213;442
214;416
215;398
216;424
217;436
218;412
219;394
220;393
221;380
222;363
223;405
224;409
225;387
226;392
227;396
228;368
229;364
230;368
231;326
232;325
233;399
234;316
235;363
236;337
237;345
238;362
239;342
240;321
241;351
242;317
243;314
244;326
245;328
246;357
247;311
248;337
249;303
250;311
251;298
252;314
253;294
254;316
255;262
256;336
257;283
258;250
259;269
260;290
261;272
262;271
263;264
264;233
265;262
266;216
267;236
268;240
269;255
270;234
271;250
272;212
273;233
274;238
275;213
276;250
277;238
278;242
279;216
280;240
281;246
282;241
283;228
284;232
285;244
286;207
287;216
288;224
289;211
290;202
291;211
292;174
293;192
294;200
295;190
296;186
297;241
298;204
299;190
300;171
301;191
302;166
303;189
304;183
305;183
306;204
307;189
308;173
309;157
310;193
311;180
312;180
313;177
314;184
315;167
316;181
317;164
318;168
319;151
320;183
321;165
322;141
323;170
324;183
325;163
326;153
327;171
328;154
329;157
330;147
331;153
332;152
333;147
334;170
335;146
336;174
337;159
338;160
339;148
340;143
341;125
342;163
343;141
344;129
345;158
346;122
347;147
348;134
349;118
350;144
351;151
352;148
353;148
354;128
355;110
356;148
357;134
358;111
359;131
360;120
361;114
362;129
363;121
364;133
365;127
366;131
367;118
368;125
369;119
370;117
371;112
372;129
373;127
374;116
375;116
376;99
377;137
378;124
379;116
380;120
381;125
382;114
383;109
384;90
385;87
386;128
387;114
388;117
389;106
390;93
391;119
392;115
393;87
394;95
395;91
396;104
397;120
398;108
399;113
400;103
401;97
402;105
403;103
404;118
405;97
406;89
407;92
408;106
409;106
410;91
411;84
412;103
413;93
414;97
415;95
416;85
417;78
418;88
419;89
420;84
421;83
422;80
423;75
424;91
425;95
426;77
427;91
428;85
429;85
430;97
431;96
432;87
433;90
434;79
435;90
436;96
437;91
438;79
439;72
440;85
441;72
442;66
443;92
444;76
445;66
446;80
447;63
448;84
449;76
450;73
451;91
452;85
453;63
454;71
455;58
456;79
457;62
458;53
459;68
460;75
461;77
462;66
463;92
464;58
465;73
466;66
467;66
468;71
469;82
470;60
471;72
472;51
473;69
474;65
475;76
476;67
477;66
478;61
479;70
480;60
481;78
482;63
483;71
484;70
485;72
486;57
487;70
488;75
489;64
490;62
491;52
492;63
493;84
494;67
495;52
496;59
497;55
498;51
499;71
500;56
501;60
502;62
503;48
504;54
505;57
506;51
507;43
508;55
509;45
510;54
511;58
512;51
513;57
514;57
515;55
516;55
517;67
518;38
519;49
520;60
521;47
522;60
523;59
524;60
525;53
526;60
527;55
528;41
529;59
530;48
531;61
532;56
533;53
534;44
535;54
536;40
537;51
538;51
539;60
540;51
541;64
542;47
543;48
544;61
545;53
546;37
547;54
548;54
549;46
550;54
551;33
552;52
553;41
554;50
555;49
556;40
557;60
558;47
559;40
560;45
561;42
562;44
563;41
564;30
565;42
566;43
567;34
568;36
569;34
570;38
571;47
572;44
573;30
574;51
575;48
576;33
577;45
578;52
579;37
580;36
581;47
582;46
583;41
584;49
585;37
586;54
587;39
588;45
589;42
590;38
591;46
592;42
593;36
594;36
595;44
596;46
597;44
598;44
599;48
600;27
601;46
602;30
603;49
604;38
605;38
606;38
607;34
608;37
609;41
610;29
611;35
612;43
613;38
614;32
615;38
616;37
617;52
618;38
619;42
620;47
621;32
622;42
623;39
624;35
625;28
626;42
627;44
628;40
629;33
630;46
631;33
632;39
633;34
634;33
635;54
636;39
637;42
638;32
639;37
640;38
641;41
642;29
643;36
644;30
645;37
646;38
647;44
648;38
649;32
650;35
651;21
652;34
653;37
654;28
655;41
656;30
657;24
658;25
659;36
660;36
661;26
662;37
663;34
664;33
665;33
666;23
667;29
668;34
669;21
670;25
671;40
672;31
673;37
674;28
675;32
676;21
677;31
678;36
679;37
680;34
681;28
682;31
683;27
684;30
685;32
686;21
687;27
688;25
689;36
690;29
691;17
692;31
693;33
694;38
695;27
696;17
697;27
698;29
699;26
700;35
701;24
702;39
703;29
704;19
705;27
706;31
707;25
708;31
709;39
710;31
711;30
712;32
713;24
714;36
715;35
716;32
717;25
718;21
719;27
720;24
721;27
722;21
723;24
724;35
725;25
726;22
727;24
728;20
729;24
730;24
731;22
732;30
733;28
734;27
735;27
736;16
737;25
738;28
739;23
740;29
741;20
742;27
743;24
744;19
745;25
746;13
747;22
748;29
749;25
750;23
751;26
752;17
753;26
754;21
755;22
756;23
757;28
758;17
759;25
760;20
761;21
762;17
763;18
764;28
765;18
766;31
767;26
768;22
769;20
770;23
771;25
772;26
773;18
774;24
775;27
776;19
777;24
778;14
779;18
780;24
781;19
782;18
783;26
784;19
785;23
786;19
787;14
788;21
789;25
790;27
791;21
792;15
793;17
794;21
795;24
796;16
797;21
798;22
799;15
800;19
801;17
802;25
803;21
804;20
805;13
806;17
807;22
808;17
809;20
810;23
811;18
812;28
813;17
814;15
815;18
816;21
817;14
818;20
819;21
820;20
821;13
822;19
823;18
824;20
825;27
826;16
827;13
828;23
829;22
830;10
831;28
832;15
833;16
834;21
835;15
836;24
837;16
838;13
839;17
840;13
841;17
842;16
843;7
844;19
845;18
846;14
847;16
848;17
849;18
850;15
851;12
852;17
853;23
854;16
855;13
856;17
857;21
858;13
859;20
860;14
861;22
862;16
863;15
864;18
865;16
866;20
867;18
868;16
869;12
870;12
871;12
872;19
873;13
874;16
875;20
876;21
877;20
878;17
879;12
880;22
881;20
882;12
883;15
884;6
885;17
886;15
887;15
888;14
889;12
890;21
891;15
892;12
893;16
894;25
895;13
896;14
897;9
898;15
899;18
900;17
901;10
902;24
903;16
904;14
905;13
906;15
907;16
908;22
909;21
910;13
911;19
912;10
913;17
914;11
915;20
916;17
917;16
918;16
919;15
920;18
921;14
922;12
923;17
924;16
925;13
926;13
927;14
928;8
929;18
930;12
931;12
932;11
933;8
934;20
935;13
936;10
937;16
938;12
939;14
940;12
941;17
942;12
943;24
944;15
945;14
946;16
947;18
948;14
949;21
950;8
951;15
952;11
953;13
954;11
955;14
956;8
957;16
958;11
959;19
960;14
961;12
962;19
963;12
964;10
965;10
966;12
967;11
968;11
969;15
970;10
971;9
972;12
973;17
974;11
975;8
976;24
977;16
978;9
979;13
980;18
981;18
982;13
983;12
984;15
985;9
986;14
987;8
988;14
989;17
990;11
991;6
992;14
993;12
994;13
995;16
996;19
997;17
998;10
999;13
1000;12
1001;9
1002;11
1003;8
1004;16
1005;17
1006;10
1007;12
1008;13
1009;9
1010;11
1011;9
1012;18
1013;11
1014;7
1015;16
1016;6
1017;19
1018;15
1019;18
1020;16
1021;9
1022;6
1023;11
1024;7
1025;9
1026;10
1027;12
1028;16
1029;13
1030;9
1031;10
1032;6
1033;11
1034;7
1035;11
1036;7
1037;11
1038;6
1039;8
1040;9
1041;8
1042;7
1043;8
1044;11
1045;8
1046;10
1047;12
1048;10
1049;15
1050;7
1051;14
1052;10
1053;7
1054;12
1055;10
1056;11
1057;11
1058;8
1059;10
1060;15
1061;11
1062;13
1063;13
1064;11
1065;12
1066;14
1067;8
1068;9
1069;11
1070;8
1071;4
1072;9
1073;11
1074;10
1075;9
1076;10
1077;10
1078;14
1079;10
1080;6
1081;11
1082;8
1083;7
1084;8
1085;11
1086;10
1087;9
1088;12
1089;7
1090;5
1091;8
1092;13
1093;10
1094;7
1095;12
1096;10
1097;14
1098;8
1099;8
1100;9
1101;12
1102;10
1103;7
1104;14
1105;10
1106;5
1107;6
1108;11
1109;11
1110;10
1111;16
1112;10
1113;11
1114;7
1115;11
1116;9
1117;5
1118;6
1119;12
1120;8
1121;12
1122;11
1123;10
1124;10
1125;6
1126;14
1127;10
1128;8
1129;11
1130;8
1131;5
1132;11
1133;11
1134;11
1135;10
1136;6
1137;8
1138;7
1139;8
1140;5
1141;5
1142;9
1143;9
1144;11
1145;9
1146;7
1147;14
1148;3
1149;10
1150;14
1151;14
1152;12
1153;6
1154;6
1155;10
1156;5
1157;11
1158;12
1159;14
1160;5
1161;9
1162;5
1163;7
1164;5
1165;6
1166;6
1167;8
1168;10
1169;9
1170;5
1171;11
1172;10
1173;9
1174;7
1175;2
1176;9
1177;14
1178;8
1179;10
1180;10
1181;11
1182;9
1183;11
1184;10
1185;11
1186;6
1187;3
1188;5
1189;1
1190;7
1191;13
1192;1
1193;10
1194;7
1195;7
1196;3
1197;7
1198;6
1199;8
1200;9
1201;7
1202;11
1203;9
1204;9
1205;5
1206;7
1207;7
1208;16
1209;5
1210;8
1211;5
1212;6
1213;8
1214;8
1215;8
1216;9
1217;11
1218;7
1219;9
1220;3
1221;6
1222;12
1223;9
1224;5
1225;11
1226;7
1227;5
1228;7
1229;7
1230;7
1231;8
1232;8
1233;6
1234;12
1235;3
1236;9
1237;10
1238;2
1239;6
1240;7
1241;5
1242;13
