degree;count
1;17846663
2;6155066
3;3151135
4;1923607
5;1294894
6;937091
7;708305
8;555886
9;447570
10;368150
11;308014
12;263586
13;226200
14;196307
15;172896
16;152634
17;136422
18;122034
19;109900
20;99981
21;90412
22;83938
23;76831
24;70386
25;65098
26;60483
27;56812
28;52832
29;49369
30;46210
31;43514
32;40869
33;38483
34;36196
35;33990
36;32506
37;30742
38;29200
39;27898
40;26431
41;25196
42;24001
43;22706
44;21785
45;21045
46;20232
47;19573
48;18440
49;18048
50;17121
51;16721
52;15814
53;15186
54;14801
55;14021
56;13741
57;13271
58;12651
59;12529
60;11862
61;11594
62;11325
63;10940
64;10549
65;10069
66;10035
67;9736
68;9400
69;9223
70;8783
71;8794
72;8301
73;8230
74;7987
75;7620
76;7566
77;7346
78;7079
79;7084
80;6772
81;6737
82;6425
83;6362
84;6230
85;6172
86;5998
87;5834
88;5795
89;5507
90;5517
91;5371
92;5180
93;5143
94;4962
95;4913
96;4750
97;4608
98;4476
99;4551
100;4552
101;4440
102;4306
103;4265
104;4167
105;3957
106;3945
107;3885
108;3719
109;3720
110;3715
111;3630
112;3616
113;3450
114;3473
115;3392
116;3315
117;3220
118;3155
119;3156
120;3089
121;3055
122;3046
123;2798
124;2914
125;2867
126;2752
127;2810
128;2658
129;2822
130;2585
131;2644
132;2558
133;2516
134;2558
135;2381
136;2367
137;2380
138;2382
139;2248
140;2228
141;2198
142;2196
143;2130
144;2148
145;2184
146;2037
147;2140
148;2007
149;1950
150;2032
151;2008
152;1978
153;1867
154;1809
155;1816
156;1835
157;1875
158;1807
159;1791
160;1794
161;1707
162;1783
163;1709
164;1664
165;1614
166;1646
167;1609
168;1588
169;1582
170;1575
171;1527
172;1559
173;1467
174;1433
175;1485
176;1444
177;1448
178;1428
179;1433
180;1410
181;1298
182;1368
183;1347
184;1387
185;1334
186;1295
187;1345
188;1264
189;1209
190;1275
191;1223
192;1223
193;1231
194;1244
195;1199
196;1240
197;1162
198;1060
199;1166
200;1133
201;1129
202;1165
203;1117
204;1071
205;1082
206;1034
207;1067
208;1034
209;1028
210;1070
211;1017
212;960
213;1023
214;1027
215;1008
216;952
217;970
218;949
219;931
220;948
221;942
222;883
223;878
224;898
225;949
226;896
227;840
228;849
229;886
230;869
231;844
232;813
233;798
234;824
235;821
236;829
237;790
238;811
239;774
240;827
241;805
242;789
243;745
244;727
245;798
246;744
247;705
248;669
249;700
250;699
251;664
252;643
253;694
254;667
255;676
256;716
257;721
258;688
259;657
260;691
261;677
262;620
263;683
264;648
265;631
266;641
267;614
268;672
269;638
270;624
271;589
272;608
273;596
274;589
275;615
276;610
277;574
278;561
279;605
280;598
281;615
282;538
283;566
284;563
285;562
286;535
287;548
288;519
289;562
290;558
291;536
292;540
293;513
294;538
295;497
296;523
297;519
298;473
299;497
300;508
301;469
302;482
303;478
304;511
305;513
306;470
307;450
308;449
309;512
310;481
311;440
312;454
313;469
314;473
315;458
316;438
317;433
318;432
319;440
320;457
321;479
322;454
323;421
324;425
325;422
326;376
327;401
328;407
329;428
330;431
331;397
332;409
333;397
334;415
335;387
336;364
337;405
338;394
339;396
340;384
341;380
342;392
343;384
344;398
345;382
346;382
347;356
348;366
349;349
350;379
351;335
352;414
353;359
354;341
355;342
356;345
357;343
358;328
359;361
360;372
361;351
362;333
363;310
364;326
365;360
366;347
367;347
368;317
369;307
370;343
371;332
372;328
373;323
374;349
375;323
376;290
377;319
378;317
379;338
380;342
381;311
382;307
383;316
384;303
385;260
386;306
387;309
388;295
389;311
390;292
391;311
392;284
393;292
394;270
395;284
396;297
397;275
398;282
399;289
400;288
401;272
402;294
403;279
404;311
405;301
406;270
407;242
408;289
409;256
410;283
411;276
412;279
413;272
414;294
415;266
416;222
417;267
418;235
419;268
420;246
421;278
422;231
423;260
424;228
425;248
426;273
427;219
428;245
429;267
430;242
431;247
432;259
433;239
434;233
435;220
436;242
437;230
438;218
439;234
440;254
441;220
442;225
443;245
444;239
445;218
446;261
447;240
448;229
449;226
450;224
451;208
452;210
453;264
454;210
455;223
456;246
457;206
458;215
459;208
460;204
461;229
462;202
463;217
464;210
465;220
466;206
467;225
468;213
469;216
470;190
471;172
472;212
473;199
474;198
475;232
476;178
477;212
478;187
479;202
480;211
481;206
482;214
483;170
484;188
485;194
486;195
487;197
488;196
489;193
490;186
491;204
492;178
493;187
494;181
495;168
496;189
497;175
498;170
499;157
500;173
501;172
502;173
503;209
504;166
505;150
506;193
507;175
508;175
509;181
510;164
511;161
512;180
513;179
514;131
515;182
516;179
517;172
518;145
519;183
520;169
521;152
522;154
523;179
524;186
525;207
526;159
527;158
528;164
529;156
530;179
531;166
532;163
533;174
534;159
535;145
536;148
537;142
538;147
539;159
540;168
541;155
542;140
543;138
544;121
545;143
546;155
547;142
548;162
549;174
550;167
551;163
552;104
553;173
554;145
555;151
556;147
557;133
558;144
559;118
560;152
561;135
562;155
563;123
564;146
565;136
566;123
567;137
568;140
569;146
570;149
571;142
572;124
573;145
574;149
575;142
576;149
577;142
578;137
579;135
580;128
581;142
582;134
583;122
584;137
585;155
586;135
587;133
588;143
589;122
590;123
591;123
592;140
593;125
594;133
595;136
596;95
597;127
598;132
599;143
600;131
601;123
602;125
603;111
604;129
605;132
606;127
607;119
608;120
609;129
610;125
611;121
612;110
613;125
614;115
615;128
616;113
617;136
618;108
619;118
620;127
621;126
622;135
623;109
624;105
625;103
626;114
627;116
628;116
629;119
630;114
631;124
632;99
633;128
634;109
635;107
636;121
637;109
638;100
639;112
640;94
641;127
642;105
643;101
644;103
645;117
646;105
647;122
648;111
649;123
650;111
651;114
652;105
653;115
654;123
655;133
656;104
657;99
658;117
659;107
660;112
661;103
662;104
663;93
664;93
665;117
666;125
667;108
668;98
669;96
670;107
671;99
672;103
673;84
674;102
675;85
676;70
677;130
678;106
679;97
680;97
681;96
682;79
683;107
684;95
685;103
686;100
687;110
688;86
689;90
690;107
691;106
692;104
693;86
694;87
695;107
696;87
697;78
698;98
699;90
700;89
701;99
702;91
703;98
704;88
705;96
706;102
707;78
708;87
709;96
710;82
711;97
712;91
713;81
714;82
715;87
716;90
717;88
718;94
719;87
720;97
721;89
722;75
723;75
724;82
725;76
726;90
727;89
728;84
729;94
730;96
731;89
732;94
733;67
734;77
735;87
736;71
737;91
738;93
739;82
740;89
741;85
742;75
743;83
744;88
745;85
746;71
747;75
748;77
749;88
750;67
751;73
752;84
753;92
754;57
755;78
756;72
757;98
758;78
759;78
760;72
761;74
762;83
763;76
764;69
765;76
766;92
767;71
768;87
769;90
770;82
771;92
772;83
773;84
774;75
775;79
776;85
777;75
778;74
779;83
780;66
781;76
782;78
783;65
784;77
785;71
786;87
787;82
788;66
789;71
790;76
791;81
792;72
793;58
794;88
795;77
796;83
797;81
798;71
799;65
800;70
801;64
802;59
803;65
804;69
805;75
806;74
807;76
808;58
809;77
810;59
811;71
812;80
813;75
814;71
815;59
816;75
817;69
818;64
819;57
820;68
821;76
822;84
823;63
824;75
825;69
826;64
827;51
828;62
829;71
830;62
831;73
832;57
833;61
834;63
835;64
836;71
837;62
838;51
839;58
840;65
841;68
842;64
843;45
844;64
845;66
846;52
847;68
848;65
849;70
850;66
851;73
852;74
853;75
854;57
855;66
856;53
857;72
858;71
859;67
860;65
861;57
862;57
863;72
864;60
865;64
866;68
867;66
868;84
869;62
870;55
871;71
872;50
873;55
874;42
875;78
876;49
877;62
878;53
879;70
880;60
881;62
882;54
883;72
884;56
885;74
886;53
887;66
888;56
889;52
890;48
891;50
892;52
893;57
894;56
895;34
896;54
897;64
898;62
899;51
900;55
901;62
902;69
903;57
904;59
905;41
906;54
907;48
908;54
909;54
910;57
911;56
912;52
913;38
914;51
915;55
916;52
917;55
918;62
919;50
920;62
921;51
922;61
923;66
924;67
925;53
926;46
927;57
928;38
929;42
930;34
931;55
932;62
933;60
934;59
935;55
936;57
937;44
938;52
939;58
940;37
941;44
942;67
943;47
944;57
945;54
946;44
947;42
948;47
949;45
950;41
951;45
952;35
953;54
954;50
955;44
956;47
957;65
958;55
959;33
960;57
961;38
962;43
963;43
964;51
965;43
966;62
967;51
968;57
969;48
970;56
971;39
972;43
973;47
974;49
975;37
976;48
977;44
978;50
979;42
980;46
981;40
982;37
983;41
984;32
985;40
986;47
987;42
988;41
989;34
990;55
991;45
992;53
993;47
994;51
995;37
996;39
997;38
998;42
999;54
1000;40
1001;40
1002;40
1003;47
1004;54
1005;41
1006;36
1007;47
1008;48
1009;39
1010;40
1011;44
1012;41
1013;42
1014;42
1015;40
1016;37
1017;43
1018;45
1019;44
1020;54
1021;44
1022;31
1023;43
1024;35
1025;27
1026;51
1027;37
1028;39
1029;39
1030;46
1031;56
1032;46
1033;44
1034;46
1035;41
1036;56
1037;44
1038;46
1039;34
1040;41
1041;40
1042;33
1043;40
1044;46
1045;42
1046;31
1047;38
1048;46
1049;34
1050;31
1051;31
1052;47
1053;38
1054;45
1055;48
1056;41
1057;42
1058;36
1059;44
1060;44
1061;38
1062;43
1063;45
1064;33
1065;38
1066;43
1067;34
1068;43
1069;43
1070;35
1071;39
1072;29
1073;42
1074;28
1075;39
1076;36
1077;36
1078;30
1079;41
1080;33
1081;34
1082;37
1083;42
1084;31
1085;41
1086;37
1087;36
1088;34
1089;32
1090;37
1091;35
1092;42
1093;40
1094;34
1095;27
1096;45
1097;37
1098;33
1099;41
1100;34
1101;34
1102;36
1103;31
1104;44
1105;34
1106;35
1107;37
1108;32
1109;44
1110;29
1111;37
1112;43
1113;41
1114;28
1115;42
1116;35
1117;39
1118;35
1119;43
1120;40
1121;41
1122;52
1123;35
1124;29
1125;36
1126;41
1127;47
1128;38
1129;28
1130;41
1131;28
1132;28
1133;39
1134;41
1135;28
1136;34
1137;34
1138;26
1139;37
1140;32
1141;40
1142;22
1143;32
1144;37
1145;34
1146;30
1147;23
1148;25
1149;31
1150;36
1151;36
1152;28
1153;29
1154;34
1155;32
1156;26
1157;40
1158;41
1159;40
1160;40
1161;39
1162;22
1163;33
1164;37
1165;31
1166;27
1167;34
1168;40
1169;28
1170;35
1171;20
1172;27
1173;33
1174;33
1175;28
1176;30
1177;35
1178;24
1179;34
1180;22
1181;23
1182;27
1183;36
1184;38
1185;23
1186;32
1187;28
1188;31
1189;39
1190;29
1191;25
1192;25
1193;32
1194;36
1195;36
1196;29
1197;25
1198;28
1199;40
1200;37
1201;40
1202;43
1203;29
1204;39
1205;26
1206;38
1207;24
1208;36
1209;33
1210;39
1211;30
1212;34
1213;28
1214;29
1215;32
1216;30
1217;27
1218;46
1219;27
1220;26
1221;27
1222;32
1223;35
1224;28
1225;26
1226;28
1227;40
1228;24
1229;32
1230;27
1231;30
1232;32
1233;22
1234;19
1235;31
1236;29
1237;40
1238;23
1239;24
1240;22
1241;28
1242;25
1243;24
1244;36
1245;20
1246;27
1247;25
1248;30
1249;34
1250;22
1251;29
1252;27
1253;30
1254;29
1255;21
1256;44
1257;25
1258;32
1259;34
1260;22
1261;29
1262;26
1263;30
1264;30
1265;32
1266;26
1267;34
1268;29
1269;27
1270;31
1271;36
1272;23
1273;33
1274;28
1275;34
1276;22
1277;27
1278;41
1279;16
1280;33
1281;22
1282;30
1283;32
1284;30
1285;38
1286;36
1287;32
1288;23
1289;25
1290;32
1291;31
1292;26
1293;28
1294;23
1295;25
1296;27
1297;21
1298;22
1299;20
1300;25
1301;34
1302;30
1303;25
1304;30
1305;32
1306;17
1307;22
1308;26
1309;29
1310;31
1311;34
1312;27
1313;30
1314;34
1315;14
1316;30
1317;21
1318;28
1319;30
1320;35
1321;24
1322;29
1323;25
1324;19
1325;27
1326;26
1327;32
1328;22
1329;28
1330;21
1331;28
1332;24
1333;30
1334;15
1335;32
1336;24
1337;27
1338;18
1339;19
1340;16
1341;35
1342;33
1343;30
1344;27
1345;26
1346;26
1347;28
1348;35
1349;27
1350;22
1351;18
1352;35
1353;34
1354;18
1355;22
1356;30
1357;22
1358;19
1359;26
1360;31
1361;20
1362;38
1363;23
1364;23
1365;33
1366;25
1367;22
1368;22
1369;19
1370;26
1371;26
1372;22
1373;24
1374;17
1375;22
1376;30
1377;32
1378;12
1379;30
1380;26
1381;30
1382;20
1383;25
1384;25
1385;26
1386;20
1387;26
1388;20
1389;24
1390;15
1391;23
1392;24
1393;25
1394;19
1395;23
1396;18
1397;23
1398;26
1399;22
1400;29
1401;25
1402;23
1403;24
1404;22
1405;23
1406;21
1407;19
1408;20
1409;10
1410;24
1411;23
1412;22
1413;23
1414;17
1415;24
1416;27
1417;21
1418;16
1419;23
1420;28
1421;19
1422;26
1423;14
1424;28
1425;15
1426;20
1427;19
1428;25
1429;26
1430;24
1431;18
1432;18
1433;20
1434;30
1435;29
1436;28
1437;16
1438;23
1439;23
1440;30
1441;21
1442;19
1443;12
1444;21
1445;14
1446;19
1447;16
1448;21
1449;17
1450;21
1451;34
1452;21
1453;21
1454;23
1455;23
1456;26
1457;22
1458;26
1459;17
1460;24
1461;17
1462;31
1463;24
1464;20
1465;26
1466;23
1467;22
1468;26
1469;27
1470;19
1471;19
1472;16
1473;18
1474;12
1475;17
1476;26
1477;16
1478;22
1479;18
1480;19
1481;25
1482;20
1483;25
1484;23
1485;15
1486;20
1487;23
1488;17
1489;22
1490;20
1491;15
1492;22
1493;17
1494;13
1495;18
1496;29
1497;13
1498;21
1499;18
1500;19
1501;27
1502;18
1503;21
1504;29
1505;19
1506;22
1507;21
1508;24
1509;19
1510;29
1511;22
1512;18
1513;24
1514;17
1515;23
1516;19
1517;18
1518;11
1519;20
1520;17
1521;14
1522;16
1523;27
1524;17
1525;11
1526;24
1527;17
1528;20
1529;27
1530;8
1531;16
1532;25
1533;19
1534;17
1535;27
1536;10
1537;16
1538;14
1539;21
1540;24
1541;21
1542;13
1543;19
1544;16
1545;18
1546;17
1547;21
1548;20
1549;23
1550;17
1551;16
1552;19
1553;23
1554;18
1555;19
1556;22
1557;20
1558;24
1559;17
1560;18
1561;18
1562;19
1563;16
1564;11
1565;23
1566;28
1567;23
1568;13
1569;21
1570;17
1571;21
1572;24
1573;19
1574;18
1575;20
1576;14
1577;17
1578;20
1579;16
1580;26
1581;18
1582;18
1583;16
1584;16
1585;17
1586;21
1587;18
1588;18
1589;14
1590;9
1591;15
1592;18
1593;16
1594;15
1595;20
1596;20
1597;17
1598;14
1599;11
1600;19
1601;17
1602;19
1603;17
1604;21
1605;16
1606;17
1607;18
1608;25
1609;22
1610;13
1611;14
1612;15
1613;23
1614;13
1615;14
1616;11
1617;18
1618;13
1619;22
1620;24
1621;13
1622;20
1623;18
1624;14
1625;14
1626;26
1627;19
1628;12
1629;20
1630;15
1631;14
1632;19
1633;14
1634;20
1635;18
1636;12
1637;14
1638;22
1639;21
1640;22
1641;26
1642;20
1643;10
1644;15
1645;13
1646;13
1647;14
1648;19
1649;15
1650;10
1651;17
1652;9
1653;16
1654;24
1655;23
1656;17
1657;14
1658;19
1659;20
1660;13
1661;23
1662;21
1663;16
1664;23
1665;27
1666;13
1667;12
1668;17
1669;23
1670;17
1671;9
1672;6
1673;22
1674;25
1675;9
1676;21
1677;15
1678;26
1679;9
1680;17
1681;19
1682;10
1683;15
1684;6
1685;19
1686;22
1687;11
1688;18
1689;20
1690;23
1691;13
1692;11
1693;9
1694;12
1695;16
1696;15
1697;8
1698;14
1699;20
1700;18
1701;14
1702;13
1703;17
1704;18
1705;17
1706;16
1707;19
1708;20
1709;10
1710;10
1711;18
1712;9
1713;25
1714;20
1715;8
1716;22
1717;22
1718;15
1719;14
1720;18
1721;14
1722;24
1723;19
1724;14
1725;16
1726;10
1727;22
1728;13
1729;16
1730;13
1731;11
1732;17
1733;12
1734;13
1735;20
1736;21
1737;12
1738;19
1739;12
1740;10
1741;17
1742;13
1743;14
1744;17
1745;13
1746;12
1747;14
1748;10
1749;14
1750;12
1751;18
1752;15
1753;15
1754;13
1755;18
1756;6
1757;9
1758;15
1759;15
1760;16
1761;16
1762;9
1763;21
1764;8
1765;11
1766;15
1767;8
1768;17
1769;14
1770;19
1771;18
1772;17
1773;17
1774;20
1775;20
1776;12
1777;19
1778;14
1779;18
1780;9
1781;11
1782;10
1783;9
1784;14
1785;17
1786;13
1787;16
1788;13
1789;15
1790;16
1791;7
1792;12
1793;11
1794;17
1795;8
1796;15
