degree;count
1;38874873
2;16230088
3;9211173
4;6020723
5;4261070
6;3182155
7;2470689
8;1974373
9;1613163
10;1341573
11;1134644
12;970081
13;838603
14;732859
15;643056
16;571093
17;509009
18;457320
19;411920
20;372187
21;338749
22;308311
23;282469
24;259921
25;240024
26;222045
27;204583
28;191095
29;177427
30;166022
31;154418
32;144811
33;135772
34;126987
35;119713
36;113539
37;106793
38;100619
39;95280
40;90492
41;85725
42;81473
43;76791
44;73417
45;69792
46;66866
47;63633
48;60731
49;57688
50;55453
51;53148
52;50832
53;48704
54;47103
55;45111
56;43244
57;41405
58;40031
59;38396
60;36994
61;35424
62;34295
63;33188
64;32155
65;30785
66;29766
67;28810
68;27998
69;26921
70;25946
71;24901
72;24481
73;23499
74;22746
75;21959
76;21117
77;20768
78;20253
79;19259
80;19107
81;18761
82;17690
83;17328
84;16890
85;16304
86;15899
87;15477
88;15160
89;14751
90;14156
91;13900
92;13701
93;13121
94;12766
95;12578
96;12242
97;11758
98;11790
99;11377
100;10947
101;10783
102;10467
103;10473
104;10135
105;9832
106;9471
107;9382
108;9328
109;8891
110;8913
111;8563
112;8252
113;8356
114;8015
115;7853
116;7740
117;7490
118;7311
119;7121
120;6856
121;6933
122;6812
123;6471
124;6615
125;6418
126;6139
127;6142
128;6003
129;5744
130;5721
131;5691
132;5508
133;5626
134;5375
135;5349
136;5122
137;5044
138;4911
139;4851
140;4704
141;4711
142;4526
143;4490
144;4462
145;4356
146;4409
147;4246
148;4085
149;4136
150;3965
151;3883
152;3918
153;3704
154;3808
155;3721
156;3587
157;3609
158;3500
159;3464
160;3403
161;3417
162;3266
163;3211
164;3162
165;3103
166;3067
167;2991
168;2964
169;2902
170;2823
171;2814
172;2845
173;2745
174;2756
175;2715
176;2641
177;2601
178;2656
179;2507
180;2476
181;2395
182;2386
183;2365
184;2455
185;2300
186;2307
187;2252
188;2139
189;2193
190;2201
191;2058
192;2039
193;1945
194;2074
195;1979
196;2010
197;1932
198;1936
199;1919
200;1844
201;1800
202;1816
203;1795
204;1836
205;1703
206;1745
207;1713
208;1703
209;1617
210;1588
211;1625
212;1606
213;1627
214;1533
215;1536
216;1470
217;1524
218;1526
219;1432
220;1376
221;1446
222;1400
223;1398
224;1352
225;1313
226;1352
227;1345
228;1293
229;1375
230;1221
231;1275
232;1214
233;1272
234;1216
235;1155
236;1224
237;1162
238;1204
239;1123
240;1092
241;1088
242;1167
243;1128
244;1106
245;1044
246;1092
247;1015
248;990
249;1053
250;1003
251;975
252;1043
253;996
254;957
255;891
256;919
257;946
258;918
259;896
260;954
261;864
262;909
263;918
264;881
265;889
266;834
267;841
268;854
269;801
270;799
271;789
272;783
273;757
274;815
275;771
276;773
277;803
278;780
279;772
280;710
281;744
282;770
283;678
284;725
285;708
286;673
287;689
288;709
289;638
290;725
291;695
292;649
293;628
294;631
295;634
296;633
297;619
298;622
299;585
300;632
301;563
302;595
303;583
304;571
305;620
306;599
307;545
308;547
309;544
310;533
311;554
312;578
313;514
314;566
315;572
316;542
317;516
318;520
319;467
320;528
321;524
322;481
323;472
324;460
325;512
326;469
327;475
328;488
329;461
330;425
331;468
332;420
333;405
334;443
335;448
336;438
337;435
338;425
339;451
340;433
341;397
342;412
343;395
344;394
345;416
346;396
347;400
348;391
349;403
350;383
351;397
352;398
353;365
354;376
355;400
356;401
357;358
358;376
359;396
360;347
361;339
362;337
363;371
364;353
365;339
366;373
367;350
368;308
369;322
370;334
371;312
372;335
373;329
374;304
375;340
376;319
377;321
378;262
379;316
380;300
381;306
382;293
383;267
384;277
385;274
386;299
387;266
388;261
389;295
390;274
391;288
392;250
393;283
394;254
395;280
396;263
397;262
398;252
399;304
400;268
401;248
402;278
403;242
404;254
405;241
406;245
407;267
408;245
409;228
410;253
411;237
412;263
413;224
414;247
415;231
416;241
417;239
418;216
419;238
420;228
421;203
422;214
423;225
424;212
425;202
426;194
427;226
428;218
429;215
430;205
431;198
432;207
433;207
434;197
435;237
436;212
437;212
438;219
439;189
440;186
441;203
442;173
443;185
444;203
445;201
446;196
447;170
448;201
449;196
450;181
451;184
452;187
453;192
454;171
455;172
456;192
457;154
458;159
459;170
460;193
461;146
462;168
463;190
464;154
465;164
466;159
467;163
468;176
469;165
470;151
471;127
472;144
473;153
474;142
475;164
476;170
477;154
478;131
479;156
480;155
481;150
482;122
483;148
484;174
485;139
486;150
487;146
488;130
489;153
490;149
491;125
492;143
493;142
494;134
495;140
496;139
497;150
498;134
499;118
500;134
501;111
502;127
503;134
504;139
505;132
506;134
507;142
508;136
509;135
510;109
511;123
512;130
513;139
514;111
515;112
516;109
517;114
518;114
519;123
520;127
521;106
522;107
523;117
524;102
525;109
526;124
527;105
528;110
529;107
530;124
531;109
532;111
533;103
534;117
535;113
536;114
537;102
538;121
539;103
540;92
541;100
542;102
543;81
544;90
545;90
546;94
547;85
548;101
549;105
550;96
551;104
552;99
553;103
554;105
555;96
556;83
557;100
558;82
559;80
560;71
561;78
562;89
563;80
564;89
565;90
566;81
567;100
568;106
569;88
570;90
571;100
572;97
573;101
574;76
575;83
576;108
577;87
578;94
579;106
580;93
581;71
582;88
583;109
584;96
585;62
586;69
587;66
588;85
589;76
590;65
591;68
592;67
593;86
594;93
595;86
596;69
597;76
598;80
599;79
600;72
601;73
602;83
603;87
604;73
605;57
606;70
607;73
608;64
609;84
610;66
611;71
612;69
613;66
614;87
615;72
616;75
617;71
618;72
619;56
620;76
621;54
622;75
623;66
624;63
625;61
626;73
627;63
628;71
629;53
630;47
631;79
632;77
633;64
634;73
635;59
636;64
637;71
638;58
639;67
640;59
641;62
642;65
643;66
644;61
645;55
646;53
647;61
648;56
649;60
650;47
651;60
652;58
653;61
654;62
655;62
656;64
657;65
