degree;count
1;31116584
2;12088742
3;1663957
4;2920467
5;230564
6;439830
7;306225
8;128785
9;139079
10;169937
11;26101
12;74204
13;100057
14;32313
15;39967
16;67074
17;16090
18;31962
19;45376
20;14767
21;22387
22;36347
23;8298
24;17534
25;27490
26;9422
27;12301
28;22193
29;6825
30;11486
31;17109
32;6258
33;8972
34;15207
35;4528
36;8085
37;12453
38;4945
39;6190
40;10829
41;4013
42;6062
43;9023
44;3775
45;5044
46;8180
47;2959
48;4593
49;7023
50;3128
51;3860
52;6375
53;2641
54;3826
55;5245
56;2584
57;3255
58;5014
59;2024
60;3087
61;4398
62;2080
63;2634
64;4124
65;1863
66;2629
67;3563
68;1772
69;2336
70;3366
71;1574
72;2166
73;3083
74;1669
75;1800
76;2910
77;1464
78;1861
79;2569
80;1314
81;1702
82;2414
83;1186
84;1647
85;2201
86;1293
87;1288
88;2046
89;1057
90;1460
91;1876
92;1109
93;1254
94;1867
95;989
96;1303
97;1710
98;1037
99;1126
100;1670
101;921
102;1118
103;1436
104;892
105;1021
106;1472
107;766
108;993
109;1236
110;799
111;947
112;1277
113;736
114;877
115;1124
116;702
117;850
118;1216
119;659
120;812
121;995
122;671
123;743
124;987
125;658
126;732
127;835
128;629
129;682
130;935
131;585
132;702
133;809
134;580
135;619
136;803
137;519
138;630
139;831
140;542
141;603
142;761
143;461
144;581
145;744
146;501
147;509
148;710
149;474
150;514
151;670
152;458
153;466
154;676
155;400
156;452
157;636
158;423
159;440
160;588
161;387
162;454
163;584
164;431
165;431
166;561
167;342
168;436
169;521
170;377
171;342
172;478
173;345
174;375
175;461
176;327
177;369
178;491
179;317
180;377
181;458
182;329
183;352
184;480
185;328
186;338
187;410
188;314
189;350
190;378
191;271
192;327
193;385
194;317
195;286
196;407
197;269
198;300
199;349
200;276
201;302
202;355
203;274
204;291
205;341
206;254
207;252
208;321
209;271
210;280
211;277
212;258
213;277
214;379
215;230
216;277
217;333
218;247
219;212
220;306
221;236
222;248
223;285
224;216
225;229
226;298
227;207
