degree;count
1;15866428
2;3181743
3;1060924
4;11809216
5;1260526
6;2371652
7;2629465
8;1233852
9;706891
10;1537019
11;476898
12;425852
13;847702
14;238472
15;234980
16;483003
17;190119
18;124606
19;341254
20;84552
21;71055
22;173632
23;48430
24;41586
25;84875
26;25225
27;22329
28;40169
29;14116
30;13423
31;20586
32;8012
33;8566
34;12159
35;5420
36;5716
37;6710
38;3333
39;3998
40;4398
41;2563
42;2894
43;2968
44;1631
45;2210
46;2173
47;1441
48;1630
49;1619
50;945
51;1298
52;1308
53;804
54;1004
55;1000
56;558
57;848
58;846
59;491
60;554
61;681
62;342
63;560
64;528
65;358
66;434
67;474
68;218
69;396
70;328
71;234
72;271
73;306
74;172
75;259
76;256
77;175
78;198
79;228
80;101
81;178
82;189
83;121
84;113
85;191
86;74
87;138
88;155
89;124
90;112
91;127
92;64
93;82
94;113
95;94
96;69
97;88
98;51
99;95
100;76
101;63
102;87
103;101
104;41
105;75
106;62
107;60
108;37
109;62
110;47
111;79
112;44
113;53
114;50
115;76
116;21
117;36
118;54
119;46
120;30
121;93
122;18
123;49
124;18
125;54
126;25
127;52
128;21
129;39
130;26
131;29
132;33
133;32
134;10
135;37
136;21
137;29
138;16
139;36
140;15
141;22
142;18
143;24
144;15
145;18
146;18
147;26
148;17
149;21
150;15
151;21
152;10
153;26
154;15
155;21
156;16
157;24
158;10
159;21
160;14
161;17
162;9
163;24
164;10
165;21
166;15
167;12
168;8
169;18
170;9
171;18
172;10
173;23
174;15
175;9
176;9
177;13
178;17
179;19
180;9
181;16
182;10
183;28
184;7
185;13
186;9
187;19
188;6
189;10
190;7
191;13
192;9
193;11
194;6
195;24
196;6
197;13
198;10
199;12
200;6
201;7
202;6
203;12
204;8
205;12
206;5
207;14
208;10
209;13
210;8
211;10
212;4
213;13
214;8
215;5
216;6
217;11
218;2
219;9
220;10
221;15
222;2
223;9
224;4
225;11
226;3
227;12
228;5
229;7
230;5
231;10
232;3
233;1
234;1
235;4
236;2
237;11
238;7
239;12
240;5
241;8
243;6
244;1
245;6
246;1
247;8
248;5
249;6
250;3
251;7
252;3
253;10
254;2
255;10
256;4
257;5
258;7
259;3
260;1
261;8
262;1
263;2
264;4
265;17
266;1
267;6
269;8
270;3
271;9
273;4
274;2
275;4
276;1
277;6
279;7
280;2
281;5
282;2
283;4
285;8
286;1
287;4
288;2
289;5
291;3
293;4
294;4
295;5
296;1
297;5
298;1
299;1
300;2
301;6
302;4
303;14
304;3
305;3
306;6
307;7
308;3
309;7
311;7
312;2
313;3
315;3
317;4
318;1
319;7
320;2
321;4
323;4
324;1
325;5
326;4
327;6
328;1
329;2
330;2
331;2
333;6
334;2
335;2
337;2
338;2
339;2
340;1
341;10
342;1
343;2
344;1
345;6
346;1
347;2
348;2
349;4
350;3
351;1
352;1
353;2
354;2
355;3
357;4
358;2
359;4
361;2
362;1
363;4
364;3
365;3
367;4
369;1
371;5
373;1
374;1
375;2
376;1
377;4
379;6
380;1
382;1
383;1
385;5
387;4
388;2
389;1
390;1
391;2
392;1
393;7
395;2
396;1
397;2
399;2
401;2
403;2
404;3
405;2
407;4
409;5
411;2
412;1
413;1
414;1
415;3
417;2
418;1
419;1
421;2
424;1
427;3
429;2
430;1
431;1
433;2
434;1
437;1
438;1
439;1
440;1
441;1
443;5
445;5
446;1
449;3
450;2
453;1
457;1
458;1
459;2
461;1
463;1
469;2
475;1
481;1
483;1
485;2
488;1
489;2
493;2
495;2
497;2
498;1
499;1
500;1
501;1
503;3
505;3
507;1
508;2
510;2
513;2
517;2
519;1
521;1
523;2
529;1
531;1
534;1
535;1
537;1
541;2
542;1
543;2
545;1
550;1
551;1
555;4
559;1
561;2
566;1
567;1
573;2
577;2
579;3
581;3
583;2
584;1
593;1
594;2
601;1
605;1
614;1
617;1
619;1
622;1
623;1
626;1
627;1
631;1
634;1
635;1
638;1
640;1
645;1
647;1
650;1
651;2
652;1
653;1
662;1
667;1
672;1
674;1
675;2
678;1
681;1
682;1
685;1
695;1
711;1
712;1
715;2
720;1
723;1
729;1
730;1
731;1
733;1
749;1
751;1
753;1
763;1
797;1
799;1
811;1
813;1
814;1
821;1
825;1
847;1
855;1
863;1
884;1
894;1
895;2
899;1
903;1
927;2
928;1
929;1
949;1
951;1
952;1
975;1
1021;1
1028;1
1031;1
1039;1
1047;1
1075;1
1105;1
1152;1
1199;1
1200;1
1207;1
1210;1
1217;1
1281;1
1282;1
1301;1
1359;1
1366;1
1371;1
1377;1
1399;1
1481;1
1546;1
1645;1
1792;1
1808;1
1874;1
1880;1
1954;1
2225;1
2357;1
2435;1
2491;1
2664;1
2688;1
2854;1
3041;1
3908;1
3941;1
3976;1
4461;1
6395;1
7686;1
16771;1
