degree;count
1;50690345
2;713259
3;17341208
4;930721
5;468825
6;269851
7;213133
8;135269
9;109027
10;89351
11;131274
12;62830
13;51441
14;44667
15;40109
16;35141
17;30695
18;26506
19;25453
20;22152
21;19815
22;18093
23;16374
24;15629
25;14219
26;12898
27;11443
28;10368
29;9307
30;8798
31;7967
32;7439
33;6793
34;6209
35;5502
36;5562
37;4983
38;4648
39;4446
40;4116
41;3913
42;3564
43;3310
44;3250
45;2958
46;2895
47;2614
48;2749
49;2614
50;2813
51;2962
52;3299
53;3358
54;4133
55;4509
56;5160
57;5859
58;5892
59;5851
60;5623
61;4992
62;2086
63;1467
64;1501
65;1388
66;1428
67;1328
68;1334
69;1225
70;1259
71;1155
72;1135
73;863
74;914
75;1320
76;868
77;796
78;812
79;713
80;817
81;711
82;766
83;646
84;745
85;622
86;604
87;612
88;659
89;619
90;643
91;567
92;596
93;509
94;512
95;520
96;586
97;472
98;988
99;515
100;485
101;494
102;483
103;666
104;495
105;451
106;454
107;468
108;454
109;453
110;473
111;433
112;456
113;425
114;406
115;357
116;439
117;407
118;409
119;440
120;459
121;397
122;373
123;360
124;374
125;335
126;422
127;313
128;340
129;347
130;350
131;323
132;373
133;329
134;392
135;338
136;319
137;309
138;332
139;288
140;322
141;271
142;335
143;409
144;358
145;287
146;284
147;295
148;290
149;257
150;304
151;234
152;267
153;253
154;271
155;247
156;284
157;241
158;264
159;274
160;260
161;684
162;276
163;216
164;222
165;221
166;213
167;248
168;225
169;188
170;214
171;185
172;215
173;199
174;193
175;211
176;233
177;181
178;200
179;182
180;216
181;189
182;188
183;157
184;203
185;199
186;187
187;152
188;201
189;175
190;166
191;136
192;168
193;148
194;152
195;156
196;167
197;147
198;160
199;129
200;169
201;143
202;156
203;126
204;151
205;138
206;161
207;131
208;139
209;123
210;144
211;146
212;137
213;118
214;130
215;127
216;129
217;113
218;123
219;112
220;124
221;114
222;120
223;113
224;126
225;113
226;118
227;116
228;130
229;107
230;125
231;114
232;124
233;111
234;140
235;130
236;97
237;113
238;107
239;110
240;116
241;130
242;128
243;108
244;112
245;119
246;249
247;110
248;95
249;101
250;92
251;91
252;89
253;101
254;93
255;96
256;94
257;75
258;88
259;86
260;96
261;78
262;64
263;78
264;77
265;94
266;74
267;68
268;74
269;61
270;90
271;86
272;81
273;62
274;59
275;80
276;92
277;56
278;78
279;62
280;75
281;70
282;72
283;75
284;77
285;63
286;71
287;66
288;76
289;77
290;75
291;68
292;65
293;64
294;68
295;56
296;61
297;66
298;64
299;65
300;54
301;57
302;52
303;69
304;60
305;51
306;60
307;58
308;78
