degree;count
1;50477279
2;332840
3;14261
4;47131
5;2441043
6;243712
7;14489299
8;612851
9;288503
10;112723
11;74979
12;59732
13;46012
14;42402
15;30408
16;26114
17;23160
18;19543
19;18745
20;17505
21;15082
22;12909
23;13315
24;15823
25;38706
26;96000
27;173463
28;223624
29;222796
30;197610
31;166549
32;137561
33;109568
34;91669
35;80828
36;74737
37;67542
38;61652
39;50971
40;35814
41;27895
42;24469
43;21336
44;18965
45;16917
46;15004
47;13362
48;11985
49;10804
50;9938
51;8920
52;8172
53;7411
54;6647
55;6318
56;5868
57;5117
58;4932
59;4464
60;4198
61;3933
62;3853
63;3441
64;3218
65;3114
66;2963
67;2710
68;2666
69;2346
70;2375
71;2360
72;2245
73;2055
74;2254
75;2186
76;2455
77;3123
78;3020
79;3382
80;3940
81;4429
82;4737
83;4993
84;4821
85;4478
86;3756
87;2528
88;1738
89;1391
90;1277
91;1237
92;1191
93;1126
94;1070
95;1032
96;1022
97;965
98;881
99;797
100;793
101;758
102;1188
103;752
104;622
105;692
106;688
107;821
108;611
109;603
110;597
111;540
112;554
113;532
114;537
115;504
116;468
117;479
118;477
119;476
120;490
121;451
122;510
123;409
124;419
125;407
126;420
127;396
128;465
129;359
130;401
131;414
132;405
133;371
134;451
135;355
136;334
137;349
138;430
139;345
140;340
141;345
142;333
143;319
144;312
145;314
146;392
147;413
148;302
149;313
150;309
151;296
152;313
153;261
154;301
155;277
156;268
157;269
158;301
159;301
160;283
161;257
162;288
163;313
164;277
165;696
166;284
167;243
168;230
169;276
170;257
171;208
172;243
173;231
174;225
175;228
176;225
177;223
178;231
179;178
180;221
181;203
182;225
183;201
184;207
185;184
186;219
187;209
188;200
189;176
190;195
191;175
192;193
193;148
194;162
195;152
196;173
197;180
198;180
199;160
200;170
201;150
202;185
203;163
204;159
205;152
206;156
207;148
208;155
209;131
210;162
211;131
212;156
213;147
214;143
215;132
216;137
217;142
218;137
219;118
220;113
221;111
222;135
223;119
224;119
225;131
226;129
227;111
228;118
229;138
230;131
231;113
232;130
233;118
234;111
235;113
236;130
237;121
238;97
239;110
240;106
241;118
242;115
243;120
244;111
245;115
246;124
247;96
248;121
249;110
250;228
251;109
252;98
253;90
254;88
255;109
256;89
257;101
258;93
259;75
260;94
261;86
262;101
263;69
264;75
265;88
266;81
267;90
268;75
269;77
270;73
271;67
272;88
273;92
274;71
275;62
276;68
277;77
278;87
279;61
280;89
281;53
282;69
283;70
284;68
285;67
286;89
287;62
288;72
289;64
290;71
291;74
292;76
293;63
294;69
295;69
296;65
297;52
298;61
299;64
300;62
301;69
302;57
303;51
304;60
305;67
306;63
307;48
308;51
309;54
310;83
311;63
312;59
313;61
314;47
315;51
316;58
317;53
318;45
319;49
320;59
321;43
322;52
323;43
324;62
325;38
326;50
327;41
328;45
329;51
330;55
331;46
332;45
333;28
334;50
335;49
336;50
337;47
338;50
339;37
340;43
341;48
342;53
343;34
344;44
345;46
346;46
347;44
348;30
349;37
350;40
351;43
352;46
353;43
354;48
355;35
356;29
357;35
358;36
359;38
360;47
361;46
362;51
363;37
364;33
365;44
366;40
367;37
368;36
369;33
370;48
371;34
372;40
373;38
374;468
375;46
376;30
377;37
378;36
379;20
380;35
381;32
382;37
383;36
384;29
385;28
386;44
387;26
388;32
389;15
390;34
391;29
392;34
393;25
394;31
395;30
396;38
397;34
398;26
399;27
400;26
401;29
402;31
403;18
404;25
405;30
406;42
407;82
408;63
409;21
410;31
411;23
412;22
413;24
414;26
415;21
416;41
417;29
418;29
419;21
420;24
421;31
422;25
423;30
424;28
425;22
426;29
427;20
428;22
429;28
430;20
431;24
432;21
433;21
434;14
435;16
436;28
437;23
438;30
439;16
440;22
441;17
442;19
443;20
444;22
445;20
446;23
447;27
448;17
449;25
450;21
451;18
452;16
453;14
454;21
455;19
456;24
457;17
458;19
459;23
460;15
461;17
462;19
463;14
464;13
465;23
466;14
467;20
468;17
469;12
470;27
471;20
472;14
473;11
474;19
475;23
476;12
477;19
478;17
479;10
480;12
481;19
482;15
483;20
484;11
485;11
486;24
487;36
488;39
489;38
490;24
491;27
492;28
493;36
494;29
495;41
496;30
497;29
498;45
499;30
500;45
501;37
502;23
503;29
504;25
505;13
506;22
507;29
508;20
509;18
510;22
511;17
512;18
513;13
514;18
515;15
516;20
517;17
518;18
519;12
520;14
521;16
522;18
523;13
524;12
525;11
526;25
527;15
528;22
529;15
530;14
531;14
532;12
533;16
534;16
535;12
536;15
537;10
538;20
539;20
540;15
541;20
542;13
543;16
544;14
545;17
546;16
547;12
548;15
549;16
550;14
551;16
552;11
553;6
554;10
555;12
556;18
557;18
558;5
559;14
560;21
561;16
562;21
563;16
564;15
565;10
566;15
567;7
568;8
569;8
570;8
571;6
572;9
573;7
574;12
575;10
576;13
577;8
578;8
579;8
580;9
581;13
582;10
583;7
584;4
585;11
586;8
587;15
588;12
589;16
590;8
591;8
592;7
593;17
594;11
595;11
596;12
597;11
598;8
599;18
600;12
601;4
602;9
603;11
604;6
605;6
606;12
607;10
608;8
609;8
610;11
611;9
612;11
613;14
614;7
615;13
616;7
617;8
618;8
619;7
620;2
621;14
622;7
623;7
624;12
625;10
626;5
627;13
628;6
629;12
630;11
631;10
632;9
633;9
634;12
635;6
636;9
637;13
638;11
639;7
640;6
641;4
642;7
643;6
644;5
645;12
646;9
647;8
648;5
649;8
650;11
651;3
652;9
653;6
654;10
655;6
656;10
657;10
658;6
659;6
660;7
661;10
662;13
663;9
664;10
665;7
666;6
667;10
668;4
669;9
670;8
671;7
672;8
673;9
674;8
675;6
676;11
677;5
678;4
679;10
680;10
681;6
682;9
683;8
684;3
