degree;count
1;13148121
2;5430903
3;3117174
4;2063201
5;1568818
6;1234612
7;1022384
8;838085
9;713456
10;624983
11;613160
12;486448
13;426266
14;380423
15;343155
16;310153
17;278972
18;253496
19;231801
20;212743
21;195177
22;179876
23;166278
24;154208
25;143681
26;132714
27;124015
28;116355
29;108599
30;102474
31;96781
32;90348
33;84879
34;80817
35;75601
36;71272
37;67424
38;63883
39;60469
40;57593
41;54757
42;52492
43;49543
44;47073
45;44932
46;42681
47;40882
48;39212
49;37723
50;36008
51;34212
52;33099
53;31548
54;30361
55;28958
56;27540
57;27152
58;25756
59;25123
60;24225
61;23098
62;22255
63;21791
64;20594
65;20349
66;19299
67;18701
68;17978
69;17591
70;16851
71;16538
72;15748
73;15189
74;15334
75;14459
76;14183
77;13813
78;13115
79;12773
80;12454
81;12071
82;11848
83;11400
84;10902
85;10749
86;10317
87;10091
88;10039
89;9752
90;9446
91;9201
92;8875
93;8797
94;8322
95;8290
96;8213
97;8007
98;7750
99;7415
100;7535
101;7133
102;6997
103;7021
104;6854
105;6606
106;6422
107;6306
108;6075
109;5943
110;5848
111;5534
112;5760
113;5397
114;5429
115;5470
116;5082
117;5055
118;4823
119;4945
120;4886
121;4611
122;4562
123;4549
124;4189
125;4330
126;4354
127;4222
128;3942
129;3982
130;3897
131;3949
132;3852
133;3611
134;3656
135;3473
136;3396
137;3452
138;3329
139;3326
140;3321
141;3389
142;3164
143;3174
144;3099
145;3009
146;2931
147;2756
148;2864
149;2844
150;2718
151;2600
152;2660
153;2766
154;2500
155;2616
156;2529
157;2348
158;2486
159;2320
160;2271
161;2198
162;2242
163;2247
164;2228
165;2151
166;2138
167;2066
168;2105
169;2053
170;2022
171;1922
172;1897
173;2209
174;1825
175;1804
176;1839
177;1718
178;1842
179;1798
180;1739
181;1671
182;1711
183;1840
184;1676
185;1606
186;1595
187;1473
188;1588
189;1521
190;1504
191;1554
192;1554
193;1379
194;1431
195;1476
196;1404
197;1360
198;1376
199;1381
200;1428
201;1396
202;1359
203;1321
204;1361
205;1499
206;1210
207;1206
208;1261
209;1457
210;1173
211;1157
212;1338
213;1154
214;1153
215;1089
216;1168
217;1132
218;1070
219;1050
220;1073
221;1038
222;1064
223;1008
224;1021
225;967
226;939
227;937
228;1184
229;991
230;990
231;912
232;880
233;895
234;889
235;862
236;880
237;1226
238;981
239;885
240;899
241;841
242;795
243;914
244;820
245;773
246;830
247;831
248;741
249;792
250;764
251;745
252;717
253;794
254;722
255;710
256;744
257;672
258;703
259;681
260;703
261;681
262;713
263;695
264;679
265;704
266;659
267;631
268;658
269;623
270;599
271;569
272;642
273;604
274;607
275;625
276;605
277;549
278;813
279;868
280;638
281;620
282;606
283;805
284;531
285;635
286;605
287;564
288;651
289;569
290;561
291;557
292;540
293;510
294;543
295;749
296;536
297;505
298;456
299;474
300;582
301;559
302;493
303;684
304;543
305;523
306;566
307;489
308;447
309;472
310;471
311;461
312;395
313;427
314;495
315;476
316;513
317;436
318;399
319;401
320;446
321;449
322;387
323;423
324;425
325;395
326;422
327;386
328;366
329;469
330;517
331;405
332;504
333;401
334;402
335;395
336;620
337;456
338;361
339;351
340;368
341;366
342;348
343;346
344;332
345;323
346;319
347;361
348;336
349;349
350;353
351;320
352;306
353;320
354;341
355;343
356;301
357;332
358;320
359;315
360;300
361;306
362;311
363;308
364;284
365;282
366;290
367;292
368;274
369;246
370;299
371;281
372;260
373;276
374;315
375;279
376;284
377;249
378;274
379;311
380;259
381;265
382;272
383;278
384;269
385;259
386;246
387;259
388;265
389;245
390;213
391;275
392;247
393;246
394;214
395;239
396;248
397;265
398;255
399;255
400;279
401;248
402;248
403;227
404;205
405;201
406;268
407;216
408;227
409;227
410;192
411;218
412;307
413;317
414;243
415;415
416;233
417;205
418;228
419;224
420;229
421;232
422;200
423;189
424;203
425;217
426;205
427;199
428;186
429;191
430;225
431;171
432;219
433;205
434;193
435;201
436;209
437;182
438;189
439;201
440;192
441;184
442;193
443;201
444;181
445;183
446;200
447;192
448;178
449;192
450;183
451;205
452;195
453;170
454;174
455;180
456;178
457;156
458;154
459;168
460;156
461;178
462;164
463;159
464;178
465;198
466;181
467;191
468;175
469;169
470;156
471;140
472;182
473;161
474;188
475;190
476;181
477;164
478;185
479;146
480;158
481;183
482;156
483;152
484;155
485;154
486;161
487;149
488;156
489;151
490;138
491;174
492;140
493;153
494;133
495;137
496;139
497;155
498;136
499;143
500;120
501;152
502;149
503;117
504;127
505;142
506;137
507;146
508;144
509;140
510;146
511;124
512;145
513;116
514;131
515;110
516;142
517;126
518;123
519;152
520;118
521;148
522;152
523;134
524;120
525;134
526;111
527;126
528;88
529;131
530;132
531;119
532;110
533;114
534;127
535;120
536;108
537;103
538;130
539;109
540;119
541;138
542;110
543;137
544;229
545;273
546;145
547;318
548;115
549;104
550;122
551;122
552;93
553;132
554;99
555;118
556;98
557;114
558;99
559;124
560;120
561;116
562;115
563;105
564;114
565;125
566;105
567;116
568;124
569;113
570;125
571;106
572;131
573;131
574;113
575;111
576;118
577;93
578;108
579;122
580;125
581;100
582;123
583;115
584;118
585;105
586;105
587;80
588;98
589;82
590;80
591;88
592;95
593;116
594;102
595;93
596;90
597;96
598;96
599;96
600;84
601;86
602;96
603;98
604;75
605;99
606;93
607;88
608;66
609;93
610;94
611;77
612;97
613;71
614;73
615;99
616;84
617;108
618;82
619;80
620;89
621;80
622;86
623;83
624;82
625;83
626;78
627;81
628;77
629;79
630;82
631;68
632;81
633;83
634;73
635;87
636;66
637;73
638;82
639;83
640;82
641;73
642;74
643;74
644;71
645;75
646;80
647;79
648;66
649;84
650;83
651;77
652;73
653;77
654;68
655;67
656;84
657;76
658;75
659;80
660;64
661;74
662;81
663;61
664;71
665;78
666;88
667;67
668;65
669;63
670;82
671;86
672;72
673;81
674;76
675;63
676;66
677;70
678;71
679;68
680;66
681;80
682;69
683;68
684;74
685;61
686;67
687;76
688;75
689;56
690;71
691;70
692;55
693;61
694;60
695;68
696;75
697;74
698;65
699;66
700;66
701;67
702;70
703;61
704;69
705;66
706;67
707;67
708;53
709;74
710;80
711;54
712;72
713;54
714;64
715;64
716;66
717;55
718;66
719;65
720;61
721;48
722;46
723;57
724;62
725;59
726;54
727;53
728;38
729;50
730;56
731;55
732;44
733;62
734;57
735;69
736;48
737;59
738;53
739;46
740;61
741;46
742;46
743;60
744;51
745;40
746;44
747;54
748;57
749;48
750;53
751;48
752;43
753;43
754;53
755;63
756;46
757;57
758;50
759;55
760;58
761;55
762;52
763;49
764;62
765;53
766;56
767;60
768;48
769;47
770;51
771;48
772;50
773;59
774;62
775;64
776;45
777;47
778;48
779;48
780;39
781;41
782;39
783;53
784;43
785;48
786;35
787;42
788;49
789;43
790;41
791;46
792;55
793;40
794;54
795;46
796;49
797;45
798;54
799;51
800;43
801;42
802;41
803;40
804;49
805;38
806;45
807;39
808;48
809;40
810;46
811;40
812;41
813;45
814;55
815;50
816;46
817;42
818;43
819;41
820;42
821;48
822;53
823;39
824;37
825;37
826;37
827;42
828;48
829;53
830;30
831;44
832;43
833;40
834;50
835;45
836;63
837;39
838;39
839;45
840;33
841;38
842;52
843;29
844;40
845;57
846;48
847;38
848;43
849;43
850;45
851;36
852;47
853;43
854;51
855;41
856;41
857;41
858;39
859;40
860;32
861;48
862;48
863;54
864;37
865;42
866;42
867;49
868;32
869;44
870;55
871;47
872;39
873;42
874;36
875;48
876;36
877;38
878;46
879;48
880;52
881;45
882;38
883;31
884;42
885;34
886;35
887;31
888;35
889;35
890;31
891;33
892;42
893;35
894;37
895;38
896;35
897;33
898;44
899;29
900;41
901;49
902;26
903;33
904;36
905;39
906;45
907;39
908;35
909;34
910;34
911;39
912;39
913;38
914;31
915;32
916;26
917;40
918;46
919;32
920;36
921;36
922;42
923;41
924;32
925;38
926;42
927;24
928;35
929;47
930;43
931;36
932;39
933;39
934;27
935;36
936;34
937;46
938;32
939;40
940;31
941;42
942;45
943;49
944;36
945;35
946;23
947;29
948;23
949;27
950;30
951;30
952;25
953;27
954;31
955;37
956;22
957;31
958;32
959;44
960;34
961;36
962;34
963;25
964;28
965;36
966;36
967;26
968;34
969;29
970;27
971;34
972;38
973;32
974;38
975;29
976;28
977;31
978;27
979;27
980;32
981;30
982;32
983;36
984;30
985;31
986;37
987;26
988;37
989;36
990;37
991;41
992;19
993;36
994;28
995;36
996;32
997;36
998;29
999;32
1000;36
1001;30
1002;29
1003;33
1004;30
1005;32
1006;30
1007;24
1008;38
1009;30
1010;30
1011;31
1012;34
1013;25
1014;22
1015;36
1016;29
1017;25
1018;17
1019;28
1020;28
1021;20
1022;23
1023;32
1024;23
1025;26
1026;30
1027;31
1028;31
1029;36
1030;20
1031;22
1032;27
1033;22
1034;25
1035;27
1036;32
1037;36
1038;28
1039;21
1040;31
1041;27
1042;31
1043;29
1044;16
1045;34
1046;27
1047;25
1048;37
1049;27
1050;20
1051;30
1052;28
1053;23
1054;23
1055;17
1056;30
1057;37
1058;34
1059;23
1060;35
1061;21
1062;20
1063;31
1064;31
1065;25
1066;17
1067;17
1068;26
1069;28
1070;22
1071;20
1072;27
1073;28
1074;23
1075;22
1076;30
1077;33
1078;30
1079;30
1080;27
1081;18
1082;17
1083;23
1084;26
1085;21
1086;32
1087;30
1088;25
1089;27
1090;25
1091;28
1092;21
1093;21
1094;22
1095;25
1096;22
1097;21
1098;22
1099;22
1100;28
1101;30
1102;19
1103;29
1104;23
1105;30
1106;30
1107;20
1108;17
1109;23
1110;25
1111;17
1112;21
1113;24
1114;31
1115;12
1116;25
1117;18
1118;28
1119;26
1120;17
1121;16
1122;19
1123;15
1124;20
1125;27
1126;21
1127;28
1128;25
1129;22
1130;27
1131;31
1132;24
1133;27
1134;21
1135;28
1136;24
1137;16
1138;15
1139;27
1140;22
1141;29
1142;19
1143;19
1144;20
1145;21
1146;21
1147;18
1148;25
1149;22
1150;18
1151;22
1152;15
1153;25
1154;24
1155;14
1156;23
1157;16
1158;18
1159;19
1160;16
1161;23
1162;23
1163;15
1164;24
1165;17
1166;28
1167;25
1168;22
1169;21
1170;18
1171;21
1172;23
1173;23
1174;21
1175;17
1176;21
1177;16
1178;15
1179;18
1180;20
1181;27
1182;25
1183;18
1184;20
1185;19
1186;17
1187;17
1188;20
1189;20
1190;23
1191;19
1192;26
1193;17
1194;19
1195;19
1196;12
1197;21
1198;24
1199;18
1200;27
1201;20
1202;26
1203;20
1204;20
1205;12
1206;19
1207;18
1208;18
1209;18
1210;13
1211;15
1212;26
1213;25
1214;24
1215;16
1216;16
1217;15
1218;26
1219;18
1220;10
1221;16
1222;19
1223;17
1224;14
1225;19
1226;18
1227;22
1228;21
1229;17
1230;20
1231;22
1232;21
1233;11
1234;12
1235;23
1236;14
1237;14
1238;23
1239;18
1240;24
1241;18
1242;19
1243;18
1244;19
1245;23
1246;19
1247;16
1248;19
1249;13
1250;22
1251;19
1252;16
1253;22
1254;16
1255;19
1256;23
1257;16
1258;18
1259;14
1260;19
1261;21
1262;15
1263;19
1264;11
1265;16
1266;23
1267;11
1268;12
1269;19
1270;8
1271;18
1272;11
1273;19
1274;16
1275;14
1276;19
1277;26
1278;16
1279;20
1280;15
1281;11
1282;11
1283;17
1284;11
1285;13
1286;14
1287;14
1288;12
1289;12
1290;15
1291;17
1292;13
1293;17
1294;17
1295;16
1296;6
1297;15
1298;18
1299;18
1300;17
1301;16
1302;18
1303;16
1304;14
1305;18
1306;13
1307;14
1308;19
1309;17
1310;10
1311;17
1312;15
1313;15
1314;16
1315;16
1316;11
1317;13
1318;15
1319;13
1320;11
1321;9
1322;16
1323;14
1324;15
1325;13
1326;18
1327;19
1328;14
1329;14
1330;12
1331;12
1332;13
1333;17
1334;19
1335;10
1336;21
1337;20
1338;14
1339;14
1340;16
1341;16
1342;14
1343;20
1344;14
1345;18
1346;12
1347;14
1348;16
1349;19
1350;19
1351;19
1352;21
1353;11
1354;15
1355;19
1356;11
1357;17
1358;17
1359;15
1360;11
1361;15
1362;19
1363;12
1364;19
1365;21
1366;14
1367;16
1368;18
1369;6
1370;7
1371;19
1372;12
1373;19
1374;11
1375;18
1376;12
1377;13
1378;12
1379;22
1380;10
1381;16
1382;8
1383;16
1384;15
1385;13
1386;13
1387;12
1388;16
1389;21
1390;9
1391;19
1392;16
1393;18
1394;11
1395;18
1396;17
1397;13
1398;12
1399;22
1400;11
1401;18
1402;22
1403;18
1404;14
1405;15
1406;18
1407;16
1408;13
1409;17
1410;16
1411;13
1412;14
1413;15
1414;17
1415;12
1416;11
1417;14
1418;10
1419;13
1420;12
1421;14
1422;15
1423;15
1424;9
1425;10
1426;10
1427;7
1428;10
1429;17
1430;14
1431;11
1432;15
1433;18
1434;12
1435;9
1436;10
1437;11
1438;13
1439;10
1440;19
1441;16
1442;13
1443;15
1444;10
1445;14
1446;13
1447;16
1448;15
1449;16
1450;10
1451;16
1452;10
1453;9
1454;15
1455;15
1456;9
1457;24
1458;16
1459;18
1460;16
1461;10
1462;7
1463;11
1464;12
1465;14
1466;11
1467;13
1468;13
1469;15
1470;17
1471;10
1472;13
1473;16
1474;9
1475;10
1476;12
1477;15
1478;13
1479;10
1480;6
1481;8
1482;8
1483;12
1484;16
1485;6
1486;9
1487;13
1488;11
1489;13
1490;15
1491;12
1492;13
1493;10
1494;16
1495;8
1496;12
1497;10
1498;15
1499;10
1500;19
1501;11
1502;13
1503;11
1504;13
1505;10
1506;10
1507;10
1508;12
1509;10
1510;11
1511;11
1512;9
1513;15
1514;16
1515;8
1516;9
