degree;count
1;11984992
2;14904073
3;27520969
4;12541014
5;6862097
6;4549881
7;2680588
8;1973445
9;1878799
10;1276111
11;915089
12;763670
13;631002
14;564974
15;484468
16;497831
17;394111
18;355090
19;324326
20;300003
21;280078
22;263104
23;249876
24;237663
25;228434
26;219401
27;211944
28;204902
29;196983
30;191512
31;183340
32;178473
33;171406
34;165169
35;158758
36;151338
37;145408
38;140174
39;135193
40;129041
41;124170
42;119636
43;114717
44;109504
45;105411
46;100392
47;95834
48;90802
49;87695
50;84186
51;80278
52;76980
53;74072
54;69839
55;66333
56;62032
57;58603
58;55607
59;51741
60;49153
61;46537
62;44097
63;41848
64;39246
65;37385
66;35221
67;33209
68;31546
69;29820
70;28323
71;26800
72;25507
73;24259
74;23376
75;21663
76;20616
77;19628
78;18653
79;17807
80;16849
81;15917
82;15434
83;14605
84;13956
85;13260
86;12494
87;11851
88;11611
89;10903
90;10396
91;10091
92;9780
93;9213
94;8900
95;8589
96;8205
97;7921
98;7762
99;7306
100;6970
101;7050
102;6728
103;6685
104;6335
105;6189
106;5909
107;5623
108;5400
109;5358
110;5202
111;4867
112;4734
113;4500
114;4457
115;4377
116;4412
117;4244
118;3938
119;3811
120;3879
121;3637
122;3489
123;3586
124;3435
125;3425
126;3214
127;3237
128;3238
129;3121
130;2977
131;2919
132;2997
133;2712
134;2668
135;2837
136;2486
137;2572
138;2386
139;2283
140;2334
141;2268
142;2340
143;2145
144;2092
145;2079
146;2165
147;1998
148;2080
149;1930
150;1844
151;1815
152;1894
153;1764
154;1761
155;1699
156;1608
157;1562
158;1847
159;1533
160;1562
161;1465
162;1409
163;1379
164;1295
165;1324
166;1231
167;1260
168;1340
169;1154
170;1208
171;1158
172;1107
173;1294
174;1037
175;999
176;1081
177;1060
178;1134
179;956
180;914
181;910
182;925
183;936
184;849
185;888
186;838
187;833
188;967
189;841
190;811
191;752
192;744
193;785
194;655
195;710
196;729
197;664
198;688
199;641
200;622
201;669
202;809
203;665
204;807
205;589
206;565
207;540
208;588
209;539
210;712
211;559
212;540
213;479
214;688
215;466
216;474
217;675
218;425
219;449
220;447
221;442
222;437
223;413
224;384
225;362
226;372
227;373
228;398
229;378
230;342
231;354
232;365
233;577
234;325
235;318
236;314
237;296
238;299
239;288
240;296
241;308
242;669
243;322
244;277
245;258
246;259
247;255
248;242
249;261
250;219
251;250
252;256
253;212
254;226
255;250
256;206
257;206
258;204
259;220
260;192
261;214
262;216
263;156
264;165
265;182
266;170
267;195
268;149
269;150
270;161
271;166
272;171
273;180
274;170
275;157
276;159
277;141
278;142
279;152
280;152
281;169
282;155
283;319
284;503
285;144
286;145
287;127
288;681
289;149
290;109
291;118
292;147
293;112
294;119
295;106
296;107
297;100
298;97
299;119
300;405
301;105
302;107
303;403
304;116
305;100
306;400
307;108
308;88
309;89
310;75
311;81
312;97
313;79
314;73
315;90
316;79
317;322
318;69
319;73
320;84
321;75
322;78
323;71
324;79
325;80
326;74
327;62
328;75
329;69
330;61
331;76
332;389
333;71
334;70
335;71
336;134
337;55
338;55
339;59
340;62
341;394
342;50
343;64
344;60
345;46
346;51
347;44
348;48
349;41
350;58
351;55
352;60
353;57
354;47
355;46
356;55
357;56
358;47
359;59
360;44
361;53
362;45
363;51
364;50
365;47
366;56
367;63
368;52
369;47
370;54
371;63
372;49
373;38
374;52
375;44
376;49
377;41
378;48
379;38
380;51
381;47
382;40
383;45
384;59
385;50
386;55
387;44
388;55
389;45
